id,name,color,color_name,track_leng,pct_in_sk_hobo,track_length_in_sk_hobo
39,Košice - Skároš,#FF0000,red,28.8,1,28.74
17,Dolnozemplínska cyklomagistrála,#FF0000,red,95.15,0.66,63.15
5715,Slanec - št.hranica Hu smer Füzér,#00FF00,green,8.67,1,8.67
8723,Veľká Márovka - Červený vrch,#ffff00,yellow,4.48,1,4.48
8703,Náučná trasa Vinohradnícka,#ffff00,yellow,2.77,1,2.77
5713,Slanec - št.hranica Hu smer Pusztafalu,#00FF00,green,13.93,1,13.93
8702,Náučná trasa Ovocná,#ffff00,yellow,4.13,1,4.13
8701,Náučná trasa Vyhliadková,#ffff00,yellow,1.59,1,1.59
5707,Okruh okolo Alpínky,#00FF00,green,18.64,0.69,12.88
5718,Veľká Krčava - Pacín,#00FF00,green,13.15,1,13.15
5719,Ťahanovce – Družstevná pri Hornáde,#00FF00,green,7.16,1,7.16
5710,Vínna cyklotrasa (Čerhov - Ladmovce hrádza),#00FF00,green,15.35,1,15.35
23,Alžbeta (Herlianska cesta - sedlo - Dargovský priesmyk),#FF0000,red,94.83,0.28,26.57
2706,Nižná Myšľa - Skároš,#0000FF,blue,13.74,1,13.74
8712,Spojka Olšava - Skároš,#ffff00,yellow,2.26,1,2.26
8728,"Lesíkom, Čerhov - ATC Maria Veľaty",#ffff00,yellow,8.53,1,8.53
8717,Slovenské Nové Mesto - Viničky,#ffff00,yellow,15.16,1,15.16
51,Zemplínska cyklomagistrála,#FF0000,red,15.22,1,15.22
