gid,dow,aut,ach,soi,facc,idn4,nm4,idn3,nm3,idn2,nm2,vymera,shape_leng,shape_area,wine_region_tokaj_law,wine_region_tokaj_mun_network,zemplin_geopark,mas,mun_network,cp_nm4,se,nw
1754,30/04/2019,1,1,9,FA004,521345,Družstevná pri Hornáde,806,Košice - okolie,8,Košický,9550082,19730.35489,9490327.48,FALSE,FALSE,FALSE,"MAS HORNÁD - ?IERNA HORA, o.z.",,Družstevn%C3%A1 pri Horn%C3%A1de,,TRUE
1091,30/04/2019,1,1,9,FA004,513792,Malá T??a,811,Trebišov,8,Košický,9806850,18655.22813,9801321.039,TRUE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",,Mal%C3%A1 T??a,TRUE,
1092,30/04/2019,1,1,9,FA004,513806,Ve?ká T??a,811,Trebišov,8,Košický,14114836,20532.2351,14094215.11,TRUE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",,Ve?k%C3%A1 T??a,TRUE,
1778,30/04/2019,1,1,9,FA004,521639,Kysak,806,Košice - okolie,8,Košický,10924613,18367.31838,10868101.62,FALSE,FALSE,FALSE,"MAS HORNÁD - ?IERNA HORA, o.z.",,Kysak,,TRUE
1794,30/04/2019,1,1,9,FA004,521817,Obišovce,806,Košice - okolie,8,Košický,9762057,21805.1217,9742935.613,FALSE,FALSE,FALSE,"MAS HORNÁD - ?IERNA HORA, o.z.",,Obi%C5%A1ovce,,TRUE
1815,30/04/2019,1,1,9,FA004,522031,Soko?,806,Košice - okolie,8,Košický,15664753,19670.31856,15664746.57,FALSE,FALSE,FALSE,"MAS HORNÁD - ?IERNA HORA, o.z.",,Soko%C4%BE,,TRUE
1749,30/04/2019,1,1,9,FA004,521299,?a?a,806,Košice - okolie,8,Košický,11555078,18987.39329,11606168.49,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",Regionálne združenie obcí Hornád,?a%C5%88a,TRUE,
1825,30/04/2019,1,1,9,FA004,522155,Ve?ká Lodina,806,Košice - okolie,8,Košický,19716174,24435.36467,19690539.49,FALSE,FALSE,FALSE,"MAS HORNÁD - ?IERNA HORA, o.z.",,Ve?k%C3%A1 Lodina,,TRUE
2896,30/04/2019,1,1,9,FA004,582514,Kosto?any nad Hornádom,806,Košice - okolie,8,Košický,6876973,16154.72247,6856661.284,FALSE,FALSE,FALSE,"MAS HORNÁD - ?IERNA HORA, o.z.",,Kosto?any nad Horn%C3%A1dom,,TRUE
1809,30/04/2019,1,1,9,FA004,521965,Sady nad Torysou,806,Košice - okolie,8,Košický,8454117,18435.20606,8446870.871,FALSE,FALSE,FALSE,"MAS OLŠAVA - TORYSA, o.z.",,Sady nad Torysou,TRUE,
1456,30/04/2019,1,1,9,FA004,518115,Slan?ík,806,Košice - okolie,8,Košický,3303923,9857.219023,3305831.834,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Slan%C4%8Dík,TRUE,
1780,30/04/2019,1,1,9,FA004,521663,Malá Lodina,806,Košice - okolie,8,Košický,38344306,36687.4662,38305232.41,FALSE,FALSE,FALSE,"MAS HORNÁD - ?IERNA HORA, o.z.",,Mal%C3%A1 Lodina,,TRUE
1786,30/04/2019,1,1,9,FA004,521736,Nižná Myš?a,806,Košice - okolie,8,Košický,12614420,27146.82884,12576143.86,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",Regionálne združenie obcí Hornád,Nižn%C3%A1 Myš?a,TRUE,
1740,30/04/2019,1,1,9,FA004,521191,Blažice,806,Košice - okolie,8,Košický,3401369,10855.99869,3401369.211,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Bla%C5%BEice,TRUE,
1795,30/04/2019,1,1,9,FA004,521825,Olšovany,806,Košice - okolie,8,Košický,9979984,16478.1741,9976364.378,FALSE,FALSE,FALSE,"MAS OLŠAVA - TORYSA, o.z.",Olšavský mikroregión združenie obcí,Ol%C5%A1ovany,TRUE,
1768,30/04/2019,1,1,9,FA004,521507,Kalša,806,Košice - okolie,8,Košický,4625853,12274.61357,4625853.069,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Kal%C5%A1a,TRUE,
1741,30/04/2019,1,1,9,FA004,521205,Bohdanovce,806,Košice - okolie,8,Košický,5937908,13446.66912,5937908.015,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Bohdanovce,TRUE,
1812,30/04/2019,1,1,9,FA004,522007,Slanec,806,Košice - okolie,8,Košický,20458671,30048.08603,20424906.25,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Slanec,TRUE,
1760,30/04/2019,1,1,9,FA004,521400,Haniska,806,Košice - okolie,8,Košický,17289408,20619.3348,17289415.57,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Haniska,TRUE,
1814,30/04/2019,1,1,9,FA004,522023,Slanské Nové Mesto,806,Košice - okolie,8,Košický,30249021,35828.56458,30013174.95,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Slansk%C3%A9 Nov%C3%A9 Mesto,TRUE,
1774,30/04/2019,1,1,9,FA004,521582,Košická Polianka,806,Košice - okolie,8,Košický,8276694,12294.67455,8206035.323,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Košick%C3%A1 Polianka,TRUE,
2830,30/04/2019,1,1,9,FA004,559865,Soko?any,806,Košice - okolie,8,Košický,3874465,12651.2073,3784102.624,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Soko%C4%BEany,TRUE,
1810,30/04/2019,1,1,9,FA004,521973,Se?a,806,Košice - okolie,8,Košický,22814685,34898.31825,22775111.44,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",Regionálne združenie obcí Hornád,Se%C5%88a,TRUE,
1793,30/04/2019,1,1,9,FA004,521809,Nový Salaš,806,Košice - okolie,8,Košický,11022178,17628.66583,11022176.15,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Nový Sala%C5%A1,TRUE,
1827,30/04/2019,1,1,9,FA004,522171,Vyšná Hutka,806,Košice - okolie,8,Košický,3621747,8936.450121,3619462.858,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",Regionálne združenie obcí Hornád,Vyšn%C3%A1 Hutka,TRUE,
1803,30/04/2019,1,1,9,FA004,521906,Rákoš,806,Košice - okolie,8,Košický,10561100,14694.06829,10561097.28,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,R%C3%A1koš,TRUE,
2389,30/04/2019,1,1,9,FA004,528099,Trebišov,811,Trebišov,8,Košický,70159532,44960.51412,70142091.22,FALSE,TRUE,FALSE,,,Trebi%C5%A1ov,,
2829,30/04/2019,1,1,9,FA004,559831,Bo?iar,806,Košice - okolie,8,Košický,472101,4705.83445,464444.7521,FALSE,FALSE,FALSE,,,Bo%C4%8Diar,TRUE,
1808,30/04/2019,1,1,9,FA004,521957,Ruskov,806,Košice - okolie,8,Košický,20207435,25275.87668,20207438.27,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Ruskov,TRUE,
1813,30/04/2019,1,1,9,FA004,522015,Slanská Huta,806,Košice - okolie,8,Košický,14156863,28272.63009,14156866.03,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Slansk%C3%A1 Huta,TRUE,
1830,30/04/2019,1,1,9,FA004,522201,Vyšný ?aj,806,Košice - okolie,8,Košický,4827605,12903.61951,4827604.847,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Vy%C5%A1ný ?aj,TRUE,
2427,30/04/2019,1,1,9,FA004,528480,Kysta,811,Trebišov,8,Košický,8153368,13137.80884,8143506.322,FALSE,FALSE,TRUE,"MAS TOKAJ - ROVINA, oz.",HELMEC - združenie obcí,Kysta,TRUE,
2643,30/04/2019,1,1,9,FA004,544043,Zemplínsky Bran?,811,Trebišov,8,Košický,7248553,16139.67062,7248298.039,FALSE,FALSE,FALSE,"MAS TOKAJ - ROVINA, oz.",HELMEC - združenie obcí,Zemplínsky Bran%C4%8D,TRUE,
2403,30/04/2019,1,1,9,FA004,528242,?e?ovce,811,Trebišov,8,Košický,13268860,21534.9452,13268860.28,FALSE,FALSE,FALSE,"MAS RO?AVA, o.z.",Mikroregión obcí RO?AVA - združenie obcí,?e%C4%BEovce,TRUE,
2416,30/04/2019,1,1,9,FA004,528374,Hr?e?,811,Trebišov,8,Košický,9989609,17393.2184,9978725.108,FALSE,FALSE,TRUE,,HELMEC - združenie obcí,Hr%C4%8De?,TRUE,
2404,30/04/2019,1,1,9,FA004,528251,?erhov,811,Trebišov,8,Košický,8528233,16866.68174,8533758.808,TRUE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",,%C4%8Cerhov,TRUE,
2415,30/04/2019,1,1,9,FA004,528366,Hra?,811,Trebišov,8,Košický,17401269,23763.68971,17385963.21,FALSE,FALSE,TRUE,"MAS TOKAJ - ROVINA, oz.",,Hra%C5%88,TRUE,
2420,30/04/2019,1,1,9,FA004,528412,Kašov,811,Trebišov,8,Košický,8880230,13462.32721,8880489.157,FALSE,FALSE,TRUE,"MAS TOKAJ - ROVINA, oz.",JELŠINA - združenie obcí,Ka%C5%A1ov,TRUE,
2642,30/04/2019,1,1,9,FA004,544035,Zemplínske Jastrabie,811,Trebišov,8,Košický,10734818,18535.97017,10733702.13,FALSE,FALSE,TRUE,"MAS TOKAJ - ROVINA, oz.",JELŠINA - združenie obcí,Zempl%C3%ADnske Jastrabie,TRUE,
2421,30/04/2019,1,1,9,FA004,528421,Kazimír,811,Trebišov,8,Košický,9927264,19875.90513,9927374.967,FALSE,FALSE,TRUE,"MAS RO?AVA, o.z.",Mikroregión obcí RO?AVA - združenie obcí,Kazim%C3%ADr,TRUE,
2392,30/04/2019,1,1,9,FA004,528129,Bara,811,Trebišov,8,Košický,6252189,12387.16098,6250420.541,TRUE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",,Bara,TRUE,
2429,30/04/2019,1,1,9,FA004,528501,Lastovce,811,Trebišov,8,Košický,15254652,25534.48795,15253858.71,FALSE,FALSE,FALSE,"MAS RO?AVA, o.z.",Mikroregión obcí RO?AVA - združenie obcí,Lastovce,TRUE,
2405,30/04/2019,1,1,9,FA004,528269,?ernochov,811,Trebišov,8,Košický,6156435,12066.27661,6151728.611,TRUE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",,%C4%8Cernochov,TRUE,
2615,30/04/2019,1,1,9,FA004,543756,Slovenské Nové Mesto,811,Trebišov,8,Košický,13381771,23752.90689,13382086.95,TRUE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",,Slovensk%C3%A9 Nov%C3%A9 Mesto,TRUE,
2440,30/04/2019,1,1,9,FA004,528617,Novosad,811,Trebišov,8,Košický,15255690,22678.34493,15241776.34,FALSE,FALSE,TRUE,"MAS TOKAJ - ROVINA, oz.",JELŠINA - združenie obcí,Novosad,TRUE,
2617,30/04/2019,1,1,9,FA004,543772,Somotor,811,Trebišov,8,Košický,16300630,22811.6762,16293874.29,FALSE,FALSE,TRUE,"MAS BODROG, oz.",Mikroregión Tarbucka - združenie obcí,Somotor,TRUE,
2623,30/04/2019,1,1,9,FA004,543845,Ve?aty,811,Trebišov,8,Košický,12043086,20499.22382,12034881.05,FALSE,FALSE,TRUE,"MAS RO?AVA, o.z.",Mikroregión obcí RO?AVA - združenie obcí,Ve%C4%BEaty,TRUE,
2639,30/04/2019,1,1,9,FA004,544001,Zemplínska Nová Ves,811,Trebišov,8,Košický,10704957,28829.84777,10698346.16,FALSE,FALSE,FALSE,"MAS RO?AVA, o.z.",Mikroregión obcí RO?AVA - združenie obcí,Zemplínska Nov%C3%A1 Ves,TRUE,
2638,30/04/2019,1,1,9,FA004,543993,Zemplín,811,Trebišov,8,Košický,14666901,24142.87666,14649721.34,FALSE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",Mikroregión Tarbucka - združenie obcí,Zempl%C3%ADn,TRUE,
2640,30/04/2019,1,1,9,FA004,544019,Zemplínska Teplica,811,Trebišov,8,Košický,26812147,29720.08328,26793727.78,FALSE,FALSE,FALSE,"MAS Se?ovský región, o.z.",,Zempl%C3%ADnska Teplica,TRUE,
2827,30/04/2019,1,1,9,FA004,559687,Kechnec,806,Košice - okolie,8,Košický,10210515,22095.42366,10123781.7,FALSE,FALSE,FALSE,,,Kechnec,TRUE,
2397,30/04/2019,1,1,9,FA004,528170,Borša,811,Trebišov,8,Košický,9540277,20454.0466,9540405.762,FALSE,TRUE,TRUE,"MAS TOKAJ - ROVINA, oz.",,Bor%C5%A1a,TRUE,
2905,30/04/2019,1,1,9,FA004,598151,Košice-Sever,802,Košice I,8,Košický,54614976,48253.75504,54591128,FALSE,FALSE,FALSE,,,Ko%C5%A1ice-Sever,,
2613,30/04/2019,1,1,9,FA004,543730,Sirník,811,Trebišov,8,Košický,5822371,16405.96741,5821359.755,FALSE,FALSE,TRUE,"MAS TOKAJ - ROVINA, oz.",,Sirn%C3%ADk,TRUE,
2923,30/04/2019,1,1,9,FA004,599875,Košice-Sídlisko ?ahanovce,802,Košice I,8,Košický,8257663,18670.28499,8258993.532,FALSE,FALSE,FALSE,,,Košice-S%C3%ADdlisko ?ahanovce,,
1737,30/04/2019,1,1,9,FA004,521167,Belža,806,Košice - okolie,8,Košický,5487975,11100.87405,5488081.695,FALSE,FALSE,FALSE,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",,Bel%C5%BEa,TRUE,
2402,30/04/2019,1,1,9,FA004,528234,Cejkov,811,Trebišov,8,Košický,20844599,26976.28606,20818272.25,FALSE,FALSE,TRUE,,,Cejkov,TRUE,
