index,name,address,link_full,link_current,google_place_id,formatted_address,latitude,longitude,cin,established_on,terminated_on,municipalities,total_members,members_from_hobo,n_members_from_hobo,pct_members_from_hobo
22,BOCOV - združenie obcí,"Hlavná 177/5, 07617 Nižný Žipov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152347&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152347,ChIJYQ9Jl-gqP0cRvYU2Z6AXUxk,"Hlavná 177/5, 076 17 Nižný Žipov, Slovakia",48.5828337,21.6396296,45807981,07/04/2009,,"Nižný Žipov, Zemplínska Nová Ves, Stanča",3,"Zemplínska Nová Ves, Stanča, Nižný Žipov",3,100
50,Mikroregión IZRA - združenie obcí,"Hlavná 108, 07614 Michaľany",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=212010&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=212010,ChIJnycuX7UsP0cRDWQo8RmWRNk,"Hlavná 108, 076 14 Michaľany, Slovakia",48.5127721,21.6196361,42410070,19/08/2015,,"Michaľany, Kazimír, Lastovce, Brezina",4,"Michaľany, Lastovce, Kazimír, Brezina",4,100
55,Mikroregión obcí ROŇAVA - združenie obcí,"Hlavná 108, 07614 Michaľany",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152320&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152320,ChIJnycuX7UsP0cRDWQo8RmWRNk,"Hlavná 108, 076 14 Michaľany, Slovakia",48.5127721,21.6196361,42093678,15/03/2007,,"Brezina, Byšta, Čeľovce, Egreš, Kazimír, Kuzmice, Zemplínska Nová Ves, Luhyňa, Michaľany, Nižný Žipov, Slivník, Stanča, Veľaty, Lastovce",14,"Čeľovce, Zemplínska Nová Ves, Kuzmice, Egreš, Byšta, Luhyňa, Michaľany, Veľaty, Lastovce, Stanča, Kazimír, Slivník, Brezina, Nižný Žipov",14,100
63,Mikroregión Tarbucka - združenie obcí,"Veľký Kamenec 255, 07636 Veľký Kamenec",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152283&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152283,ChIJkYMQvrHFOEcR2gF9Iyjh_v8,"Veľký Kamenec 255, 076 36 Veľký Kamenec, Slovakia",48.358923,21.8065825,35560975,26/05/2004,,"Viničky, Somotor, Streda nad Bodrogom, Malý Kamenec, Klin nad Bodrogom, Zemplín, Veľký Kamenec, Ladmovce",8,"Veľký Kamenec, Somotor, Ladmovce, Klin nad Bodrogom, Malý Kamenec, Zemplín, Streda nad Bodrogom, Viničky",8,100
70,Olšavský mikroregión združenie obcí,"Ďurkov 274, 04419 Ďurkov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152253&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152253,ChIJK5ihSQ7ZPkcR5s2wj-eFKQU,"Ďurkov 274, 044 19 Ďurkov, Slovakia",48.7076763,21.4430478,35548606,14/10/2002,,"Nižná Kamenica, Vyšná Kamenica, Košický Klečenov, Rankovce, Svinica, Herľany, Bidovce, Čakanovce, Ďurďošík, Ďurkov, Olšovany, Trsťany",12,Olšovany,1,8
99,Regionálne združenie obcí Hornád,"Osloboditeľov 651/22, 04414 Čaňa",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152244&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152244,ChIJv93dwrkmP0cR_PH21yF-IwA,"22, Osloboditeľov 651, 044 14 Čaňa, Slovakia",48.6072102,21.3307105,31965041,04/12/2000,,"Čaňa, Geča, Gyňov, Kokšov-Bakša, Nižná Hutka, Nižná Myšľa, Ždaňa, Skároš, Trstené pri Hornáde, Valaliky, Vyšná Hutka, Vyšná Myšľa, Seňa",13,"Ždaňa, Skároš, Gyňov, Nižná Myšľa, Čaňa, Seňa, Kokšov-Bakša, Geča, Valaliky, Vyšná Myšľa, Trstené pri Hornáde, Nižná Hutka, Vyšná Hutka",13,100
100,Regionálne združenie obcí Košice - okolie,"Osloboditeľov 22, 04414 Čaňa",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152319&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152319,ChIJKfw1SbcmP0cR5kcKnnSYKvQ,"Osloboditeľov 22/43, 044 14 Čaňa, Slovakia",48.6067119,21.3277258,42101115,06/03/2007,,"Blažice, Bohdanovce, Kalša, Nižný Čaj, Nový Salaš, Rákoš, Ruskov, Slanec, Slančík, Slanská Huta, Slanské Nové Mesto, Vyšný Čaj, Bidovce, Čakanovce, Ďurďošík, Ďurkov, Herľany, Košický Klečenov, Nižná Kamenica, Olšovany, Rankovce, Svinica, Trsťany, Vyšná Kamenica, Bačkovík, Boliarov, Bunetice, Čižatice, Kecerovce, Kecerovský Lipovec, Mudrovce, Opiná, Vtáčkovce, Belža, Čaňa, Geča, Gyňov, Kokšov-Bakša, Košická Polianka, Nižná Hutka, Nižná Myšľa, Seňa, Skároš, Sokoľany, Trstené pri Hornáde, Valaliky, Vyšná Hutka, Vyšná Myšľa, Ždaňa, Haniska, Hrašovík, Ploské, Nová Polhora, Sady nad Torysou, Beniakovce, Vajkovce, Košické Oľšany, Kráľovce, Budimír, Chrastné, Rozhanovce, Obišovce, Kysak, Kostoľany nad Hornádom, Sokoľ, Družstevná pri Hornáde, Malá Lodina, Veľká Lodina, Košická Belá, Opátka",70,"Ždaňa, Haniska, Skároš, Olšovany, Slanské Nové Mesto, Gyňov, Nižná Myšľa, Družstevná pri Hornáde, Veľká Lodina, Rákoš, Obišovce, Kalša, Bohdanovce, Čaňa, Nižný Čaj, Slanská Huta, Slanec, Seňa, Vyšný Čaj, Sady nad Torysou, Kokšov-Bakša, Slančík, Belža, Geča, Nový Salaš, Ruskov, Kysak, Valaliky, Vyšná Myšľa, Malá Lodina, Blažice, Trstené pri Hornáde, Košická Polianka, Sokoľ, Sokoľany, Nižná Hutka, Kostoľany nad Hornádom, Vyšná Hutka",38,54
112,ROVINA - združenie obcí,"Hlavná 27, 07605 Zemplínske Jastrabie",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152275&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152275,EjJIbGF2bsOhIDI3LCAwNzYgMDUgWmVtcGzDrW5za2UgSmFzdHJhYmllLCBTbG92YWtpYSIaEhgKFAoSCYegMgA00ThHEXbKSCJE-Z9xEBs,"Hlavná 27, 076 05 Zemplínske Jastrabie, Slovakia",48.4991904,21.7757631,35558644,19/02/2004,,"Zemplínske Jastrabie, Cejkov, Novosad, Zemplínsky Branč, Kašov, Sirník, Kysta, Brehov, Hraň, Hrčeľ",10,"Kašov, Brehov, Zemplínsky Branč, Kysta, Hraň, Hrčeľ, Zemplínske Jastrabie, Sirník, Novosad, Cejkov",10,100
122,"TICCE MIKROREGIÓN, združenie obcí","Hlavná 241/45, 07653 Zatín",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152272&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152272,ChIJ9ew2OSraOEcRekz58X0ZJW0,"Hlavná 241/45, 076 53 Zatín, Slovakia",48.4754868,21.9044927,35556056,18/11/2003,,"Boľ, Poľany, Rad, Zatín, Svätá Mária, Svinice, Vojka, Soľnička",8,"Svätá Mária, Rad",2,25
164,Združenie miest a obcí regiónu Južného Zemplína,"M.R. Štefánika 862/204, 07525 Trebišov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=211716&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=211716,ChIJ5-xEKMgqOUcRGrMi1Z4bg4c,"M. R. Štefánika 862/204, 075 01 Trebišov, Slovakia",48.6190079,21.7191003,42102855,19/09/2008,,"Bačkov, Zbehňov, Brezina, Byšta, Cejkov, Čeľovce, Čerhov, Dargov, Dvorianky, Egreš, Hraň, Hrčeľ, Hriadky, Kašov, Kazimír, Kožuchov, Kravany, Kuzmice, Kysta, Lastovce, Luhyňa, Malá Tŕňa, Malé Ozorovce, Michaľany, Nižný Žipov, Novosad, Nový Ruskov, Parchovany, Plechotice, Sečovce, Sirník, Slivník, Slovenské Nové Mesto, Stanča, Stankovce, Trebišov, Trnávka, Veľaty, Veľká Tŕňa, Veľké Ozorovce, Višňov, Vojčice, Zemplínska Nová Ves, Zemplínska Teplica, Zemplínske Hradište, Zemplínske Jastrabie, Zemplínsky Branč, Brehov",48,"Kašov, Brehov, Zemplínsky Branč, Malá Tŕňa, Čeľovce, Zemplínske Hradište, Zemplínska Nová Ves, Kuzmice, Kysta, Hraň, Hrčeľ, Egreš, Byšta, Luhyňa, Slovenské Nové Mesto, Zemplínske Jastrabie, Plechotice, Sirník, Michaľany, Veľaty, Lastovce, Novosad, Stanča, Cejkov, Kožuchov, Kazimír, Trebišov, Zemplínska Teplica, Slivník, Čerhov, Brezina, Veľká Tŕňa, Nižný Žipov",33,69
