index,cin,name,established_on,street,o_n,sp,postal,municipality,district_id,rergion_id,legal_id,esus,nace,drvlst,katp,typj,usor,icon,icon_name,nace_sk,nace_en,legal_sk,legal_en,size_emp,ownership_type_sk,owner_ship_type_en,size_emp_en,min_emp,max_emp,mun_name_alter,address,lat,lon,f_address
7235,42101115,Regionálne združenie obcí Košice - okolie,06/03/2007 00:00,Osloboditeľov,22,,4414,Čaňa,SK0426,SK042,751,13130,94992,5,0,1110,99,,,Čin.záujmových org.,Act.of hobies org.,Záujm. združ. práv.osôb,Asociat.of legal person,nezistený,Vlast.územnej samosprávy,Municipality-owned,unknown,0,0,Košice,"Osloboditeľov 22, Čaňa",48.6067119,21.3277258,"Osloboditeľov 22/43, 044 14 Čaňa, Slovakia"
4356,31683223,"Nákladná automobilová doprava, štátny podnik Košice v likvidácií",01/01/1994 00:00,Južná tr.,125,,4275,Košice - mestská časť Juh,SK0425,SK042,301,13110,49410,4,0,1110,29,30416094,Ministerstvo dopravy a výstavby Slovenskej republiky,Nákladná cestná doprava,Freight transp.by road,Štátny podnik,State enterprise,nezistený,Štátne,State-owned,unknown,0,0,Košice,"Južná tr. 125, Košice - mestská časť Juh",48.6922742,21.2630041,"Južná trieda 125, 040 01 Košice-Juh, Slovakia"
4253,31256911,Vysokošpecializovaný odborný ústav geriatrický sv. Lukáša v Košiciach n. o.,30/04/2004 00:00,Strojárenská,13,1099,4001,Košice - mestská časť Staré Mesto,SK0422,SK042,120,13110,86100,4,21,1110,21,165565,Ministerstvo zdravotníctva Slovenskej republiky,Čin.nemocníc,Hospital activities,Nezisk.org.poskyt.všeob.prosp.služby,Non-profit org.provid.community serv.,100-149 zamestnancov,Štátne,State-owned,100-149 employees,100,149,Košice,"Strojárenská 13, Košice - mestská časť Staré Mesto",48.7268923,21.2501071,"Strojárenská 1099/13, 040 01 Košice, Slovakia"
3168,606723,Regionálny úrad verejného zdravotníctva so sídlom v Košiciach,01/01/1990 00:00,Ipeľská,1,156,4011,Košice - mestská časť Západ,SK0423,SK042,321,13110,84120,4,22,1110,21,165565,Ministerstvo zdravotníctva Slovenskej republiky,Usmerňov.sociál.služ.,Regulation of social.act,Rozpočtová organizácia,Budgetary organization,150-199 zamestnancov,Štátne,State-owned,150-199 employees,150,199,Košice,"Ipeľská 1, Košice - mestská časť Západ",48.7225792,21.2333796,"Ipeľská 156/1, 040 11 Košice, Slovakia"
4251,31256121,"Fond zdravia mesta Košice, neinvestičný fond",25/08/1998 00:00,Trieda SNP,48A,,4011,Košice - mestská časť Západ,SK0423,SK042,118,13130,88990,5,2,1110,99,,,Ost.soc.star.bez.ubyt.,Ot.soc.work act.witho.ac,Neinvestičný fond,Non-investment fund,nezistený,Vlast.územnej samosprávy,Municipality-owned,unknown,0,0,Košice,"Trieda SNP 48A, Košice - mestská časť Západ",48.714144,21.2334438,"Trieda SNP 1280/48A, 040 11 Košice, Slovakia"
144,153851,"Pozemné stavby Košice, štátny podnik, v likvidácii",01/01/1972 00:00,B. Němcovej,32,,4001,Košice - mestská časť Sever,SK0422,SK042,301,13110,41209,4,0,1110,28,,,"Výst.obyt,neob.bud.i.n.",Constr.of buildings nec,Štátny podnik,State enterprise,nezistený,Štátne,State-owned,unknown,0,0,Košice,"B. Němcovej 32, Košice - mestská časť Sever",48.7300182,21.244436,"Boženy Němcovej 26/32, 040 01 Košice, Slovakia"
4014,17150922,"Liečebno - výchovné sanatórium, Tešedíkova 3, Košice",01/06/1992 00:00,Tešedíkova,3,,4017,Košice - mestská časť Barca,SK0425,SK042,321,13110,85200,4,12,1110,20,,,Základné školstvo,Primary education,Rozpočtová organizácia,Budgetary organization,50-99 zamestnancov,Štátne,State-owned,50-99 employees,50,99,Košice,"Tešedíkova 3, Košice - mestská časť Barca",48.6755032,21.2633882,"Tešedíkova 629/3, 040 17 Košice, Slovakia"
4272,31295070,Regionálna veterinárna a potravinová správa Košice-okolie,01/01/1999 00:00,Kukučínova,24,,4001,Košice - mestská časť Juh,SK0425,SK042,321,13110,84130,4,6,1110,27,156426,Štátna veterinárna a potravinová správa Slovenskej republiky,Podpora ekonomiky,Regulation of economics,Rozpočtová organizácia,Budgetary organization,10-19 zamestnancov,Štátne,State-owned,10-19 employees,10,19,Košice,"Kukučínova 24, Košice - mestská časť Juh",48.7137235,21.2518036,"Kukučínova 24, 040 01 Košice-Juh, Slovakia"
167,159808,"Reštaurácie, štátny podnik, Košice-vidiek v likvidácii",01/01/1989 00:00,Magnezitárska,2,,4013,Košice - mestská časť Sídlisko Ťahanovce,SK0422,SK042,301,13110,56109,4,0,1110,99,690911,Mestská časť Košice-Ťahanovce,Ost.účelové stravovanie,Other purpose consume,Štátny podnik,State enterprise,nezistený,Štátne,State-owned,unknown,0,0,Košice,"Magnezitárska 2, Košice - mestská časť Sídlisko Ťahanovce",48.7464839,21.2706829,"Magnezitárska 3561/2, 040 13 Košice, Slovakia"
4935,35546841,"Základná škola Ľudovíta Fullu, Maurerova 21, Košice",01/09/1981 00:00,Maurerova,21,,4022,Košice - m. č. Dargovských hrdinov,SK0424,SK042,321,13130,85200,5,12,1110,99,691135,Mesto Košice,Základné školstvo,Primary education,Rozpočtová organizácia,Budgetary organization,50-99 zamestnancov,Vlast.územnej samosprávy,Municipality-owned,50-99 employees,50,99,Košice,"Maurerova 21, Košice - m. č. Dargovských hrdinov",48.7278534,21.2879551,"21, Maurerova 895, 040 22 Dargovských hrdinov, Slovakia"
4254,31257194,Združenie obcí Tokajského regiónu n.o. v likvidácii,18/11/2003 00:00,Čerhov,100,,7681,Čerhov,SK042B,SK042,120,13130,94999,5,0,1110,99,,,Čin.ost.členských org.,Act.of oth.members.org.,Nezisk.org.poskyt.všeob.prosp.služby,Non-profit org.provid.community serv.,nezistený,Vlast.územnej samosprávy,Municipality-owned,unknown,0,0,SK HOBO CORE,"Čerhov 100, Čerhov",48.4646786,21.6491858,"Čerhov 100, 076 81 Čerhov, Slovakia"
4938,35546875,"Základná škola, Krosnianska 4, Košice",29/08/1983 00:00,Krosnianska,4,,4022,Košice - m. č. Dargovských hrdinov,SK0424,SK042,321,13130,85200,5,12,1110,99,691135,Mesto Košice,Základné školstvo,Primary education,Rozpočtová organizácia,Budgetary organization,50-99 zamestnancov,Vlast.územnej samosprávy,Municipality-owned,50-99 employees,50,99,Košice,"Krosnianska 4, Košice - m. č. Dargovských hrdinov",48.7397736,21.2860073,"4, Krosnianska 925, 040 22 Košice-Dargovských hrdinov, Slovakia"
369,166383,Inšpektorát práce Košice,01/01/1974 00:00,Masarykova,10,1887,4001,Košice - mestská časť Staré Mesto,SK0422,SK042,321,13110,84110,4,12,1110,22,681156,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky",Všeobecná verejná správa,General publ.admin.act.,Rozpočtová organizácia,Budgetary organization,50-99 zamestnancov,Štátne,State-owned,50-99 employees,50,99,Košice,"Masarykova 10, Košice - mestská časť Staré Mesto",48.7293656,21.2621144,"Masarykova 10, 040 01 Košice-Staré Mesto, Slovakia"
4296,31298028,"Spojená škola, Vojenská 13, Košice",01/01/1925 00:00,Vojenská,13,,4001,Košice - mestská časť Staré Mesto,SK0422,SK042,321,13110,85200,4,12,1110,20,,,Základné školstvo,Primary education,Rozpočtová organizácia,Budgetary organization,50-99 zamestnancov,Štátne,State-owned,50-99 employees,50,99,Košice,"Vojenská 13, Košice - mestská časť Staré Mesto",48.7208007,21.2479985,"Vojenská 1355/13, 040 01 Košice, Slovakia"
