id,lon,lat,note,type,in_sk_municipality,in_hu_municipality,crossing,to_b_gr_api,from_tv_duration_m,from_tv_km,from_ke_duration_m,from_ke_km,id_crossing,id_crossing_km_dur,id_crossing_km_dur_ke
19,21.5007461,48.5548496,roads on both sides,Official border crossing via paved road,Slanská Huta,Pusztafalu,Slanská Huta <-> Pusztafalu,"Pusztafalu, Unnamed Road, 3995 Hungary",37.8,25.4 km,48,39.8 km,19 Slanská Huta <-> Pusztafalu,,19 Slanská Huta <-> Pusztafalu (25.4 km; 37.8 min)
3,21.7386481,48.349134,roads on both sides,Official border crossing via paved road,Streda nad Bodrogom,Káros,Streda nad Bodrogom <-> Káros,"3686, 076 31 Streda nad Bodrogom, Slovakia",37.2,39.8 km,72,72.1 km,3 Streda nad Bodrogom <-> Káros,,3 Streda nad Bodrogom <-> Káros (39.8 km; 37.2 min)
33,21.26144,48.52855,railway crossing with platform,Railway crossing,Seňa,Hidasnémeti,Seňa <-> Hidasnémeti,,,,,,33 Seňa <-> Hidasnémeti,,
34,21.1924,48.52672,roads on both sides,Official border crossing via paved road,Perín-Chym,Hidasnémeti,Perín-Chym < - >Hidasnémeti,,,,,,34 Perín-Chym < - >Hidasnémeti,,
4,21.7051018,48.3671087,paved road on hungarian side,Possible border crossing via unpaved road,Klin nad Bodrogom,Felsőberecki,Klin nad Bodrogom <-> Felsőberecki,,,,,,4 Klin nad Bodrogom <-> Felsőberecki,,
2,21.7992358,48.3421976,paved road on hungarian side,Possible border crossing via unpaved road,Malý Kamenec,Karcsa,Malý Kamenec <-> Karcsa,,,,,,2 Malý Kamenec <-> Karcsa,,
16,21.5251554,48.5229692,paved road on hungarian side,Possible border crossing via unpaved road,Byšta,Füzérkajata,Byšta <-> Füzérkajata,,,,,,16 Byšta <-> Füzérkajata,,
14,21.5566156,48.5097346,paved road on hungarian side,Possible border crossing via unpaved road,Byšta,Vilyvitány,Byšta <-> Vilyvitány,,,,,,14 Byšta <-> Vilyvitány,,
29,21.305792,48.536694,roads on both sides,Official border crossing via paved road,Kechnec,Abaújvár,Kechnec <-> Abaújvár,"Abaújvár, Kovács út 25, 3898 Hungary",61.8,59.4 km,28.2,23.4 km,29 Kechnec <-> Abaújvár,,29 Kechnec <-> Abaújvár (59.4 km; 61.8 min)
10,21.65717,48.42548,roads on both sides,Official border crossing via paved road,Slovenské Nové Mesto,Sátoraljaújhely,Slovenské Nové Mesto <-> Sátoraljaújhely,"79A, 076 33 Slovenské Nové Mesto, Slovakia",21,25.0 km,56.4,57.3 km,10 Slovenské Nové Mesto <-> Sátoraljaújhely,,10 Slovenské Nové Mesto <-> Sátoraljaújhely (25.0 km; 21 min)
1,21.8294327,48.3344548,roads on both sides,Official border crossing via paved road,Veľký Kamenec,Pácin,Veľký Kamenec <-> Pácin,"Pácin, Európa u. 7, 3964 Hungary",41.4,46.4 km,76.8,78.7 km,1 Veľký Kamenec <-> Pácin,,1 Veľký Kamenec <-> Pácin (46.4 km; 41.4 min)
21,21.4880925,48.5587492,paved road on hungarian side,Possible border crossing via unpaved road,Skároš,Füzér,Skároš <-> Füzér,,,,,,21 Skároš <-> Füzér,,
22,21.4388381,48.5851259,paved road on hungarian side,Possible border crossing via unpaved road,Skároš,Füzér,Skároš <-> Füzér,,,,,,22 Skároš <-> Füzér,,
17,21.5247263,48.5262987,paved road on hungarian side,Possible border crossing via unpaved road,Byšta,Füzérkajata,Byšta <-> Füzérkajata,,,,,,17 Byšta <-> Füzérkajata,,
11,21.6502566,48.4337426,paved road on hungarian side,Possible border crossing via unpaved road,Slovenské Nové Mesto,Sátoraljaújhely,Slovenské Nové Mesto <-> Sátoraljaújhely,,,,,,11 Slovenské Nové Mesto <-> Sátoraljaújhely,,
9,21.6641624,48.4088161,paved road on hungarian side,Possible border crossing via unpaved road,Slovenské Nové Mesto,Sátoraljaújhely,Slovenské Nové Mesto <-> Sátoraljaújhely,"Sátoraljaújhely, Köztársaság u. 55, 3980 Hungary",,,,,9 Slovenské Nové Mesto <-> Sátoraljaújhely,,
28,21.332144,48.55946,roads on both sides,Official border crossing via paved road,Trstené pri Hornáde,Kéked,Trstené pri Hornáde <-> Kéked,"3342, 044 11 Trstené pri Hornáde, Slovakia",48,47.9 km,26.4,24.1 km,28 Trstené pri Hornáde <-> Kéked,,28 Trstené pri Hornáde <-> Kéked (47.9 km; 48 min)
31,21.254103,48.531622,roads on both sides,Official border crossing via paved road,Milhosť,Tornyosnémeti,Milhosť <-> Tornyosnémeti,"Milhosť 124, 044 58 Milhosť, Slovakia",56.4,58.2 km,22.2,21.6 km,31 Milhosť <-> Tornyosnémeti,,31 Milhosť <-> Tornyosnémeti (58.2 km; 56.4 min)
32,21.2520676,48.5324389,roads on both sides,Official border crossing via paved road,Milhosť,Tornyosnémeti,Milhosť <-> Tornyosnémeti,"Milhosť 123, 044 58 Milhosť, Slovakia",61.8,71.8 km,19.2,23.1 km,32 Milhosť <-> Tornyosnémeti,,32 Milhosť <-> Tornyosnémeti (71.8 km; 61.8 min)
30,21.2872556,48.5242895,paved road on hungarian side,Possible border crossing via unpaved road,Milhosť,Abaújvár,Milhosť <-> Abaújvár,,,,,,30 Milhosť <-> Abaújvár,,
26,21.372785,48.559315,paved road on hungarian side,Possible border crossing via unpaved road,Trstené pri Hornáde,Kéked,Trstené pri Hornáde <-> Kéked,,,,,,26 Trstené pri Hornáde <-> Kéked,,
27,21.3574336,48.5604766,paved road on hungarian side,Possible border crossing via unpaved road,Trstené pri Hornáde,Kéked,Trstené pri Hornáde <-> Kéked,,,,,,27 Trstené pri Hornáde <-> Kéked,,
20,21.4972823,48.5605537,roads on both sides,Official border crossing via paved road,Slanská Huta,Pusztafalu,Slanská Huta <-> Pusztafalu,"Unnamed Road, 044 17 Slanská Huta, Slovakia",45,27.2 km,46.2,34.7 km,20 Slanská Huta <-> Pusztafalu,,20 Slanská Huta <-> Pusztafalu (27.2 km; 45 min)
12,21.6117567,48.5093825,roads on both sides,Official border crossing via paved road,Michaľany,Felsőregmec,Michaľany <-> Felsőregmec,"Športová 183, 076 14 Michaľany, Slovakia",19.2,18.8 km,46.2,46.1 km,12 Michaľany <-> Felsőregmec,,12 Michaľany <-> Felsőregmec (18.8 km; 19.2 min)
23,21.421181,48.573386,paved road on hungarian side,Possible border crossing via unpaved road,Skároš,Füzér,Skároš <-> Füzér,,,,,,23 Skároš <-> Füzér,,
24,21.410301,48.559051,paved road on hungarian side,Possible border crossing via unpaved road,Skároš,Füzér,Skároš <-> Füzér,,,,,,24 Skároš <-> Füzér,,
18,21.51685,48.543239,paved road on hungarian side,Possible border crossing via unpaved road,Byšta,Pusztafalu,Byšta <-> Pusztafalu,,,,,,18 Byšta <-> Pusztafalu,,
15,21.5410263,48.5136121,paved road on hungarian side,Possible border crossing via unpaved road,Byšta,Vilyvitány,Byšta <-> Vilyvitány,,,,,,15 Byšta <-> Vilyvitány,,
13,21.5856485,48.5109427,paved road on hungarian side,Possible border crossing via unpaved road,Byšta,Felsőregmec,Byšta <-> Felsőregmec,,,,,,13 Byšta <-> Felsőregmec,,
5,21.6938786,48.3839611,paved road on hungarian side,Possible border crossing via unpaved road,Borša,Sátoraljaújhely,Borša <-> Sátoraljaújhely,,,,,,5 Borša <-> Sátoraljaújhely,,
8,21.6669957,48.4003756,roads on both sides,Official border crossing via paved road,Slovenské Nové Mesto,Sátoraljaújhely,Slovenské Nové Mesto <-> Sátoraljaújhely,"Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",24.6,28.0 km,60,60.3 km,8 Slovenské Nové Mesto <-> Sátoraljaújhely,,8 Slovenské Nové Mesto <-> Sátoraljaújhely (28.0 km; 24.6 min)
25,21.395672,48.563575,roads on both sides,Official border crossing via paved road,Skároš,Hollóháza-Füzér,Skároš <-> Hollóháza-Füzér,"3416, 044 11 Skároš, Slovakia",47.4,48.2 km,27,25.1 km,25 Skároš <-> Hollóháza-Füzér,,25 Skároš <-> Hollóháza-Füzér (48.2 km; 47.4 min)
