level_0,index,geocoder_status,place_id,types,from_a,to_b,distance_km,distance_m,duration_h,duration_m,start_location,end_location
0,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","3686, 076 31 Streda nad Bodrogom, Slovakia",72.1 km,72097,1 hour 12 mins,72,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.3491367, 'lng': 21.7385933}"
1,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Pácin, Európa u. 7, 3964 Hungary",78.7 km,78699,1 hour 17 mins,76.8,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.3344578, 'lng': 21.8294407}"
2,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Milhosť 124, 044 58 Milhosť, Slovakia",21.6 km,21642,22 mins,22.2,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.53163, 'lng': 21.2539951}"
5,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Milhosť 123, 044 58 Milhosť, Slovakia",23.1 km,23099,19 mins,19.2,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.5324485, 'lng': 21.2521081}"
3,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","79A, 076 33 Slovenské Nové Mesto, Slovakia",57.3 km,57269,56 mins,56.4,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.4255193, 'lng': 21.6571488}"
6,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","3342, 044 11 Trstené pri Hornáde, Slovakia",24.1 km,24060,27 mins,26.4,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.55945939999999, 'lng': 21.3321121}"
7,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","3416, 044 11 Skároš, Slovakia",25.1 km,25143,27 mins,27,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.5635743, 'lng': 21.3956365}"
8,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Unnamed Road, 044 17 Slanská Huta, Slovakia",34.7 km,34678,46 mins,46.2,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.5605769, 'lng': 21.4972555}"
0,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Pusztafalu, Unnamed Road, 3995 Hungary",39.8 km,39795,48 mins,48,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.5548592, 'lng': 21.5007301}"
9,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Športová 183, 076 14 Michaľany, Slovakia",46.1 km,46106,46 mins,46.2,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.5093826, 'lng': 21.6117573}"
10,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",60.3 km,60276,1 hour 0 mins,60,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.4003727, 'lng': 21.666996}"
0,0,OK,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,locality,"Košice, Slovakia","Abaújvár, Kovács út 25, 3898 Hungary",23.4 km,23408,28 min,28.2,"{'lat': 48.7163776, 'lng': 21.261099}","{'lat': 48.53162, 'lng': 21.3121516}"
