level_0,index,distance_km,distance_m,duration_h,duration_m,end_location,from_a,geocoder_status,id_cb,partial_match,place_id,start_location,to_b,types
40,0,0.2 km,166,1 min,48,"{'lat': 48.4003727, 'lng': 21.666996}","076 33 Slovenské Nové Mesto, Slovakia",OK,8,NULL,ChIJ7S2pYHPOOEcRcHqXxtH3AAQ,"{'lat': 48.40054019999999, 'lng': 21.669215}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
0,0,72.1 km,72128,1 hour 12 mins,4304,"{'lat': 48.3344578, 'lng': 21.8294407}","044 41 Sady nad Torysou, Slovakia",OK,1,NULL,ChIJ9V21E-PePkcREEmXxtH3AAQ,"{'lat': 48.70756069999999, 'lng': 21.3458681}","Pácin, Európa u. 7, 3964 Hungary",locality
1,0,26.3 km,26344,25 mins,1515,"{'lat': 48.3344578, 'lng': 21.8294407}","076 82 Malá Tŕňa, Slovakia",OK,1,NULL,ChIJZTkRKxfSOEcR8Ek92zVxxrI,"{'lat': 48.4558008, 'lng': 21.6826166}","Pácin, Európa u. 7, 3964 Hungary",locality
41,0,15.7 km,15718,15 mins,883,"{'lat': 48.3344578, 'lng': 21.8294407}","076 32 Borša, Slovakia",OK,1,NULL,ChIJ_8pRkVPOOEcR91uFAGsl-ck,"{'lat': 48.3953271, 'lng': 21.7071432}","Pácin, Európa u. 7, 3964 Hungary",locality
2,0,27.7 km,27709,27 mins,1604,"{'lat': 48.3344578, 'lng': 21.8294407}","076 82 Veľká Tŕňa, Slovakia",OK,1,NULL,ChIJM3u3MEjSOEcRQByXxtH3AAQ,"{'lat': 48.46778399999999, 'lng': 21.6785942}","Pácin, Európa u. 7, 3964 Hungary",locality
85,0,17.3 km,17251,16 mins,967,"{'lat': 48.3344578, 'lng': 21.8294407}","076 37 Rad, Slovakia",OK,1,NULL,ChIJ84hUaVjaOEcREHGXxtH3AAQ,"{'lat': 48.4635379, 'lng': 21.8575394}","Pácin, Európa u. 7, 3964 Hungary",locality
3,0,95.3 km,95261,1 hour 20 mins,4790,"{'lat': 48.3344578, 'lng': 21.8294407}","044 31 Družstevná pri Hornáde, Slovakia",OK,1,NULL,ChIJN-oTAO7mPkcRoEWXxtH3AAQ,"{'lat': 48.8050428, 'lng': 21.2487383}","Pácin, Európa u. 7, 3964 Hungary",locality
2,0,6.3 km,6279,6 mins,383,"{'lat': 48.4255193, 'lng': 21.6571488}","076 82 Veľká Tŕňa, Slovakia",OK,10,NULL,ChIJM3u3MEjSOEcRQByXxtH3AAQ,"{'lat': 48.46778399999999, 'lng': 21.6785942}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
4,0,102 km,102076,1 hour 23 mins,4968,"{'lat': 48.3344578, 'lng': 21.8294407}","044 81 Kysak, Slovakia",OK,1,NULL,ChIJq9KJX5nlPkcRIEeXxtH3AAQ,"{'lat': 48.85345479999999, 'lng': 21.2209916}","Pácin, Európa u. 7, 3964 Hungary",locality
31,0,17.6 km,17556,14 mins,852,"{'lat': 48.4255193, 'lng': 21.6571488}","076 02 Zemplínsky Branč, Slovakia",OK,10,NULL,ChIJZc9o80TUOEcRE2yQCCVTAVw,"{'lat': 48.54341549999999, 'lng': 21.7218901}","79A, 076 33 Slovenské Nové Mesto, Slovakia",locality
