municipality,from_a,id_cb_longest,id_cb_shortest,shortest_km,shortest_min,id_crossing_shortest,longest_km,longest_min,id_crossing_longest,avg_min,avg_km,order_m
Bara,"076 32 Bara, Slovakia",32,8,8.4 km,10.47,8 Slovenské Nové Mesto <-> Sátoraljaújhely,70.3 km,71.08,32 Milhosť <-> Tornyosnémeti,39.69,34.3,31
Belža,"044 58 Belža, Slovakia",1,31,7.0 km,8.9,31 Milhosť <-> Tornyosnémeti,67.4 km,72.03,1 Veľký Kamenec <-> Pácin,37.54,33.7,26
Borša,"076 32 Borša, Slovakia",32,8,3.0 km,3.73,8 Slovenské Nové Mesto <-> Sátoraljaújhely,65.0 km,64.35,32 Milhosť <-> Tornyosnémeti,32.93,29.39,9
Brezina,"076 12 Brezina, Slovakia",29,12,6.6 km,6.77,12 Michaľany <-> Felsőregmec,30.0 km,50.57,29 Kechnec <-> Abaújvár,31.47,26.73,19
Čerhov,"076 81 Čerhov, Slovakia",32,10,4.5 km,4.1,10 Slovenské Nové Mesto <-> Sátoraljaújhely,68.9 km,61.75,32 Milhosť <-> Tornyosnémeti,32.09,29.06,10
Gyňov,"044 14 Gyňov, Slovakia",1,28,10.0 km,12.08,28 Trstené pri Hornáde <-> Kéked,61.0 km,66.25,1 Veľký Kamenec <-> Pácin,34.96,31.77,37
Kechnec,"044 58 Kechnec, Slovakia",1,31,3.0 km,3.7,31 Milhosť <-> Tornyosnémeti,70.3 km,75.02,1 Veľký Kamenec <-> Pácin,38.33,34.8,8
Kuzmice,"076 12 Kuzmice, Slovakia",29,12,9.6 km,9.05,12 Michaľany <-> Felsőregmec,45.9 km,45.47,29 Kechnec <-> Abaújvár,31.2,30.14,27
Seňa,"044 58 Seňa, Slovakia",1,31,3.1 km,3.25,31 Milhosť <-> Tornyosnémeti,69.0 km,72.9,1 Veľký Kamenec <-> Pácin,36.78,33.97,6
Skároš,"044 11 Skároš, Slovakia",1,25,3.5 km,4.5,25 Skároš <-> Hollóháza-Füzér,53.4 km,58,1 Veľký Kamenec <-> Pácin,30.12,26.48,12
Slanská Huta,"044 17 Slanská Huta, Slovakia",1,20,7.2 km,15.05,20 Slanská Huta <-> Pusztafalu,59.7 km,58.13,1 Veľký Kamenec <-> Pácin,36.42,34.54,50
Slovenské Nové Mesto,"076 33 Slovenské Nové Mesto, Slovakia",32,8,0.2 km,0.8,8 Slovenské Nové Mesto <-> Sátoraljaújhely,62.1 km,61.42,32 Milhosť <-> Tornyosnémeti,30.98,27.47,1
Trstené pri Hornáde,"044 11 Trstené pri Hornáde, Slovakia",1,28,1.6 km,2.72,28 Trstené pri Hornáde <-> Kéked,60.3 km,65.08,1 Veľký Kamenec <-> Pácin,34.2,31.36,3
Veľký Kamenec,"076 36 Veľký Kamenec, Slovakia",32,1,3.7 km,3.5,1 Veľký Kamenec <-> Pácin,77.0 km,75.45,32 Milhosť <-> Tornyosnémeti,41.3,38.46,7
Blažice,"044 16 Blažice, Slovakia",1,25,16.6 km,18.07,25 Skároš <-> Hollóháza-Füzér,62.7 km,59.82,1 Veľký Kamenec <-> Pácin,34.6,33.1,66
Bočiar,"044 57 Bočiar, Slovakia",1,31,14.2 km,14.13,31 Milhosť <-> Tornyosnémeti,67.7 km,72.77,1 Veľký Kamenec <-> Pácin,39.41,36.2,46
Bohdanovce,"044 16 Bohdanovce, Slovakia",1,25,15.2 km,16.05,25 Skároš <-> Hollóháza-Füzér,60.9 km,57.23,1 Veľký Kamenec <-> Pácin,32.25,31.48,56
Čaňa,"044 14 Čaňa, Slovakia",1,28,7.1 km,8.75,28 Trstené pri Hornáde <-> Kéked,58.2 km,62.92,1 Veľký Kamenec <-> Pácin,31.75,29.02,25
Brehov,"076 05 Brehov, Slovakia",29,8,18.9 km,19.62,8 Slovenské Nové Mesto <-> Sátoraljaújhely,72.4 km,65.8,29 Kechnec <-> Abaújvár,42.21,42.88,70
Byšta,"076 13 Byšta, Slovakia",32,12,6.6 km,8.02,12 Michaľany <-> Felsőregmec,50.4 km,55.82,32 Milhosť <-> Tornyosnémeti,33.33,26.05,22
Cejkov,"076 05 Cejkov, Slovakia",32,8,13.8 km,14.43,8 Slovenské Nové Mesto <-> Sátoraljaújhely,78.4 km,66.02,32 Milhosť <-> Tornyosnémeti,40.46,39.5,47
Čeľovce,"076 17 Čeľovce, Slovakia",29,12,12.1 km,13.25,12 Michaľany <-> Felsőregmec,50.0 km,47.62,29 Kechnec <-> Abaújvár,33.35,33.95,43
Černochov,"076 32 Černochov, Slovakia",32,8,9.5 km,10.83,8 Slovenské Nové Mesto <-> Sátoraljaújhely,71.4 km,71.45,32 Milhosť <-> Tornyosnémeti,39.86,34.37,33
