idn4,nm4,cp_nm4,name_zsr,time_tables,barrier_free_access,gp_place_id,gp_tn_nm,n_dir_con_mun_in_sk_hobo
521299,Čaňa,Ča%C5%88a,Čaňa,169,TRUE,ChIJOfdrdUwhP0cR9UBDqZm6sAs,Čaňa,0
521370,Geča,Ge%C4%8Da,Geča,169,FALSE,ChIJjw-Q9RchP0cRCbajdnN2wNI,Geča,0
521388,Gyňov,Gy%C5%88ov,Gyňov,169,TRUE,ChIJRwfFBAQkP0cRAcpLidCzYXM,Gyňov,0
559687,Kechnec,Kechnec,Kechnec,169,TRUE,ChIJ_VUrtZskP0cR_nTiEODb56I,Kechnec,0
521973,Seňa,Se%C5%88a,Seňa,169,TRUE,ChIJYX1Din4kP0cRpSXmrJOAYj4,Seňa,0
522139,Valaliky,Valaliky,Valaliky,169,TRUE,ChIJFx_yavkgP0cREZRouQtuHEk,Valaliky,0
521205,Bohdanovce,Bohdanovce,Bohdanovce,190,FALSE,ChIJDfQvW3onP0cRJVwe_8acgME,Bohdanovce,13
528170,Borša,Bor%C5%A1a,Borša,190,TRUE,ChIJyXQ_jVbOOEcRwfmSNkhTHm8,Borsa,13
528242,Čeľovce,Če%C4%BEovce,Čeľovce,190,TRUE,ChIJ1-Df1n4qP0cRLFsZPtFkLpg,Čeľovce,2
528251,Čerhov,%C4%8Cerhov,Čerhov,190,TRUE,ChIJsS7z92HSOEcR6tReukGUmNQ,Cerhov,13
521507,Kalša,Kal%C5%A1a,Kalša,190,TRUE,ChIJNaqtH8cpP0cRRFg9XjQ34uw,Kalsa,13
NULL,Košice,Ko%C5%A1ice,Košice,1.2016E+14,TRUE,ChIJy2EK-3vgPkcR__qdK5Qf8iM,Kosice,21
582514,Kostoľany nad Hornádom,Kostoľany nad Horn%C3%A1dom,Kostoľany nad Hornádom,180,TRUE,ChIJvXWSBurmPkcRtmeMhNowkkw,Kostoľany nad Hornádom,6
528471,Kuzmice,Kuzmice,Kuzmice,190,TRUE,ChIJBbhZ9LUrP0cRjK4rWF_JFXY,Kuzmice,13
521639,Kysak,Kysak,Kysak,120180188,TRUE,ChIJPbQYZfLlPkcRxjtRWPBE3P0,Kysak,7
528501,Lastovce,Lastovce,Lastovce,191,TRUE,ChIJ8YQJ-1crP0cRk0pGKqadDpM,Lastovce,4
521663,Malá Lodina,Mal%C3%A1 Lodina,Malá Lodina,180,TRUE,ChIJbw0dDqz6PkcR9gtLfiXgpTg,Malá Lodina,5
521736,Nižná Myšľa,Nižn%C3%A1 Myšľa,Nižná Myšľa,190,TRUE,ChIJ-fncCBwnP0cRb4C47KAB3fc,Nizna Mysla,13
521817,Obišovce,Obi%C5%A1ovce,Obišovce,188,TRUE,ChIJhxBgV1jvPkcRPyFa2JaXcnE,Obišovce,4
521957,Ruskov,Ruskov,Ruskov,190,FALSE,ChIJhckUn4rYPkcR4hmIZqCiVQQ,Ruskov,13
522007,Slanec,Slanec,Slanec,190,TRUE,ChIJ6eNhm-LXPkcRyLxbJwVpa0g,Slanec,13
543756,Slovenské Nové Mesto,Slovensk%C3%A9 Nov%C3%A9 Mesto,Slovenské Nové Mesto,190,TRUE,ChIJybkcx37OOEcRO8EOPM17L64,Slovenské Nové Mesto,13
543772,Somotor,Somotor,Somotor,190,TRUE,ChIJz31o3WrFOEcR9zvdmINAnKE,Somotor,13
513849,Stanča,Stan%C4%8Da,Stanča,191,TRUE,ChIJUx55TiorP0cRdlux4cdy21k,Stanča,4
543802,Streda nad Bodrogom,Streda nad Bodrogom,Streda nad Bodrogom,190,TRUE,ChIJnTKZfJrPOEcRk0IEskzs8FQ,Streda nad Bodrogom,13
522082,Trebejov,Trebejov,Trebejov,180,TRUE,ChIJrePW8MTlPkcRJtvNGnKcS5k,Trebejov,6
528099,Trebišov,Trebi%C5%A1ov,Trebišov,190191192,TRUE,ChIJ_wJFsC3VPkcRpeLI-KDWIX4,Trebišov,7
543845,Veľaty,Ve%C4%BEaty,Veľaty,191,FALSE,ChIJ2TG4BafUOEcRwPANDygxzEI,Veľaty,4
522155,Veľká Lodina,Veľk%C3%A1 Lodina,Veľká Lodina,180,TRUE,ChIJmzucWUDlPkcRoMq906CPVxU,Veľká Lodina,5
522198,Vyšná Myšľa,Vyšn%C3%A1 Myšľa,Vyšná Myšľa,190,TRUE,ChIJaV_8kxEnP0cRDy0azdbvlE0,Vysna Mysla,13
528587,Michaľany,Micha%C4%BEany,Michaľany,190191,TRUE,NULL,NULL,17
