index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Malá Lodina,Košice,26 min,26 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,26,SK HOBO CORE,nw
0,Trebejov,Košice,15 min,14 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,15,SK HOBO CORE,nw
0,Veľká Lodina,Košice,23 min,23 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,23,SK HOBO CORE,nw
0,Kostoľany nad Hornádom,Košice,9 min,9 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,9,SK HOBO CORE,nw
0,Kysak,Košice,17 min,16 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,17,SK HOBO CORE,nw
0,Kysak,Trebišov,1 hod 29 min,69 km,TRUE,0101000020E61000007863416150B63540520C906802514840,89,SK HOBO CORE,nw
0,Malá Lodina,Kostoľany nad Hornádom,17 min,17 km,TRUE,0101000020E610000015771783E23E35405C621BA7D7654840,17,SK HOBO CORE,nw
0,Malá Lodina,Kysak,8 min,10 km,TRUE,0101000020E610000002D8800871393540613255302A6D4840,8,SK HOBO CORE,nw
0,Trebejov,Kysak,3 min,2 km,TRUE,0101000020E610000002D8800871393540613255302A6D4840,3,SK HOBO CORE,nw
0,Veľká Lodina,Kysak,5 min,7 km,TRUE,0101000020E610000002D8800871393540613255302A6D4840,5,SK HOBO CORE,nw
0,Kostoľany nad Hornádom,Kysak,7 min,7 km,TRUE,0101000020E610000002D8800871393540613255302A6D4840,7,SK HOBO CORE,nw
0,Trebejov,Malá Lodina,12 min,12 km,TRUE,0101000020E610000056D80C7041223540AE69EF9DE26F4840,12,SK HOBO CORE,nw
0,Veľká Lodina,Malá Lodina,3 min,3 km,TRUE,0101000020E610000056D80C7041223540AE69EF9DE26F4840,3,SK HOBO CORE,nw
0,Kostoľany nad Hornádom,Malá Lodina,16 min,17 km,TRUE,0101000020E610000056D80C7041223540AE69EF9DE26F4840,16,SK HOBO CORE,nw
0,Kysak,Malá Lodina,8 min,10 km,TRUE,0101000020E610000056D80C7041223540AE69EF9DE26F4840,8,SK HOBO CORE,nw
0,Trebejov,Kostoľany nad Hornádom,5 min,5 km,TRUE,0101000020E610000015771783E23E35405C621BA7D7654840,5,SK HOBO CORE,nw
0,Veľká Lodina,Kostoľany nad Hornádom,13 min,14 km,TRUE,0101000020E610000015771783E23E35405C621BA7D7654840,13,SK HOBO CORE,nw
0,Malá Lodina,Trebejov,11 min,12 km,TRUE,0101000020E6100000704AD466F73735403BB31314F56A4840,11,SK HOBO CORE,nw
0,Veľká Lodina,Trebejov,8 min,9 km,TRUE,0101000020E6100000704AD466F73735403BB31314F56A4840,8,SK HOBO CORE,nw
0,Kostoľany nad Hornádom,Trebejov,4 min,5 km,TRUE,0101000020E6100000704AD466F73735403BB31314F56A4840,4,SK HOBO CORE,nw
0,Kysak,Trebejov,2 min,2 km,TRUE,0101000020E6100000704AD466F73735403BB31314F56A4840,2,SK HOBO CORE,nw
0,Malá Lodina,Veľká Lodina,3 min,3 km,TRUE,0101000020E610000002CE9C3FB7273540DF707A72A86D4840,3,SK HOBO CORE,nw
0,Trebejov,Obišovce,6 min,5 km,TRUE,0101000020E6100000E96514CB2D3D3540AED85F764F6E4840,6,SK HOBO CORE,nw
0,Kostoľany nad Hornádom,Obišovce,11 min,10 km,TRUE,0101000020E6100000E96514CB2D3D3540AED85F764F6E4840,11,SK HOBO CORE,nw
0,Kysak,Obišovce,3 min,3 km,TRUE,0101000020E6100000E96514CB2D3D3540AED85F764F6E4840,3,SK HOBO CORE,nw
0,Trebejov,Veľká Lodina,9 min,9 km,TRUE,0101000020E610000002CE9C3FB7273540DF707A72A86D4840,9,SK HOBO CORE,nw
0,Kostoľany nad Hornádom,Veľká Lodina,13 min,14 km,TRUE,0101000020E610000002CE9C3FB7273540DF707A72A86D4840,13,SK HOBO CORE,nw
0,Kysak,Veľká Lodina,5 min,7 km,TRUE,0101000020E610000002CE9C3FB7273540DF707A72A86D4840,5,SK HOBO CORE,nw
0,Kalša,Bohdanovce,16 min,15 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,16,SK HOBO CORE,se
0,Michaľany,Bohdanovce,29 min,29 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,29,SK HOBO CORE,se
0,Nižná Myšľa,Bohdanovce,6 min,4 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,6,SK HOBO CORE,se
0,Ruskov,Bohdanovce,3 min,3 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,3,SK HOBO CORE,se
0,Bohdanovce,Košice,23 min,19 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,23,SK HOBO CORE,se
0,Borša,Košice,1 hod 8 min,66 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,68,SK HOBO CORE,se
0,Vyšná Myšľa,Košice,19 min,17 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,19,SK HOBO CORE,se
0,Streda nad Bodrogom,Košice,1 hod 12 min,70 km,TRUE,0101000020E6100000BE1017258D443540D67DB6C4805C4840,72,SK HOBO CORE,se
0,Somotor,Bohdanovce,56 min,54 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,56,SK HOBO CORE,se
0,Vyšná Myšľa,Bohdanovce,3 min,2 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,3,SK HOBO CORE,se
0,Streda nad Bodrogom,Bohdanovce,49 min,51 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,49,SK HOBO CORE,se
0,Bohdanovce,Borša,45 min,47 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,45,SK HOBO CORE,se
0,Čerhov,Borša,10 min,11 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,10,SK HOBO CORE,se
0,Kalša,Borša,29 min,32 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,29,SK HOBO CORE,se
