index,from_a,to_b,route_time,route_km,operating,alter_from_a,alter_to_b,tv_line,uo_from_ke,km,mini,rank_dur_ke,uo_duration,rank_abc_tv,sector,inner_sector,district,geopark,tvc,sector_from_hex,json_sector,json_sector_to,inner_sector_to,to_district,to_geopark
0,"Bara,Malá Bara","Borša,,rázc.k žel.st.",4 min,4 km,TRUE,Bara,Borša,NULL,NULL,4,4,NULL,under 15 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,TVC,Trebišov,True
0,"Bara,Malá Bara","Brehov,,rázc.Biňov",27 min,19 km,TRUE,Bara,Brehov,NULL,NULL,19,27,NULL,over 15 under 30 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Bara,Malá Bara","Cejkov,,Jednota",13 min,11 km,TRUE,Bara,Cejkov,NULL,NULL,11,13,NULL,under 15 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Bara,Malá Bara","Čeľovce,,č.d.117 2",1 hod 49 min,35 km,TRUE,Bara,Čeľovce,NULL,NULL,35,109,NULL,over 95 under 110 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Bara,Malá Bara","Černochov,,rázc.",1 min,2 km,TRUE,Bara,Černochov,NULL,NULL,2,1,NULL,under 15 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,TVC,Trebišov,True
0,"Bara,Malá Bara","Hraň,,č.d.146",33 min,23 km,TRUE,Bara,Hraň,NULL,NULL,23,33,NULL,over 30 under 45 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Bara,Malá Bara","Kožuchov,,OcÚ",35 min,25 km,TRUE,Bara,Kožuchov,NULL,NULL,25,35,NULL,over 30 under 45 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Bara,Malá Bara","Nižný Žipov,,kostol 2",1 hod 45 min,32 km,TRUE,Bara,Nižný Žipov,NULL,NULL,32,105,NULL,over 95 under 110 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Bara,Malá Bara","Novosad,,nákup.stred.",28 min,19 km,TRUE,Bara,Novosad,NULL,NULL,19,28,NULL,over 15 under 30 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Bara,Malá Bara","Plechotice,,Centrum 2",1 hod 57 min,38 km,TRUE,Bara,Plechotice,NULL,NULL,38,117,NULL,over 110,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Bara,Malá Bara","Sirník,,Stredisko obce",29 min,20 km,TRUE,Bara,Sirník,NULL,NULL,20,29,NULL,over 15 under 30 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Bara,Malá Bara","Slovenské N.Mesto,,č.d.281/212",7 min,6 km,TRUE,Bara,Slovenské Nové Mesto,NULL,NULL,6,7,NULL,under 15 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,TVC,Trebišov,True
0,"Bara,Malá Bara","Stanča,,Hrunok 2",1 hod 41 min,30 km,TRUE,Bara,Stanča,NULL,NULL,30,101,NULL,over 95 under 110 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Bara,Malá Bara","Streda n.Bodrog.,,žel.st.",14 min,10 km,TRUE,Bara,Streda nad Bodrogom,NULL,NULL,10,14,NULL,under 15 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Bara,Malá Bara","Trebišov,,AS",49 min,34 km,TRUE,Bara,Trebišov,NULL,NULL,34,49,NULL,over 45 under 60 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,TV,TV,Trebišov,False
0,"Bara,Malá Bara","Viničky,,rázc.Ladmovce",13 min,9 km,TRUE,Bara,Viničky,NULL,NULL,9,13,NULL,under 15 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,TVC,Trebišov,True
0,"Bara,Malá Bara","Zemplín.Nová Ves,Úpor,závory 2",1 hod 40 min,29 km,TRUE,Bara,Zemplínska Nová Ves,NULL,NULL,29,100,NULL,over 95 under 110 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Bara,Malá Bara","Zemplín.Hradište,,rázc.",38 min,27 km,TRUE,Bara,Zemplínske Hradište,NULL,NULL,27,38,NULL,over 30 under 45 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Bara,Malá Bara","Zemplín.Jastrabie,,č.d.186",22 min,15 km,TRUE,Bara,Zemplínske Jastrabie,NULL,NULL,15,22,NULL,over 15 under 30 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Bara,Malá Bara","Zemplín.Branč,,č.d.1",31 min,22 km,TRUE,Bara,Zemplínsky Branč,NULL,NULL,22,31,NULL,over 30 under 45 min,NULL,SK HOBO CORE,TVC,Trebišov,TRUE,TRUE,#0000FF,SK HOBO CORE,SK HOBO CORE,Rest of TV district,Trebišov,False
0,"Belža,,rázc.","Čaňa,,centrum",15 min,11 km,TRUE,Belža,Čaňa,NULL,NULL,11,15,NULL,under 15 min,NULL,SK HOBO CORE,SE KS district,Košice - okolie,FALSE,FALSE,#0000FF,SK HOBO CORE,SK HOBO CORE,SE KS district,Košice - okolie,False
