index,from_a,to_b,route_time,route_km,operating,alter_from_a,alter_to_b,km,mini,rank_dur_ke,uo_duration,rank_abc_tv,sector,inner_sector,district,geopark,tvc,sector_from_hex,json_sector,json_sector_to,inner_sector_to,to_district,to_geopark
0,"Košice,,AS 15","Kysak,,most",28 min,21 km,TRUE,Košice,Kysak,21,28,24,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,NW,Košice - okolie,FALSE
0,"Košice,,AS 15",Malá Lodina,50 min,31 km,TRUE,Košice,Malá Lodina,31,50,27,over 45 under 60 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,NW,Košice - okolie,FALSE
0,"Košice,,AS 15","Kostoľany n.Hornádom,,centrum",17 min,11 km,TRUE,Košice,Kostoľany nad Hornádom,11,17,23,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,NW,Košice - okolie,FALSE
0,"Košice,,AS 11","Slivník,,č.d.96",50 min,36 km,TRUE,Košice,Slivník,36,50,49,over 45 under 60 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of TV district,Trebišov,FALSE
0,"Košice,,AS 10","Veľaty,,cintorín 1",1 hod 16 min,55 km,TRUE,Košice,Veľaty,55,76,57,over 75 under 80 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of geopark,Trebišov,TRUE
0,"Košice,,AS 10","Čeľovce,,č.d.117 1",56 min,42 km,TRUE,Košice,Čeľovce,42,56,10,over 45 under 60 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of TV district,Trebišov,FALSE
0,"Košice,,AS 11","Byšta,,č.d.62",1 hod 8 min,50 km,TRUE,Košice,Byšta,50,68,7,over 60 under 75 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of geopark,Trebišov,TRUE
0,"Košice,,AS 11","Michaľany,,OcÚ 1",1 hod 3 min,51 km,TRUE,Košice,Michaľany,51,63,29,over 60 under 75 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of geopark,Trebišov,TRUE
0,"Košice,,AS 11","Luhyňa,,rázc. 4",1 hod 14 min,57 km,TRUE,Košice,Luhyňa,57,74,26,over 60 under 75 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of geopark,Trebišov,TRUE
0,"Košice,,AS 10","Hrčeľ,,č.d.202 1",1 hod 18 min,58 km,TRUE,Košice,Hrčeľ,58,78,17,over 75 under 80 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of geopark,Trebišov,TRUE
0,"Košice,,AS 10","Nižný Žipov,,kostol 1",1 hod 2 min,45 km,TRUE,Košice,Nižný Žipov,45,62,34,over 60 under 75 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of TV district,Trebišov,FALSE
0,"Košice,,AS 11",Malá Tŕňa,1 hod 25 min,65 km,TRUE,Košice,Malá Tŕňa,65,85,28,over 80 under 95 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,TVC,Trebišov,TRUE
0,"Košice,,AS 12","Zemplín.Teplica,,ZŠ",50 min,33 km,TRUE,Košice,Zemplínska Teplica,33,50,65,over 45 under 60 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of TV district,Trebišov,FALSE
0,"Košice,,AS 10","Egreš,,pri parku 1",54 min,40 km,TRUE,Košice,Egreš,40,54,13,over 45 under 60 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of TV district,Trebišov,FALSE
0,"Košice,,AS 30","Sokoľany,,čak.",21 min,16 km,TRUE,Košice,Sokoľany,16,21,51,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 29","Ždaňa,,Abovská",25 min,17 km,TRUE,Košice,Ždaňa,17,25,63,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 12","Vyšná Myšľa,,rázc.",20 min,14 km,TRUE,Košice,Vyšná Myšľa,14,20,61,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 13","Vyšný Čaj,,ihrisko",21 min,17 km,TRUE,Košice,Vyšný Čaj,17,21,62,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 13","Olšovany,,OcÚ",17 min,14 km,TRUE,Košice,Olšovany,14,17,38,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 28","Skároš,,konečná",38 min,21 km,TRUE,Košice,Skároš,21,38,44,over 30 under 45 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 10","Slanská Huta,,bytový dom",55 min,34 km,TRUE,Košice,Slanská Huta,34,55,47,over 45 under 60 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,Važecká",Nižná Hutka,6 min,5 km,TRUE,Košice,Nižná Hutka,5,6,31,under 15 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 12",Slanské N.Mesto,39 min,28 km,TRUE,Košice,Slanské Nové Mesto,28,39,48,over 30 under 45 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 31","Milhosť,,št.hr.",30 min,24 km,TRUE,Košice,Milhosť,24,30,30,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 11","Veľká Tŕňa,,č.d.200 1",1 hod 22 min,64 km,TRUE,Košice,Veľká Tŕňa,64,82,59,over 80 under 95 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,TVC,Trebišov,TRUE
0,"Košice,,AS 29","Valaliky,Všechsvätých",16 min,11 km,TRUE,Košice,Valaliky,11,16,56,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,Važecká",Blažice,14 min,14 km,TRUE,Košice,Blažice,14,14,2,under 15 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 10","Stanča,,Hrunok 1",1 hod 7 min,47 km,TRUE,Košice,Stanča,47,67,52,over 60 under 75 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,Rest of TV district,Trebišov,FALSE
0,"Košice,,AS 31","Seňa,,kostol",31 min,20 km,TRUE,Košice,Seňa,20,31,42,over 30 under 45 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
0,"Košice,,AS 31","Belža,,rázc.",26 min,18 km,TRUE,Košice,Belža,18,26,1,over 15 under 30 min,NULL,Košice,KE,NULL,NULL,NULL,#00FF00,KE,SK HOBO CORE,SE KS district,Košice - okolie,FALSE
