index,from_a,to_b,route_time,route_km,operating,alter_from_a,alter_to_b,uo_from_ke,km,mini,rank_dur_ke,uo_duration,rank_abc_tv,sector,inner_sector,district,geopark,tvc,sector_from_hex,json_sector,json_sector_to,inner_sector_to,to_district,to_geopark
0,"Trebišov,,AS 3","Čerhov,,pož.zbroj. 1",38 min,22 km,TRUE,Trebišov,Čerhov,NULL,22,38,NULL,over 30 under 45 min,9,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,TVC,Trebišov,True
0,"Trebišov,,AS","Černochov,,rázc.",45 min,28 km,TRUE,Trebišov,Černochov,NULL,28,45,NULL,over 30 under 45 min,10,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,TVC,Trebišov,True
0,"Trebišov,,AS","Košice,,AS",1 hod,48 km,TRUE,Trebišov,Košice,NULL,48,60,NULL,over 45 under 60 min,17,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,KE,KE,NULL,NULL
0,"Trebišov,,AS 3","Veľká Tŕňa,,č.d.200 1",42 min,26 km,TRUE,Trebišov,Veľká Tŕňa,NULL,26,42,NULL,over 30 under 45 min,40,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,TVC,Trebišov,True
0,"Trebišov,,AS 2","Malý Kamenec,,č.d.6 1",1 hod 7 min,48 km,TRUE,Trebišov,Malý Kamenec,NULL,48,67,NULL,over 60 under 75 min,23,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 2","Michaľany,,OcÚ 1",30 min,25 km,TRUE,Trebišov,Michaľany,NULL,25,30,NULL,over 15 under 30 min,24,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 2","Brezina,,č.d.175",1 hod 4 min,41 km,TRUE,Trebišov,Brezina,NULL,41,64,NULL,over 60 under 75 min,5,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 2",Kašov,40 min,25 km,TRUE,Trebišov,Kašov,NULL,25,40,NULL,over 30 under 45 min,15,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 2","Veľký Kamenec,,pošta 1 D",1 hod 8 min,50 km,TRUE,Trebišov,Veľký Kamenec,NULL,50,68,NULL,over 60 under 75 min,41,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 3","Luhyňa,,rázc. 1",22 min,19 km,TRUE,Trebišov,Luhyňa,NULL,19,22,NULL,over 15 under 30 min,21,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS 2","Hrčeľ,,č.d.202 1",22 min,17 km,TRUE,Trebišov,Hrčeľ,NULL,17,22,NULL,over 15 under 30 min,13,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
0,"Trebišov,,AS","Novosad,,nákup.stred.",21 min,15 km,TRUE,Trebišov,Novosad,NULL,15,21,NULL,over 15 under 30 min,27,Trebišov,TV,Trebišov,FALSE,TRUE,#FFA500,TV,SK HOBO CORE,Rest of geopark,Trebišov,True
