id,trail_id,name,trail_length_km,colour,hex_code,administrator,uri,description,copyright
-3517221,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-3517221,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-3517221'>žltá turistika</a></h2>dĺžka 5,7&nbsp;km <img src='https://data.oma.sk/img/turistika-local-yellow.png' alt='marker symbol turistika local yellow' width='30' height='30' />, spravuje Združenie rozvoja cestovného ruchu Čierna hora,  <a target='_BLANK' href='https://turistika.oma.sk/-3517221' title='všetky informácie o trase žltá turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-5737546,8829,8829,4,yellow,#FFFF00,KST,https://turistika.oma.sk/8829,"<h2><a target='_BLANK' href='https://turistika.oma.sk/8829'>8829</a></h2>dĺžka 4,0&nbsp;km <img src='https://data.oma.sk/img/turistika-major-yellow.png' alt='marker symbol turistika major yellow' width='30' height='30' />, spravuje KST, číslo trasy 8829,  <a target='_BLANK' href='https://turistika.oma.sk/8829' title='všetky informácie o trase 8829'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-945981,8806,"Malý Milič, sedlo - Malá Márovka",4.1,yellow,#FFFF00,KST,https://turistika.oma.sk/8806,"<h2><a target='_BLANK' href='https://turistika.oma.sk/8806'>Malý Milič, sedlo - Malá Márovka</a></h2>dĺžka 4,1&nbsp;km <img src='https://data.oma.sk/img/turistika-major-yellow.png' alt='marker symbol turistika major yellow' width='30' height='30' />, spravuje KST, číslo trasy 8806,  <a target='_BLANK' href='https://turistika.oma.sk/8806' title='všetky informácie o trase Malý Milič, sedlo - Malá Márovka'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-11623286,,Lemešanská špacírka,6.1,yellow,#FFFF00,Záhrada pohybu,https://turistika.oma.sk/-11623286,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-11623286'>Lemešanská špacírka</a></h2>dĺžka 4,6&nbsp;km spravuje Záhrada pohybu,  <a target='_BLANK' href='https://turistika.oma.sk/-11623286' title='všetky informácie o trase Lemešanská špacírka'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-3735256,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-3735256,<h2><a target='_BLANK' href='https://turistika.oma.sk/-3735256'>žltá turistika</a></h2>dĺžka 146&nbsp;m  <a target='_BLANK' href='https://turistika.oma.sk/-3735256' title='všetky informácie o trase žltá turistika'>viac o trase</a>,"poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-937772,8775,"Chata na Jahodnej - Myslava, škola",10,yellow,#FFFF00,KST,https://turistika.oma.sk/8775,"<h2><a target='_BLANK' href='https://turistika.oma.sk/8775'>Chata na Jahodnej - Myslava, škola</a></h2>dĺžka 10,0&nbsp;km <img src='https://data.oma.sk/img/turistika-major-yellow.png' alt='marker symbol turistika major yellow' width='30' height='30' />, spravuje KST, číslo trasy 8775,  <a target='_BLANK' href='https://turistika.oma.sk/8775' title='všetky informácie o trase Chata na Jahodnej - Myslava, škola'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-12342893,,žltá turistika,5.8,yellow,#FFFF00,,https://turistika.oma.sk/-12342893,"<h2><a target='_BLANK' href='https://turistika.oma.sk/-12342893'>žltá turistika</a></h2>dĺžka 290&nbsp;m <img src='https://data.oma.sk/img/turistika-peak-yellow.png' alt='marker symbol turistika peak yellow' width='30' height='30' />,  <a target='_BLANK' href='https://turistika.oma.sk/-12342893' title='všetky informácie o trase žltá turistika'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-937773,8815,"Košice sever, štadión - Hradová",5.1,yellow,#FFFF00,KST,https://turistika.oma.sk/8815,"<h2><a target='_BLANK' href='https://turistika.oma.sk/8815'>Košice sever, štadión - Hradová</a></h2>dĺžka 5,1&nbsp;km <img src='https://data.oma.sk/img/turistika-major-yellow.png' alt='marker symbol turistika major yellow' width='30' height='30' />, spravuje KST, číslo trasy 8815,  <a target='_BLANK' href='https://turistika.oma.sk/8815' title='všetky informácie o trase Košice sever, štadión - Hradová'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-937927,5743,Ruskov - Zvernica Črepník,6.1,green,#00FF00,KST,https://turistika.oma.sk/5743,"<h2><a target='_BLANK' href='https://turistika.oma.sk/5743'>Ruskov - Zvernica Črepník</a></h2>dĺžka 6,1&nbsp;km <img src='https://data.oma.sk/img/turistika-major-green.png' alt='marker symbol turistika major green' width='30' height='30' />, spravuje KST, číslo trasy 5743,  <a target='_BLANK' href='https://turistika.oma.sk/5743' title='všetky informácie o trase Ruskov - Zvernica Črepník'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
-4675745,8807,8807,7.4,yellow,#FFFF00,KST,https://turistika.oma.sk/8807,"<h2><a target='_BLANK' href='https://turistika.oma.sk/8807'>8807</a></h2>dĺžka 7,4&nbsp;km <img src='https://data.oma.sk/img/turistika-major-yellow.png' alt='marker symbol turistika major yellow' width='30' height='30' />, spravuje KST, číslo trasy 8807,  <a target='_BLANK' href='https://turistika.oma.sk/8807' title='všetky informácie o trase 8807'>viac o trase</a>","poskytuje https://www.oma.sk (c) prispievatelia Openstreetmap, šírené pod licenciou ODbL ( https://www.openstreetmap.org/copyright ): http://wiki.freemap.sk/Licencia"
