index,from_a,to_b,n_transfers,via_stations,start_date,start_time,route_time,route_km,sector_from,sector_to,inner_sector_from,inner_sector_to,district_from,district_to,tvc_from,tvc_to,geopark_from,geopark_to,id_inner_sector_from,id_inner_sector_to
0,Bohdanovce,Čeľovce,2,"Michaľany, Trebišov",11.10. po,11.10. po,164,57,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,SK HOBO CORE Rest of southeast sector in Trebišov district),Košice - okolie,Trebišov,FALSE,FALSE,FALSE,FALSE,7,6
0,Bohdanovce,Čeľovce,2,"Michaľany, Trebišov",11.10. po,11.10. po,163,57,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,SK HOBO CORE Rest of southeast sector in Trebišov district),Košice - okolie,Trebišov,FALSE,FALSE,FALSE,FALSE,7,6
0,Bohdanovce,Čeľovce,2,"Košice, Trebišov",11.10. po,11.10. po,113,80,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,SK HOBO CORE Rest of southeast sector in Trebišov district),Košice - okolie,Trebišov,FALSE,FALSE,FALSE,FALSE,7,6
0,Bohdanovce,Malá Lodina,2,"Košice, Margecany",11.10. po,11.10. po,92,63,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,SK HOBO CORE Northwest sector,Košice - okolie,Košice - okolie,FALSE,FALSE,FALSE,FALSE,7,3
0,Bohdanovce,Stanča,2,"Košice, Trebišov",11.10. po,11.10. po,126,81,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,SK HOBO CORE Rest of southeast sector in Trebišov district),Košice - okolie,Trebišov,FALSE,FALSE,FALSE,FALSE,7,6
0,Bohdanovce,Trebejov,2,"Košice, Kysak",11.10. po,11.10. po,60,37,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,SK HOBO CORE Northwest sector,Košice - okolie,Košice - okolie,FALSE,FALSE,FALSE,FALSE,7,3
0,Bohdanovce,Veľká Lodina,2,"Košice, Margecany",11.10. po,11.10. po,99,66,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,SK HOBO CORE Northwest sector,Košice - okolie,Košice - okolie,FALSE,FALSE,FALSE,FALSE,7,3
0,Borša,Čeľovce,2,"Michaľany, Trebišov",11.10. po,11.10. po,158,46,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Tokaj Wine Route,SK HOBO CORE Rest of southeast sector in Trebišov district),Trebišov,Trebišov,TRUE,FALSE,TRUE,FALSE,4,6
0,Borša,Čeľovce,2,"Michaľany, Trebišov",11.10. po,11.10. po,105,46,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Tokaj Wine Route,SK HOBO CORE Rest of southeast sector in Trebišov district),Trebišov,Trebišov,TRUE,FALSE,TRUE,FALSE,4,6
0,Borša,Čeľovce,2,"Michaľany, Trebišov",11.10. po,11.10. po,98,46,SK HOBO CORE,SK HOBO CORE,SK HOBO CORE Tokaj Wine Route,SK HOBO CORE Rest of southeast sector in Trebišov district),Trebišov,Trebišov,TRUE,FALSE,TRUE,FALSE,4,6
