y,syntaxonnamelt,occur_district,occur_municipal,n,qm
2010,Ambrosia artemisiifolia,Trebišov,Čerhov,1,0
2010,Ambrosia artemisiifolia,Trebišov,Malá Tŕňa,1,0
2010,Amorpha fruticosa,Trebišov,Čerhov,1,0
2013,Acer negundo (syn.),Trebišov,Klin nad Bodrogom,2,14
2013,Ailanthus altissima,Trebišov,Brehov,2,12.5
2013,Asclepias syriaca,Trebišov,Streda nad Bodrogom,1,0.04
2013,Solidago gigantea,Trebišov,Brehov,1,6.25
2014,Acer negundo (syn.),Košice - okolie,Trstené pri Hornáde,1,17.89
2014,Asclepias syriaca,Trebišov,Kašov,1,22.2
2014,Fallopia japonica,Košice - okolie,Nižná Hutka,1,4.58
2014,Fallopia sp.,Košice - okolie,Trstené pri Hornáde,1,17.89
2014,Impatiens glandulifera,Košice - okolie,Trstené pri Hornáde,1,17.89
2014,Solidago canadensis,Košice - okolie,Nižná Myšľa,2,8.7
2014,Solidago canadensis,Košice - okolie,Ždaňa,1,14.29
2014,Solidago canadensis,Trebišov,Kašov,1,22.2
2014,Solidago gigantea,Košice - okolie,Nižná Hutka,1,4.58
2014,Solidago gigantea,Košice - okolie,Nižná Myšľa,2,8.7
2014,Solidago gigantea,Košice - okolie,Trstené pri Hornáde,1,17.89
2014,Solidago gigantea,Trebišov,Cejkov,1,10.51
2014,Solidago gigantea,Trebišov,Černochov,1,9.58
2015,Acer negundo (syn.),Košice - okolie,Trstené pri Hornáde,1,17.89
2015,Ailanthus altissima,Košice - okolie,Trstené pri Hornáde,1,17.89
2015,Ailanthus altissima,Trebišov,Brehov,2,12.5
2015,Ambrosia artemisiifolia,Trebišov,Somotor,2,8
2015,Fallopia japonica,Trebišov,Klin nad Bodrogom,1,7
2015,Impatiens glandulifera,Košice - okolie,Trstené pri Hornáde,1,17.89
2015,Lycium barbarum,Trebišov,Veľký Kamenec,1,0.97
2015,Negundo aceroides,Trebišov,Klin nad Bodrogom,3,21.01
2015,Solidago canadensis,Košice - okolie,Trstené pri Hornáde,1,13.1
2015,Solidago gigantea,Trebišov,Brehov,1,6.25
2016,Amorpha fruticosa,Trebišov,Slovenské Nové Mesto,1,0
2016,Fallopia sp.,Trebišov,Streda nad Bodrogom,1,0
2018,Ambrosia artemisiifolia,Trebišov,Somotor,1,0
2018,Amorpha fruticosa,Trebišov,Zemplín,1,0
2019,Ailanthus altissima,Košice - okolie,Valaliky,1,0
2019,Ambrosia artemisiifolia,Košice - okolie,Haniska,1,0
2019,Fallopia japonica,Košice - okolie,Bohdanovce,1,0
2019,Solidago canadensis,Košice - okolie,Haniska,2,0
2019,Solidago canadensis,Košice - okolie,Valaliky,3,0
2020,Ailanthus altissima,Trebišov,Viničky,1,0
2021,Ambrosia artemisiifolia,Trebišov,Černochov,1,9.58
2021,Asclepias syriaca,Trebišov,Hraň,1,5.15
2021,Solidago canadensis,Košice - okolie,Trstené pri Hornáde,1,13.1
2021,Solidago gigantea,Košice - okolie,Nižná Hutka,1,3.23
2021,Solidago gigantea,Košice - okolie,Ždaňa,1,17.47
