size_cat,ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw
micro,2,2,11070,112,599824,805,8,1846763,52477444,2121052164,Glory & Victory s. r. o.,Košice - mestská časť Juh,Južná trieda 4B,4001,11/05/2020,27/06/2019,FALSE,SUSR,06/08/2019 02:29,12/05/2020 19:34,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice IV,Košice IV,Košice-Juh,Košice-Juh,Spol. s r. o.,Limited liability comp.,Výroba nealkohol.náp.,Manuf.of soft drinks,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,0,10710,101,528366,811,8,1198,10794816,1020694202,Mária Horosová,Hraň,Hraň 203,7603,31/07/2017,01/08/1990,FALSE,SUSR,17/05/2016 21:46,01/08/2017 02:00,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Hraň,Hraň,Živnostník,Entrepreneur,Výroba chleba,Manufacture of bread,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Manufacture of bakery and farinaceous products,C10.7,C10,Manufacture of food products,C,Manufacturing,False,True,True,NULL
micro,2,3,11050,112,599883,803,8,507121,36802026,2022410511,Pivovar GOLEM s.r.o,Košice - mestská časť Sídlisko KVP,Čordákova 1,4023,30/10/2020,10/07/2007,FALSE,SUSR,17/05/2016 20:57,31/10/2020 03:38,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Sídlisko KVP,Košice-Sídlisko KVP,Spol. s r. o.,Limited liability comp.,Výroba piva,Manufacture of beer,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,0,11070,112,528099,811,8,509959,36668109,2022233004,Kacot s.r.o.,Trebišov,Cukrovarská 3045/2,7501,31/07/2017,24/08/2006,FALSE,SUSR,17/05/2016 22:38,01/08/2017 10:33,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Výroba nealkohol.náp.,Manuf.of soft drinks,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,0,11070,101,599883,803,8,1872505,52723232,NULL,Michaela Birošová,Košice - mestská časť Sídlisko KVP,Hemerkova 1314/34,4023,05/11/2019,11/10/2019,FALSE,SUSR,06/11/2019 02:06,06/11/2019 02:06,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Sídlisko KVP,Košice-Sídlisko KVP,Živnostník,Entrepreneur,Výroba nealkohol.náp.,Manuf.of soft drinks,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,0,11070,101,598127,802,8,1483702,46963782,NULL,Marek Halász,Košice - mestská časť Ťahanovce,Želiarska 2218/6,4013,05/08/2019,25/04/2019,FALSE,SUSR,17/05/2016 21:08,06/08/2019 02:17,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice I,Košice I,Košice-Ťahanovce,Košice-Ťahanovce,Živnostník,Entrepreneur,Výroba nealkohol.náp.,Manuf.of soft drinks,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,4,11070,112,598127,802,8,1684676,50722522,2120450981,MONTESSO s.r.o.,Košice - mestská časť Ťahanovce,Berlínska 2461/12,4013,30/10/2020,23/02/2017,FALSE,SUSR,13/04/2017 02:16,31/10/2020 06:20,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice I,Košice I,Košice-Ťahanovce,Košice-Ťahanovce,Spol. s r. o.,Limited liability comp.,Výroba nealkohol.náp.,Manuf.of soft drinks,3-4 zamestnanci,3-4 employees,Súkromné tuzemské,Private inland,3,4,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,3,11070,112,598127,802,8,1632334,50121715,2120178148,Kondi s.r.o.,Košice - mestská časť Ťahanovce,Madridská 1,4013,03/07/2020,15/01/2016,FALSE,SUSR,17/06/2016 02:08,04/07/2020 05:54,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice I,Košice I,Košice-Ťahanovce,Košice-Ťahanovce,Spol. s r. o.,Limited liability comp.,Výroba nealkohol.náp.,Manuf.of soft drinks,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,0,11070,112,598224,803,8,1831730,52183882,2120931032,MART & ECONOMY s.r.o.,Košice - mestská časť Západ,Humenská 23,4011,03/11/2020,19/02/2019,FALSE,SUSR,05/04/2019 02:15,03/11/2020 02:00,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Výroba nealkohol.náp.,Manuf.of soft drinks,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,2,11070,112,598224,803,8,1876353,52696502,2121105734,"X 7, s.r.o.",Košice - mestská časť Západ,Idanská 39,4011,14/08/2020,11/10/2019,FALSE,SUSR,06/11/2019 02:08,24/08/2020 10:03,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Výroba nealkohol.náp.,Manuf.of soft drinks,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
micro,2,2,11070,112,598224,803,8,1792271,51843137,2120812221,KANCIAN s. r. o.,Košice - mestská časť Západ,Humenská 354/18A,4011,07/04/2020,01/08/2018,FALSE,SUSR,05/09/2018 02:10,12/05/2020 20:39,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Výroba nealkohol.náp.,Manuf.of soft drinks,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,Košice,Manufacture of beverages,C11.0,C11,Manufacture of beverages,C,Manufacturing,NULL,NULL,NULL,NULL
