gid,objectid,id,naz_loz,surovina,nerast,typ_nerast,kategoria,zav_sprava,org,sidlo_org,znak_vyuz,nazov_dp,nazov_chlu,rozh_zas,kubatura_z,plocha,ec_craw,ec_tons,rm_en,mineral_en,tous_ton
2,234,123,Šaca,nerudy,keramické íly,NULL,Z,85149,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,-,MŽP SR č. 52/2004-v.s.ú.,3 101 tis. ton,0.03253519,NULL,NULL,non-metalic,ceramic clays,3101
4,528,150,Košice,nerudy,magnezit,NULL,Z,86987,"MEOPTIS, s.r.o.",Bratislava,Ťažené ložisko,Košice,Košice,MŽP SR č. 7111/2007-9.1,67 276 tis. ton,0.55163546,NULL,NULL,non-metalic,magnesite,67276
23,431,793,Brehov I,nerudy,živce,NULL,Z,82521,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Brehov I,MŽP SR č. 1720/1999-min.,3 328 tis. ton,0.11134547,NULL,NULL,non-metalic,feldspar,3328
27,450,770,Brehov I,nerudy,keramické íly,NULL,Z,82193,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Brehov I,MŽP SR č. 424/1999-min.,3 865 tis. ton,0.15948713,NULL,NULL,non-metalic,ceramic clays,3865
28,451,808,Trstené pri Hornáde,nerudy,keramické íly,NULL,Z,83276,Ing. Tabak Ján - NERAST,Brodno,Ložisko s predpokladom využívania zásob,-,Trstené pri Hornáde,MŽP SR č. 1155/20001-min.,589 tis. ton,0.03175108,NULL,NULL,non-metalic,ceramic clays,589
10,163,279,Ladmovce,nerudy,vápenec ostatný,NULL,Z,82186,"VAPEX, s.r.o. Ladmovce",Ladmovce,Ťažené ložisko,Ladmovce II,Ladmovce II,MŽP SR č. 219/1999-min.,4 352 tis. ton,0.10276894,NULL,NULL,non-metalic,other limestone,4352
29,468,528,Ruskov - Strahuľka,stavebné,stavebný kameň,andezit,Z,81729,"PK Doprastav, a.s.",Žilina,Ťažené ložisko,Ruskov I,Ruskov I,MŽP SR č. 966/98-min.,6 121 tis. m3,0.11423221,NULL,NULL,construction materials,building stone,2162
7,24,159,Malá Bara,nerudy,perlit,-,Z,84786,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Malá Bara,MŽP SR č. 177/2003-v.s.ú.,8 261 tis. ton,0.34185881,NULL,NULL,non-metalic,perlite,8261
12,186,423,Byšta,nerudy,perlit,NULL,Z,80200,Organizácia neurčená,-,Ložisko s predpokladom využívania zásob,Brezina II,Brezina I (Byšta),MŽP SR č. 541/96-min.,2 035 tis. ton,0.05833609,NULL,NULL,non-metalic,perlite,2035
18,262,541,Ladmovce,stavebné,stavebný kameň,vápenec,Z,81826,"Bodroginvest, s.r.o.",Košice,Ťažené ložisko,Ladmovce,Ladmovce,MŽP SR č. 1177/98-min.,2 686 tis. m3,0.10917432,NULL,NULL,construction materials,building stone,949
19,263,542,Ladmovce,stavebné,stavebný kameň,vápenec,Z,81827,ZPS s.r.o.,Trebišov,Ťažené ložisko,Ladmovce I.,Ladmovce I.,MŽP SR č. 1178/98-min.,13 561 tis. m3,0.23729259,NULL,NULL,construction materials,building stone,4789
5,1,527,Ruskov,stavebné,stavebný kameň,andezit,Z,90950,"PK Doprastav, a.s.",Žilina,Ťažené ložisko,Ruskov I,Ruskov I,MŽP SR č. 37438/2011,6 279 tis. m3,0.10112522,NULL,NULL,construction materials,building stone,2217
20,264,540,Brehov,stavebné,stavebný kameň,andezit,Z,81733,"EUROVIA - Kameňolomy, s.r.o.",Košice - Barca,Ťažené ložisko,Brehov,Brehov,MŽP SR č. 1010/98-min.,5 862 tis. m3,0.11552694,NULL,NULL,construction materials,building stone,2070
32,507,529,Ruskov - Čerepeš,stavebné,stavebný kameň,andezit,Z,81730,"KSR - Kameňolomy SR, s.r.o., Zvolen",Zvolen,Ťažené ložisko,Ruskov,Ruskov,MŽP SR č. 968/98-min.,2 118 tis. m3,0.08723107,NULL,NULL,construction materials,building stone,748
9,110,151,Košice - hĺbka,nerudy,magnezit,NULL,Z,84788,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,"Košice - MAGNIMEX,a.s.",Košice V,MŽP SR č. 178/2003-v.s.ú,429 852 tis. ton,2.33481734,NULL,NULL,non-metalic,magnesite,429852
3,504,760,Brehov I,rudy,zlaté rudy,NULL,Z,82193,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Brehov I,MŽP SR č. 424/1999-min.,521 tis. ton,0.12954201,NULL,NULL,metalic,gold ore,521
15,205,743,Nižný Žipov,nerudy,bentonit,NULL,Z,81822,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Nižný Žipov,MŽP SR č. 1187/98-min.,154 tis. ton,0.02253228,NULL,NULL,non-metalic,bentonite,154
30,502,759,Brehov I,rudy,olovené a zinkové (polymetalické rudy),NULL,Z,82193,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Brehov I,MŽP SR č. 424/1999-min.,9 482 tis. ton,0.18251304,NULL,NULL,metalic,lead and zinc (polymetallic ores),9482
31,503,758,Brehov I,rudy,medené rudy,NULL,Z,82193,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Brehov I,MŽP SR č. 424/1999-min.,434 tis. ton,0.1103433,NULL,NULL,metalic,copper ore,434
16,208,734,Stanča,nerudy,bentonit,NULL,Z,83274,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Stanča,MŽP SR č. 1460/2001-min.,877 tis. ton,0.08877538,NULL,NULL,non-metalic,bentonite,877
11,169,349,Brezina - Kuzmice (časť Chotárka),nerudy,bentonit,NULL,Z,80199,Organizácia neurčená,-,Ložisko so zastavenou ťažbou alebo na ktorom sa nepredpokladá využívanie zásob,Brezina,Brezina,MŽP SR č. 542/96-min.,162 tis. ton,0.0405123,NULL,NULL,non-metalic,bentonite,162
17,260,526,Košice - Hradová,stavebné,stavebný kameň,granodiorit,Z,81731,"EUROVIA - Kameňolomy, s.r.o.",Košice - Barca,Ťažené ložisko,Košice IV - Hradová,Košice IV,MŽP SR č. 1012/98-min.,6 517 tis. m3,0.07560207,NULL,NULL,construction materials,building stone,2301
6,19,110,Družstevná pri Hornáde - Malá Vieska,nerudy,dolomit,-,Z,83051,"Carmeuse Slovakia, s.r.o.",Slavec,Ťažené ložisko,Malá Vieska,Malá Vieska,MŽP SR č. 2096/2000-min.,30 254 tis. ton,0.21963517,NULL,NULL,non-metalic,dolomite,30254
13,201,823,Brezina - Kuzmice (časť Haľam),nerudy,bentonit,NULL,Z,80199,"HEADS Slovakia, s.r.o.",Družstevná pri Hornáde,Ťažené ložisko,Brezina I,Haľam,MŽP SR č. 542/96-min.,239 tis. ton,0.05753304,NULL,NULL,non-metalic,bentonite,239
14,204,744,Veľaty,nerudy,bentonit,NULL,Z,81823,Organizácia neurčená,-,Ložisko s predpokladom využívania zásob,Veľaty,Veľaty,MŽP SR č. 1188/98-min.,819 tis. ton,0.11688188,NULL,NULL,non-metalic,bentonite,819
21,278,350,Michaľany - Lastovce,nerudy,bentonit,NULL,Z,80195,"LB MINERALS SK, s.r.o.",Košice,Ťažené ložisko,Michaľany,Michaľany,MŽP SR č. 543/96-min.,8 881 tis. ton,0.57687377,NULL,NULL,non-metalic,bentonite,8881
22,329,16,Veľká Tŕňa,energetické,antracit,NULL,Z,79449,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,Veľká Tŕňa,MŽP SR č. 69/95-min.,8 006 tis. ton,2.03822971,NULL,NULL,energy,anthracite,8006
24,440,403,Tepličany,nerudy,keramické íly,NULL,Z,80198,"LB MINERALS SK, s.r.o.",Košice,Ťažené ložisko,Ťahanovce,Ťahanovce,MŽP SR č. 674/96-min.,3 990 tis. ton,0.25780776,NULL,NULL,non-metalic,ceramic clays,3990
8,95,301,Somotor,nerudy,zlievarenské piesky,NULL,Z,83054,ŠGÚDŠ Bratislava,Bratislava,Ložisko s predpokladom využívania zásob,-,-,MŽP SR č. 1677/2000-min.,2 151 tis. ton,0.2105389,NULL,NULL,non-metalic,foundry sands,2151
1,158,270,Lastovce,stavebné,tehliarske suroviny,NULL,Z,83820,Organizácia neurčená,-,Ložisko s predpokladom využívania zásob,Lastovce,Lastovce,MŽP SR č. 436/2002-min.,1 295 tis. m3,0.18925275,NULL,NULL,construction materials,brick raw materials,457
25,444,641,Seňa - Milhosť,stavebné,štrkopiesky a piesky,NULL,Z,79594,UND - ŠTRKOPIESKY s.r.o.,Košice,Ťažené ložisko,Milhosť,Milhosť,MŽP SR č. 748/95-min.,4 047 tis. m3,0.60178931,NULL,NULL,construction materials,gravel and sand,1429
26,448,640,Geča,stavebné,štrkopiesky a piesky,NULL,Z,81955,CRH (Slovensko) a.s.,Rohožník,Ťažené ložisko,Čaňa,Nižná Myšľa,MŽP SR č. 1613/98-min.,34 305 tis. m3,5.51198082,NULL,NULL,construction materials,gravel and sand,12115
