ogc_fid,objectid,kodzatazsa,kodzataz,nazov,lokalita,urbannakla,priorita,urlgis,register,registerur,nazovcinno,kodobecvyh,nazovobec,mierazasia,datumaktua,popisaktua,prior_en,act_en
1278,1210491,1286,SK/EZ/K3/1286,K3 (001) / Košice - Dargovských hrdinov - elektrická stanica,elektrická stanica,"lokalita je situovaná v intraviláne obce, v priemyselnej zóne",Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1286,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1286&Id_Zaradenie=1337;,energetika;,598682,Košice - Dargovských hrdinov,v registri nie je uvedené,01/03/2017,Doplnenie prírodných pomerov,Not yet classified,energy
1275,1210488,1283,SK/EZ/K2/1283,K2 (002) / Košice - Šaca - U.S.Steel - Suchá halda,U.S.Steel - Suchá halda,lokalita je situovaná v extraviláne obce,Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1283,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1283&Id_Zaradenie=1334;,skládka priemyselného odpadu;,599841,Košice - Šaca,v registri nie je uvedené,08/03/2020,"Doplnené bolo ID z Registra skládok odpadov, ktoré tam chýbalo a aj to, že existuje prepojenie na RSO.",Not yet classified,industrial waste landfill
1255,1210468,1263,SK/EZ/KS/1263,KS (001) / Belža - produktovod v katastrálnom území,produktovod v katastrálnom území,lokalita je situovaná v extraviláne obce,Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1263,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1263&Id_Zaradenie=1311;,produktovod;,521167,Belža,v registri nie je uvedené,12/02/2018,"Doplnil sa do prírodných pomerov vzťah lokality k CHÚ, že lokalita sa nachádza v CHVÚ a doplnilo sa aj samotné CHVÚ.",Not yet classified,product pipeline
1257,1210470,1265,SK/EZ/KS/1265,KS (003) / Čaňa - ropovod v katastrálnom území,ropovod v katastrálnom území,lokalita je situovaná v extraviláne obce,Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1265,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1265&Id_Zaradenie=1313;,produktovod;,521299,Čaňa,v registri nie je uvedené,12/02/2018,"Doplnil sa do prírodných pomerov vzťah lokality k CHÚ, že lokalita sa nachádza v CHVÚ a doplnilo sa aj samotné CHVÚ.",Not yet classified,product pipeline
1579,1210792,1588,SK/EZ/TV/1588,TV (005) / Luhyňa - skládka TKO,skládka TKO,"lokalita je situovaná v intraviláne obce, v priemyselnej zóne",Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1588,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1588&Id_Zaradenie=1743;,skládka komunálneho odpadu;,528528,Luhyňa,v registri nie je uvedené,20/03/2017,Doplnenie prírodných pomerov,Not yet classified,municipal waste landfill
1587,1210800,1596,SK/EZ/TV/1596,TV (013) / Somotor - skládka KO,skládka KO,"lokalita je situovaná v intraviláne obce, v obytnej zástavbe",Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1596,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1596&Id_Zaradenie=1751;,skládka komunálneho odpadu;,543772,Somotor,v registri nie je uvedené,26/01/2018,"Doplnil sa vzťah lokality k CHÚ, že lokalita sa nachádza v CHVÚ a doplnilo sa aj samotné CHVÚ.  Poznámka sa dopísala aj do komentáru anotátora, kde sa tiež doplnilo, že cca pár metrov resp. desiatok m od lokality je aj CHKO (predtým bolo v",Not yet classified,municipal waste landfill
1593,1210806,1602,SK/EZ/TV/1602,TV (019) / Viničky - skládka TKO,skládka TKO,lokalita je situovaná v extraviláne obce,Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1602,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1602&Id_Zaradenie=1757;,skládka komunálneho odpadu;,543926,Viničky,v registri nie je uvedené,27/03/2017,Doplnenie prírodných pomerov,Not yet classified,municipal waste landfill
1594,1210807,1603,SK/EZ/TV/1603,TV (020) / Zemplín - skládka TKO,skládka TKO,lokalita je situovaná v extraviláne obce,Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1603,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1603&Id_Zaradenie=1758;,skládka komunálneho odpadu;,543993,Zemplín,v registri nie je uvedené,20/03/2017,Doplnenie prírodných pomerov,Not yet classified,municipal waste landfill
1595,1210808,1604,SK/EZ/TV/1604,TV (021) / Zemplínske Jastrabie - skládka KO,skládka KO,"lokalita je situovaná v intraviláne obce, v obytnej zástavbe",Klasifikácia nebola vykonaná,http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=1604,C,http://envirozataze.enviroportal.sk/verejnostdetailBC.aspx?Id_Zataz=1604&Id_Zaradenie=1759;,skládka komunálneho odpadu;,544035,Zemplínske Jastrabie,v registri nie je uvedené,20/03/2017,Doplnenie prírodných pomerov,Not yet classified,municipal waste landfill
342,1209555,342,SK/EZ/KS/342,KS (001) / Bohdanovce - skládka TKO,skládka TKO,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)","Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",http://envirozataze.enviroportal.sk/Mapa/index.htm?id_zataz=342,A,http://envirozataze.enviroportal.sk/verejnostdetailA.aspx?Id_Zataz=342&Id_Zaradenie=342;,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",NULL,Bohdanovce,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",27/03/2017,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",not published by law,Not published by law
