ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw
2,0,38320,112,598127,802,8,86149,36588253,2021945893,SLITTING s.r.o.,Košice - mestská časť Ťahanovce,Magnezitárska 11,4013,31/07/2017,11/01/2005,FALSE,SUSR,17/05/2016 20:45,01/08/2017 03:04,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice I,Košice I,Košice-Ťahanovce,Košice-Ťahanovce,Spol. s r. o.,Limited liability comp.,Recyklácia tried.mater.,Recovery of sorted mat.,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Košice,Materials recovery,E38.3,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,3,38220,112,598224,803,8,1733574,51215268,2120628158,"ENVIRO SPEKTRUM, s.r.o.",Košice - mestská časť Západ,Opálová 35,4011,30/10/2020,16/11/2017,FALSE,SUSR,07/12/2017 02:10,31/10/2020 06:40,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Spracúv.nebezp.odpadu,Disposal of hazard.waste,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,Košice,Waste treatment and disposal,E38.2,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,0,38210,101,598224,803,8,1879157,52776760,NULL,Jaroslav Luterán,Košice - mestská časť Západ,Humenská 331/41,4011,03/12/2019,07/11/2019,FALSE,SUSR,04/12/2019 02:09,04/12/2019 02:09,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Živnostník,Entrepreneur,Spracúv.bezp.odpadu,Disposal of n-hazard.was,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Košice,Waste treatment and disposal,E38.2,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,0,38210,101,598224,803,8,1872234,52732037,1126028277,Rastislav Fedorčák - RF WASTE,Košice - mestská časť Západ,Novobanská 382/4,4011,01/07/2020,16/10/2019,FALSE,SUSR,06/11/2019 02:06,01/07/2020 02:02,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Živnostník,Entrepreneur,Spracúv.bezp.odpadu,Disposal of n-hazard.was,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Košice,Waste treatment and disposal,E38.2,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,4,38320,112,598224,803,8,574206,36698822,2022273737,Valta Creative s.r.o.,Košice - mestská časť Západ,Moyzesova 46,4001,22/10/2019,16/11/2006,FALSE,SUSR,17/05/2016 20:58,29/10/2019 02:14,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Recyklácia tried.mater.,Recovery of sorted mat.,3-4 zamestnanci,3-4 employees,Súkromné tuzemské,Private inland,3,4,Košice,Materials recovery,E38.3,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,4,38210,112,598224,803,8,600953,36666025,2022230540,ENVI-TRADE spol. s r.o. Košice,Košice - mestská časť Západ,Kysucká 16,4011,30/10/2020,18/08/2006,FALSE,SUSR,17/05/2016 20:59,31/10/2020 03:53,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Spracúv.bezp.odpadu,Disposal of n-hazard.was,3-4 zamestnanci,3-4 employees,Súkromné tuzemské,Private inland,3,4,Košice,Waste treatment and disposal,E38.2,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,0,38210,112,598224,803,8,1926641,53203739,NULL,PJF s.r.o.,Košice - mestská časť Západ,Fatranská 2432/2E,4011,09/09/2020,11/08/2020,FALSE,SUSR,10/09/2020 02:19,10/09/2020 02:19,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Spracúv.bezp.odpadu,Disposal of n-hazard.was,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Košice,Waste treatment and disposal,E38.2,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,0,38320,101,598224,803,8,341400,43946658,1049332196,Ladislav Mis,Košice - mestská časť Západ,Ľudová 8,4011,31/07/2017,15/01/2008,FALSE,SUSR,17/05/2016 20:54,01/08/2017 08:25,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Živnostník,Entrepreneur,Recyklácia tried.mater.,Recovery of sorted mat.,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Košice,Materials recovery,E38.3,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,0,38210,112,598224,803,8,1847017,52468364,NULL,"ARVIN SK, s.r.o.",Košice - mestská časť Západ,Alejová 5,4011,05/08/2019,20/06/2019,FALSE,SUSR,06/08/2019 02:29,06/08/2019 02:29,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Spracúv.bezp.odpadu,Disposal of n-hazard.was,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Košice,Waste treatment and disposal,E38.2,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,0,38320,112,598224,803,8,132771,36605581,2022156158,UNIKOV KOŠICE s.r.o.,Košice - mestská časť Západ,Ružová 47,4011,31/07/2017,31/03/2006,FALSE,SUSR,17/05/2016 20:48,01/08/2017 03:44,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice II,Košice II,Košice-Západ,Košice-Západ,Spol. s r. o.,Limited liability comp.,Recyklácia tried.mater.,Recovery of sorted mat.,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Košice,Materials recovery,E38.3,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
