full_name,gid,__gid,objectid,registracn,archivneci,archivne_1,okres,kataster,suradnicax,suradnicay,prevadzkov,prevadzk_1,plocha,suradnicaz,suradnic_1,mocnostpri,mocnostp_1,mocnostmax,mocnostm_1,objemsklad,volnakapac,rokvytvore,rokvytvo_1,rokukoncen,rokukonc_1,vzdialenos,ochrannysy,ochranny_1,drenaznysy,prekryties,prekryti_1,indikacnyk,indikacnys,evidenciao,medzivrstv,postrekskl,reliefpovr,poziciamat,kontaktspo,podzemnevo,vztahmater,vztahmat_1,vztahmat_2,vztahmat_3,vztahmat_4,techbezpec,techbezp_1,techbezp_2,techbezp_3,techbezp_4,techbezp_5,techbezp_6,techbezp_7,inevplyvyn,typvodneho,vzdialen_1,rajonpredk,rajonstvrt,podrajonpo,podrajonpr,indexymocn,indexyhlbk,indexyhl_1,koeficient,koeficie_1,koeficie_2,kontaktneu,kontaktn_1,kontaktn_2,kontaktn_3,kontaktn_4,dalsievyuz,dalsievy_1,dalsievy_2,miestnynaz,stavskladk,stavskla_1,stavskla_2,stavskla_3,stavskla_4,stavskla_5,uzemnyvyzn,poznamka,zlozenieod,datumaktua,nm1,nm3,ras,idouzp,gid_2,dow,aut,ach,soi,facc,idn4,nm4,idn3,nm3_2,idn2,nm2,vymera,shape_leng,shape_area,wine_regio,wine_reg_1,zemplin_ge,mas,mun_networ,cp_nm4,se,nw,geom,status_sk,status_en,further_use_en,further_use_sk
CHKO Latorica,133,42,1690,2333,NULL,NULL,811,856631,-231768.5246,-1272767.027,NULL,NULL,0,136,H,1,H,3,H,0,0,1960,O,0,X,0,E,99,B,E,99,D,X,C,C,B,E,N,N,N,S,X,X,Z,M,99,99,99,4,99,99,99,4,NULL,X,0,X,X,x,X,99,99,X,1,-5,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,L,X,X,Slovenské Nové Mesto,OS,X,NULL,X,X,X,M,Stará neriadená skládka.,S,07/01/2021,Slovenské Nové Mesto,Trebišov,NULL,37,2615,30/04/2019,1,1,9,FA004,543756,Slovenské Nové Mesto,811,Trebišov,8,Košický,13381771,23752.90689,13382086.95,1,1,1,"MAS TOKAJ - ROVINA, oz.",NULL,Slovensk%C3%A9 Nov%C3%A9 Mesto,1,NULL,0104000020E61000000100000001010000004099004F9CB23540685490419C374840,opustená skládka bez prekrytia (nelegálna skládka),abandoned landfill without overburden (illegal landfill),disposal,likvidácia
CHKO Latorica,130,39,3133,2293,NULL,NULL,811,858978,-227736.6247,-1279087.027,NULL,NULL,0,97,H,0.5,V,2,V,0,0,1977,O,1991,O,40,E,99,B,E,99,D,X,C,A,B,S,K,N,N,X,X,X,X,X,99,99,99,4,99,99,99,4,NULL,S,40,X,X,x,X,99,99,X,1,-7,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,X,X,X,Streda nad Bodrogom,U,X,NULL,X,X,X,M,Čiastočne alebo úplne rekultivovaná.,S,08/01/2021,Streda nad Bodrogom,Trebišov,NULL,37,2620,30/04/2019,1,1,9,FA004,543802,Streda nad Bodrogom,811,Trebišov,8,Košický,22632746,27857.66007,22620802.1,0,0,1,"MAS BODROG, oz.",Mikroregión Tarbucka - združenie obcí,Streda nad Bodrogom,1,NULL,0104000020E610000001000000010100000040425E606DC13540A80F785B87304840,"upravená (prekrytie, terénne úpravy a pod.)","modified (overlay, landscaping, etc.)",n/a,n/a
CHKO Latorica,131,40,3313,2295,NULL,NULL,811,858978,-225678.6247,-1279840.027,NULL,NULL,0,158,H,0.5,V,1,V,0,0,1970,O,1988,O,0,E,99,B,E,99,D,X,C,A,B,S,N,N,N,X,X,X,X,X,99,99,99,4,99,99,99,4,NULL,X,0,X,X,x,X,99,99,X,1,-4,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,X,X,X,Streda nad Bodrogom,U,X,NULL,X,X,X,M,Skládka KO čiastočne alebo úplne rekultivovaná. Skládka vznikla v roku 1970 a bola prevádzkovaná za osobitných podmienok do roku 1992. V okolí skládky sa nachádza poľnohospodársky využívaná pôda.,S,08/01/2021,Streda nad Bodrogom,Trebišov,NULL,37,2620,30/04/2019,1,1,9,FA004,543802,Streda nad Bodrogom,811,Trebišov,8,Košický,22632746,27857.66007,22620802.1,0,0,1,"MAS BODROG, oz.",Mikroregión Tarbucka - združenie obcí,Streda nad Bodrogom,1,NULL,0104000020E6100000010000000101000000C068CC54A3C83540603D69D9C12F4840,"upravená (prekrytie, terénne úpravy a pod.)","modified (overlay, landscaping, etc.)",n/a,n/a
CHKO Latorica,137,50,3312,2294,NULL,NULL,811,858978,-227889.4247,-1279227.027,NULL,NULL,0,97,H,1,V,3,V,0,0,1977,O,0,X,50,E,99,B,E,99,D,X,C,A,B,K,K,N,N,X,X,X,Z,M,99,99,99,4,99,99,99,4,Povrchový tok,S,50,X,X,x,X,99,99,X,1,-5,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,X,X,X,Streda nad Bodrogom,U,X,NULL,X,X,X,M,Čiastočne alebo úplne rekultivovaná.,S,08/01/2021,Streda nad Bodrogom,Trebišov,NULL,37,2620,30/04/2019,1,1,9,FA004,543802,Streda nad Bodrogom,811,Trebišov,8,Košický,22632746,27857.66007,22620802.1,0,0,1,"MAS BODROG, oz.",Mikroregión Tarbucka - združenie obcí,Streda nad Bodrogom,1,NULL,0104000020E61000000100000001010000001087C143EBC0354000C1A6525C304840,"upravená (prekrytie, terénne úpravy a pod.)","modified (overlay, landscaping, etc.)",n/a,n/a
CHKO Latorica,112,7,3585,2332,NULL,NULL,811,856631,-231945.6246,-1272816.027,NULL,NULL,0,131,H,1,H,1,H,0,0,1980,O,0,X,0,E,99,B,E,99,D,X,C,A,B,E,N,N,N,S,X,X,X,M,99,99,99,4,99,99,99,4,NULL,X,0,X,X,x,X,99,99,X,1,-5,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,L,X,X,Slovenské Nové Mesto,OS,X,NULL,X,X,X,M,Stará neriadená skládka.,S,08/01/2021,Slovenské Nové Mesto,Trebišov,NULL,37,2615,30/04/2019,1,1,9,FA004,543756,Slovenské Nové Mesto,811,Trebišov,8,Košický,13381771,23752.90689,13382086.95,1,1,1,"MAS TOKAJ - ROVINA, oz.",NULL,Slovensk%C3%A9 Nov%C3%A9 Mesto,1,NULL,0104000020E610000001000000010100000090258B5901B2354010693DB18B374840,opustená skládka bez prekrytia (nelegálna skládka),abandoned landfill without overburden (illegal landfill),disposal,likvidácia
CHKO Latorica,114,10,1525,2272,NULL,NULL,811,835862,-225776.8247,-1281680.027,NULL,NULL,0,106,H,1,V,1,V,0,0,1977,O,1989,O,100,E,99,B,E,99,B,C,C,A,B,K,N,N,N,X,X,X,X,X,99,99,99,4,99,99,99,4,NULL,S,100,X,X,x,X,99,99,X,1,-4,O,Zambori Ján,jan.zambori@tv.vs.sk,056/6688850,0961715762,056/6722544,X,R,X,Malý Kamenec,U,X,NULL,X,M,X,M,Išlo o starú neriadenú skládku. Monitoring raz za 3 roky.,S,08/01/2021,Malý Kamenec,Trebišov,NULL,37,2620,30/04/2019,1,1,9,FA004,543802,Streda nad Bodrogom,811,Trebišov,8,Košický,22632746,27857.66007,22620802.1,0,0,1,"MAS BODROG, oz.",Mikroregión Tarbucka - združenie obcí,Streda nad Bodrogom,1,NULL,0104000020E610000001000000010100000010A233458DC83540E8302EDBA22D4840,"upravená (prekrytie, terénne úpravy a pod.)","modified (overlay, landscaping, etc.)",reclamation,rekultivácia
CHKO Latorica,118,20,2401,2327,NULL,NULL,811,830500,-225657.7246,-1275685.027,NULL,NULL,100,99,H,0.5,V,0.5,V,50,0,1975,O,0,X,50,E,99,B,E,99,B,C,C,A,B,K,K,N,N,X,X,X,Z,M,99,2,99,99,99,2,99,99,povrchový tok,S,50,X,X,x,X,99,99,X,1,-7,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,X,R,X,Ladmovce,U,X,NULL,X,M,X,M,Monitoring raz za 3 roky.,S,07/01/2021,Ladmovce,Trebišov,NULL,37,2428,30/04/2019,1,1,9,FA004,528498,Ladmovce,811,Trebišov,8,Košický,11322863,18031.19712,11312840.72,0,1,1,"MAS TOKAJ - ROVINA, oz.",Mikroregión Tarbucka - združenie obcí,Ladmovce,1,NULL,0104000020E610000001000000010100000010789A8523C8354030C160A689344840,"upravená (prekrytie, terénne úpravy a pod.)","modified (overlay, landscaping, etc.)",reclamation,rekultivácia
CHKO Latorica,115,13,1382,2334,NULL,NULL,811,801682,-230549.0246,-1273027.027,NULL,NULL,0,214,H,1,H,2,H,0,0,1987,O,0,X,500,E,99,B,E,99,D,X,C,A,B,K,K,N,N,S,X,X,Z,M,99,99,99,4,99,99,99,4,NULL,S,500,X,X,x,X,99,99,X,1,-5,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,X,R,X,Bara,OS,X,NULL,X,X,X,M,Stará neriadená skládka.,S,07/01/2021,Veľká Bara,Trebišov,NULL,37,2392,30/04/2019,1,1,9,FA004,528129,Bara,811,Trebišov,8,Košický,6252189,12387.16098,6250420.541,1,1,1,"MAS TOKAJ - ROVINA, oz.",NULL,Bara,1,NULL,0104000020E610000001000000010100000090F15DF4DCB6354078486F5A5E374840,opustená skládka bez prekrytia (nelegálna skládka),abandoned landfill without overburden (illegal landfill),reclamation,rekultivácia
CHKO Latorica,123,28,2199,2322,NULL,NULL,811,809331,-229220.2246,-1272832.027,NULL,NULL,0,155,H,0,X,0,X,0,0,1980,O,1991,Z,250,E,99,B,E,99,D,X,C,A,B,S,P,N,N,X,X,X,X,X,99,99,99,4,99,99,99,4,NULL,S,250,X,X,x,X,99,99,X,1,-7,O,Zambori Ján,jan.zambori@minv.sk,056/6688850,0961715762,056/6722544,X,R,X,Černochov,OS,X,NULL,X,X,X,M,Stará neriadená skládka.,X,07/01/2021,Černochov,Trebišov,NULL,37,2405,30/04/2019,1,1,9,FA004,528269,Černochov,811,Trebišov,8,Košický,6156435,12066.27661,6151728.611,1,1,1,"MAS TOKAJ - ROVINA, oz.",NULL,%C4%8Cernochov,1,NULL,0104000020E6100000010000000101000000A0C8A1F26DBB3540101E5FA8A7374840,opustená skládka bez prekrytia (nelegálna skládka),abandoned landfill without overburden (illegal landfill),reclamation,rekultivácia
CHVU Kosicka kotlina,41,30,1895,871,NULL,NULL,806,820555,-265229.5245,-1251335.026,NULL,NULL,0,210,H,2,V,5,V,7200,0,1980,O,1990,O,30,E,99,B,E,99,D,X,C,A,B,S,P,X,N,X,X,X,X,X,99,99,99,4,99,99,99,4,NULL,L,160,X,X,x,X,99,99,X,1,-6,O,Karabáš Eduard,eduard.karabas@minv.sk,055/6004122,NULL,055/6325983,X,X,X,Sokoľany,OS,X,NULL,X,X,X,M,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,S,11/01/2021,Sokoľany,Košice - okolie,NULL,21,2830,30/04/2019,1,1,9,FA004,559865,Sokoľany,806,Košice - okolie,8,Košický,3874465,12651.2073,3784102.624,0,0,0,"MAS HORNÁD - SLANSKÉ VRCHY, o.z.",NULL,Soko%C4%BEany,1,NULL,0104000020E6100000010000000101000000B049433C7B3B3540D0CA421D914E4840,opustená skládka bez prekrytia (nelegálna skládka),abandoned landfill without overburden (illegal landfill),n/a,n/a
