nam,objectid,min,nm4,status_en,further_use_en,poznamka,geom
Babský potok,2824,284.1881109,Viničky,"modified (overlay, landscaping, etc.)",reclamation,"Skládka KO vznikla v roku 1995 a bola prevádzkovaná za osobitných podmienok do roku 1992. Skládka slúžila pre skládkovanie odpadov obce Viničky. Rekultivačné práce boli vykonané podľa Projektu v roku 2005, ktorý dala vypracovať obec Vini",0104000020E61000000100000001010000008031DFC407C13540D07A59C97D334840
Barský potok,1382,994.7001597,Bara,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E610000001000000010100000090F15DF4DCB6354078486F5A5E374840
Barský potok,2009,258.9348088,Bara,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000020CF1B1F94BA35400846C16D9C354840
Barský potok,2199,344.9031816,Černochov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000A0C8A1F26DBB3540101E5FA8A7374840
Baštianský potok,12053,203.4541113,Košice-Západ,operating landfill,further use,Skládka na nebezpečný odpad. Prevádzkovateľ skládky: V.O.D.S. - Eko a.s. Košice. Rok ukončenia skládky nie je v IPKZ povolení uvedený.,0104000020E6100000010000000101000000E0173135073935400851AC2AA6594840
Belziansky potok,164,567.3210959,Seňa,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000010CCD3BEDB473540300D4636E1474840
Belziansky potok,1268,53.1179631,Haniska,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000090E4099600423540A8953C1DD64E4840
Belziansky potok,1269,42.26290733,Haniska,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000A06C70ED07413540B0A523FAE14F4840
Belziansky potok,1270,39.75125045,Haniska,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000306FA516CB40354080D54CBC584F4840
Belziansky potok,2095,406.2707719,Kechnec,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000030ED699B23463540883ACE35D8454840
Belziansky potok,2096,416.1322229,Kechnec,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000F031C1781F463540F8A03EA1D5454840
Belžiansky potok,1269,962.0846735,Haniska,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000A06C70ED07413540B0A523FAE14F4840
Belžiansky potok,1895,559.6018963,Sokoľany,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000B049433C7B3B3540D0CA421D914E4840
Belžiansky potok,2095,463.977682,Kechnec,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000030ED699B23463540883ACE35D8454840
Belžiansky potok,2096,473.6631532,Kechnec,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000F031C1781F463540F8A03EA1D5454840
Bodrog,1386,510.9480126,Borša,abandoned landfill without overburden (illegal landfill),reclamation,"Na skládku sa naďalej vyváža odpad. Skládka sa nachádza v CHKO Latorica a v CHVÚ Medzibodrožie o ploche celkom 5000 m2, sa nachádzajú 4 skládky prevažne KO, na ktoré boli vyvezené aj výkopové zeminy, stavebný odpad a pod. Sanačné prác",0104000020E6100000010000000101000000B03F4844E8B43540F8A17EF6E7314840
Bodrog,1387,522.9460441,Borša,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E6100000010000000101000000E09F0202CBB53540B03D0B9300324840
Bodrog,1388,334.0945504,Borša,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000090EBA26C3AB33540E027B35349314840
Bodrog,2371,837.3050274,Zemplín,"modified (overlay, landscaping, etc.)",reclamation,Skláídka KO bola rekultivovaná v roku 2007 podľa vypracovaného Projektu. Skládka má vybudované 2 plynové studne a monitorovací sysrém. Monitoring sa vykonáva raz za 3 roky. V okolí skládky sa nachádza poľnohospodársky obrábaná pôda.,0104000020E610000001000000010100000080FFD8BEDCCD3540D8609EBEB3384840
Bodrog,2401,33.01366004,Ladmovce,"modified (overlay, landscaping, etc.)",reclamation,Monitoring raz za 3 roky.,0104000020E610000001000000010100000010789A8523C8354030C160A689344840
Bodrog,2824,734.0135163,Viničky,"modified (overlay, landscaping, etc.)",reclamation,"Skládka KO vznikla v roku 1995 a bola prevádzkovaná za osobitných podmienok do roku 1992. Skládka slúžila pre skládkovanie odpadov obce Viničky. Rekultivačné práce boli vykonané podľa Projektu v roku 2005, ktorý dala vypracovať obec Vini",0104000020E61000000100000001010000008031DFC407C13540D07A59C97D334840
Bohdanovský potok,1651,378.999385,Bohdanovce,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000004F4CB1FF68354020EC794309544840
Bohdanovský potok,1652,235.5714606,Bohdanovce,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000D0750AF4B4673540901067B06F534840
Bohdanovský potok,1653,230.9692085,Bohdanovce,"modified (overlay, landscaping, etc.)",n/a,Skládka TKO. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000000891648EC69354038E63B86F4524840
Boršiansky potok,1382,991.9499445,Bara,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E610000001000000010100000090F15DF4DCB6354078486F5A5E374840
Boršiansky potok,1386,228.5125682,Borša,abandoned landfill without overburden (illegal landfill),reclamation,"Na skládku sa naďalej vyváža odpad. Skládka sa nachádza v CHKO Latorica a v CHVÚ Medzibodrožie o ploche celkom 5000 m2, sa nachádzajú 4 skládky prevažne KO, na ktoré boli vyvezené aj výkopové zeminy, stavebný odpad a pod. Sanačné prác",0104000020E6100000010000000101000000B03F4844E8B43540F8A17EF6E7314840
Boršiansky potok,1387,34.25139156,Borša,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E6100000010000000101000000E09F0202CBB53540B03D0B9300324840
Boršiansky potok,1388,636.0800734,Borša,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000090EBA26C3AB33540E027B35349314840
Boršiansky potok,1690,489.6923359,Slovenské Nové Mesto,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E61000000100000001010000004099004F9CB23540685490419C374840
Boršiansky potok,3585,353.8824433,Slovenské Nové Mesto,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000090258B5901B2354010693DB18B374840
Bradliansky potok,1652,990.1693164,Bohdanovce,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000D0750AF4B4673540901067B06F534840
Bradliansky potok,1653,816.9047697,Bohdanovce,"modified (overlay, landscaping, etc.)",n/a,Skládka TKO. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000000891648EC69354038E63B86F4524840
Bradlový potok,2244,878.3843375,Slanec,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000600BDABBF17D354098F051DAF6514840
Bradlový potok,2245,156.3226267,Slanec,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000F0D045EA0D7A3540B8F9D3D4DF504840
Bradlový potok,2246,912.439387,Slanec,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000090246CA57B7B354048C3CC25B2514840
Bysta,2817,748.2388898,Kazimír,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E610000001000000010100000020AC98B423943540281FEEFCF8424840
Byšta,2817,755.7075658,Kazimír,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E610000001000000010100000020AC98B423943540281FEEFCF8424840
Čapliny,2903,912.0987552,Trebišov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000D05C1006A8BC3540B0C4D045DE4C4840
Cejkovský potok,1669,590.7752568,Cejkov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000F09A00058FC33540304D1807763C4840
Cejkovský potok,1966,246.436708,Cejkov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000F07A2A93D9C03540F03496A6443B4840
Cejkovský potok,2012,89.16761467,Cejkov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000D0EAF85DC8BF3540F8682F17BB3A4840
Cejkovský potok,2013,148.5990652,Cejkov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000D0A0DB0445C6354030C50F47F73A4840
Cejkovský potok,2477,13.39101784,Cejkov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka. Skládka KO vznikla v roku 1970. V minulosti sa na skládku vyvážal odpad z obce. V súčastnosti je skládka ohradená. Sančné práce sú v štádiu prípravy.,0104000020E6100000010000000101000000502B386821C43540F04ED8C7C83B4840
Cejkovský potok,2478,214.4213334,Cejkov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000010210E7C86C5354050B9F71AC93B4840
Čeriacky kanál,2903,945.0185955,Trebišov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000D05C1006A8BC3540B0C4D045DE4C4840
Čermeľský potok,7487,329.6274339,Košice-Sever,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000B098B3D9393D354020DC34885F5F4840
Čermeľský potok,7607,885.923089,Košice-Sever,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000C05F57F6D1293540E0CE2A4588634840
Chlmec,1222,326.0721248,Slanské Nové Mesto,transferred (taken away),n/a,Skládka je na hranici katastra.,0104000020E6100000010000000101000000909D3A0DD38C3540208658956E514840
Chlmec,1484,41.96638764,Zemplínska Nová Ves,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E61000000100000001010000005070F8E42EAC3540C048A99D84464840
Chlmec,1912,829.564984,Kožuchov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000500E8FFF2DBA3540E847A288A6484840
Chlmec,1955,400.7586759,Kožuchov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000060D6501968BA3540508660780C484840
Chlmec,2174,466.3374093,Egreš,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000C0264178E79C3540004CA1DFF64E4840
Čičkovský potok,12053,89.89136368,Košice-Západ,operating landfill,further use,Skládka na nebezpečný odpad. Prevádzkovateľ skládky: V.O.D.S. - Eko a.s. Košice. Rok ukončenia skládky nie je v IPKZ povolení uvedený.,0104000020E6100000010000000101000000E0173135073935400851AC2AA6594840
Čičkovský potok,12054,756.4219934,Košice-Sever,operating landfill,further use,NULL,0104000020E610000001000000010100000020952FC3DA3635406047D693D95E4840
Číža,1223,893.8568226,Zemplínska Teplica,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000F0B35F1E02923540C8E4C6C743534840
Číža,2174,134.5432531,Egreš,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000C0264178E79C3540004CA1DFF64E4840
Čížsky potok,2422,609.6766287,Nižný Žipov,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E6100000010000000101000000F06416922D9F3540508950B1D9494840
Črmel,7487,232.5306408,Košice-Sever,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000B098B3D9393D354020DC34885F5F4840
Črmel,7607,1.90383972,Košice-Sever,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000C05F57F6D1293540E0CE2A4588634840
Črmeľ,7607,452.1728545,Košice-Sever,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000C05F57F6D1293540E0CE2A4588634840
Čuhovský potok,1256,308.3651554,Rákoš,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000C01E49ACB96C3540508891DC1C524840
Drienovec,2464,900.8333396,Trebišov,abandoned landfill without overburden (illegal landfill),n/a,Priemyselná skládka sa nevyužívala a ani nebude.,0104000020E61000000100000001010000004028B65C5FB8354010602832C3524840
Drienovec,2465,954.254415,Trebišov,abandoned landfill without overburden (illegal landfill),n/a,Priemyselná skládka sa nevyužívala a ani nebude.,0104000020E6100000010000000101000000F074ED66A1B835400070BC0D3A524840
