nam,objectid,min,nm4,status_en,further_use_en,poznamka,geom
Belziansky potok,1268,53.1179631,Haniska,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000090E4099600423540A8953C1DD64E4840
Belziansky potok,1269,42.26290733,Haniska,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000A06C70ED07413540B0A523FAE14F4840
Belziansky potok,1270,39.75125045,Haniska,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000306FA516CB40354080D54CBC584F4840
Bodrog,2401,33.01366004,Ladmovce,"modified (overlay, landscaping, etc.)",reclamation,Monitoring raz za 3 roky.,0104000020E610000001000000010100000010789A8523C8354030C160A689344840
Boršiansky potok,1387,34.25139156,Borša,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E6100000010000000101000000E09F0202CBB53540B03D0B9300324840
Cejkovský potok,2012,89.16761467,Cejkov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000D0EAF85DC8BF3540F8682F17BB3A4840
Cejkovský potok,2477,13.39101784,Cejkov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka. Skládka KO vznikla v roku 1970. V minulosti sa na skládku vyvážal odpad z obce. V súčastnosti je skládka ohradená. Sančné práce sú v štádiu prípravy.,0104000020E6100000010000000101000000502B386821C43540F04ED8C7C83B4840
Chlmec,1484,41.96638764,Zemplínska Nová Ves,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka.,0104000020E61000000100000001010000005070F8E42EAC3540C048A99D84464840
Čičkovský potok,12053,89.89136368,Košice-Západ,operating landfill,further use,Skládka na nebezpečný odpad. Prevádzkovateľ skládky: V.O.D.S. - Eko a.s. Košice. Rok ukončenia skládky nie je v IPKZ povolení uvedený.,0104000020E6100000010000000101000000E0173135073935400851AC2AA6594840
Črmel,7607,1.90383972,Košice-Sever,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000C05F57F6D1293540E0CE2A4588634840
Holubnica,707,13.54559049,Sady nad Torysou,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000E0BE78ED6F593540104FEFAF8C5A4840
Holubnica,708,27.00676801,Košická Polianka,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000503E37208158354058830C5E205A4840
