nam,objectid,lokalita,min,nazovobec,mierazasia,wkb_geometry
Babský potok,1210806,skládka TKO,295.622849,Viničky,v registri nie je uvedené,0101000020E6100000B1E77BA002C135408BEF70507A334840
Baštianský potok,1209574,skládka TKO,49.43523605,Košice-Myslava,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000F4E159677C37354072A9349981594840
Belziansky potok,1210468,produktovod v katastrálnom území,506.002292,Belža,v registri nie je uvedené,0101000020E610000083844FE575443540E7C663B7D24A4840
Belziansky potok,1210919,letisko - juh - sklad LPL,125.2378914,Košice-Poľov,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000F6AE7E1D773B35409D35C50895544840
Belžiansky potok,1209559,Slovenský plynárenský priemysel,568.3631408,Haniska,v registri nie je uvedené,0101000020E6100000F38E5E18FD3B3540A7E5DC53384F4840
Belžiansky potok,1210891,"Rušňové depo, Cargo a.s.",750.4674845,Haniska,v registri nie je uvedené,0101000020E610000086F58D40FF3B35407503E480A04F4840
Bodrog,1210194,skládka TKO,501.2374678,Borša,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000F8FE005DE3B4354081C0558AE4314840
Bodrog,1210200,skládka KO,135.4323265,Klin nad Bodrogom,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000B5B6302B4FB9354011C7BB3676314840
Bodrog,1210806,skládka TKO,723.2186693,Viničky,v registri nie je uvedené,0101000020E6100000B1E77BA002C135408BEF70507A334840
Bodrog,1210807,skládka TKO,843.8004796,Zemplín,v registri nie je uvedené,0101000020E6100000ECF8C8D5D7CD35408F4D1838B0384840
Bohdanovský potok,1209555,skládka TKO,295.8155033,Bohdanovce,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000991ADD83D26935400BC1E83EE2524840
Boršiansky potok,1210194,skládka TKO,238.9184005,Borša,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000F8FE005DE3B4354081C0558AE4314840
Boršiansky potok,1210200,skládka KO,964.3835277,Klin nad Bodrogom,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000B5B6302B4FB9354011C7BB3676314840
Bradliansky potok,1209555,skládka TKO,753.2265706,Bohdanovce,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000991ADD83D26935400BC1E83EE2524840
Bradlový potok,1210476,ČS PHM,425.6724201,Slanské Nové Mesto,v registri nie je uvedené,0101000020E6100000968D1C355C8335407A1615E604514840
Čapliny,1210803,ČS PHM M.R.Štefánika,430.7010061,Trebišov,v registri nie je uvedené,0101000020E6100000F53D2D93B0B735403B185DEE854D4840
Cejkovský potok,1210196,skládka TKO,21.77455406,Cejkov,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E610000064D264871CC4354005E7CE48C53B4840
Čeriacky kanál,1210803,ČS PHM M.R.Štefánika,449.7425881,Trebišov,v registri nie je uvedené,0101000020E6100000F53D2D93B0B735403B185DEE854D4840
Čermeľský potôčik,1209571,Malinovského kasárne,287.6318151,Košice-Staré Mesto,v registri nie je uvedené,0101000020E6100000D2CEA14478403540CC91CCB5E25C4840
Čermeľský potôčik,1209577,stará plynáreň,928.6442561,Košice-Staré Mesto,v registri nie je uvedené,0101000020E61000003425697F5E453540753268E1585C4840
Čermeľský potôčik,1210485,ČS PHM Hutnícka,545.7037346,Košice-Staré Mesto,v registri nie je uvedené,0101000020E610000079A6D9E1884235408601A340565D4840
Čermeľský potôčik,1210486,ČS PHM Senný trh,357.7836124,Košice-Staré Mesto,v registri nie je uvedené,0101000020E610000016456E38A643354000B2491DFA5B4840
Čermeľský potôčik,1210493,rušňové depo,989.2334114,Košice-Juh,v registri nie je uvedené,0101000020E6100000687A2C213F453540DA55AF4A3E5B4840
Čermeľský potok,1209572,bývalé Slovenské magnezitové závody,868.8550835,Košice-Ťahanovce,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E610000079BF87870D433540C567A3F2F05F4840
