mun_id,mun_name,yr,gender_name_en,age_g_id,age_g_name_en,val,meta
SK0426521167,Belža,2000,Total,Y_LE4,4 years or less,20,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y10-14,From 10 to 14 years,34,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Spolu,Total,376,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y55-59,From 55 to 59 years,14,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y15-19,From 15 to 19 years,27,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y45-49,From 45 to 49 years,28,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y5-9,From 5 to 9 years,16,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y25-29,From 25 to 29 years,39,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y40-44,From 40 to 44 years,29,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y60-64,From 60 to 64 years,14,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y30-34,From 30 to 34 years,20,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y35-39,From 35 to 39 years,17,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y20-24,From 20 to 24 years,34,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y50-54,From 50 to 54 years,30,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Total,Y_GE65,65 years or over,54,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y_LE4,4 years or less,8,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y10-14,From 10 to 14 years,14,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Spolu,Total,180,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y55-59,From 55 to 59 years,7,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y15-19,From 15 to 19 years,15,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y45-49,From 45 to 49 years,16,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y5-9,From 5 to 9 years,10,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y25-29,From 25 to 29 years,18,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y40-44,From 40 to 44 years,13,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y60-64,From 60 to 64 years,8,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y30-34,From 30 to 34 years,10,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y35-39,From 35 to 39 years,9,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y20-24,From 20 to 24 years,18,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y50-54,From 50 to 54 years,15,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Men,Y_GE65,65 years or over,19,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y_LE4,4 years or less,12,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y10-14,From 10 to 14 years,20,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Spolu,Total,196,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y55-59,From 55 to 59 years,7,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y15-19,From 15 to 19 years,12,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y45-49,From 45 to 49 years,12,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y5-9,From 5 to 9 years,6,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y25-29,From 25 to 29 years,21,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y40-44,From 40 to 44 years,16,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y60-64,From 60 to 64 years,6,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y30-34,From 30 to 34 years,10,Permanently living population on 31 December (Person)
SK0426521167,Belža,2000,Women,Y35-39,From 35 to 39 years,8,Permanently living population on 31 December (Person)
