mun_id,mun_name,yr,cat_id,cat_name,val
SK042B528129,Bara,2020,U11001,Kindergartens in total,1
SK042B528129,Bara,2020,U11002,Kindergartens in total - children,3
SK042B528129,Bara,2020,U11020,Kindergartens - state,1
SK042B528129,Bara,2020,U11021,Kindergartens - state - children,3
SK042B528129,Bara,2020,U11022,Kindergartens - state - classes,1
SK042B528129,Bara,2020,U11023,Kindergartens - state - teachers,2
SK042B528129,Bara,2020,U11300,Church kindergartens,0
SK042B528129,Bara,2020,U11301,Church kindergartens - children,0
SK042B528129,Bara,2020,U11302,Church kindergartens - classes,0
SK042B528129,Bara,2020,U11303,Church kindergartens - teachers,0
SK042B528129,Bara,2020,U11400,Private kindergartens,0
SK042B528129,Bara,2020,U11401,Private kindergartens - children,0
SK042B528129,Bara,2020,U11402,Private kindergartens - classes,0
SK042B528129,Bara,2020,U11403,Private kindergartens - teachers,0
SK042B528129,Bara,2015,U11001,Kindergartens in total,1
SK042B528129,Bara,2015,U11002,Kindergartens in total - children,6
SK042B528129,Bara,2015,U11020,Kindergartens - state,1
SK042B528129,Bara,2015,U11021,Kindergartens - state - children,6
SK042B528129,Bara,2015,U11022,Kindergartens - state - classes,1
SK042B528129,Bara,2015,U11023,Kindergartens - state - teachers,1
SK042B528129,Bara,2015,U11300,Church kindergartens,0
SK042B528129,Bara,2015,U11301,Church kindergartens - children,0
SK042B528129,Bara,2015,U11302,Church kindergartens - classes,0
SK042B528129,Bara,2015,U11303,Church kindergartens - teachers,0
SK042B528129,Bara,2015,U11400,Private kindergartens,0
SK042B528129,Bara,2015,U11401,Private kindergartens - children,0
SK042B528129,Bara,2015,U11402,Private kindergartens - classes,0
SK042B528129,Bara,2015,U11403,Private kindergartens - teachers,0
SK042B528129,Bara,2010,U11001,Kindergartens in total,1
SK042B528129,Bara,2010,U11002,Kindergartens in total - children,8
SK042B528129,Bara,2010,U11020,Kindergartens - state,1
SK042B528129,Bara,2010,U11021,Kindergartens - state - children,8
SK042B528129,Bara,2010,U11022,Kindergartens - state - classes,1
SK042B528129,Bara,2010,U11023,Kindergartens - state - teachers,1
SK042B528129,Bara,2010,U11300,Church kindergartens,0
SK042B528129,Bara,2010,U11301,Church kindergartens - children,0
SK042B528129,Bara,2010,U11302,Church kindergartens - classes,0
