index,ids,type,target_group,address,nuts3,owner,scale of_service,form_of_service,capacity,tel,mail,web,name_of_stat,name_of_stat_ast,date_of_reg,date_of_exclusion,sector,muni,type_en,fos_en,owner_en
573,"Rada pre poradenstvo v sociálnej práci, Alžbetina 679/14, 040 01 Košice-Staré Mesto, IčO: 31965903",domov na polceste,Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - jednotlivec; Fyzické osoby v nepriaznivej životnej situácii,"Alžbetina 14, 04001 Košice",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,10,NULL,NULL,NULL,PhDr. Judita Varcholová,PhDr. Judita Varcholová,02/09/2009 00:00,NULL,Košice,Košice,halfway home,residential,privately owned
449,"LUX, n. o., Opatovská cesta 1783/97, 040 01 Košice-Vyšné Opátske, IčO: 35581352",zariadenie pre seniorov,Seniori,"Opatovská 97, 04001 Košice-Vyšné Opátske",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,40,NULL,NULL,NULL,Mgr. Richard Schneider,Mgr. Dana Žižaková,14/07/2009 00:00,NULL,Košice,Košice,facility for seniors,residential,privately owned
205,"Spoločnos priateľov detí - Li(e)nka, Zvoničná 202/18, 044 13 Valaliky, IčO: 35537663",krízová pomoc poskytovaná telekomunikačnými technológiami,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,"Medická 489/6, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,určitý čas,"iná forma (telefonicky, pomocou telekomunikačných technológií)",NULL,NULL,NULL,NULL,Mgr. Vladimír Lichner PhD.,"Mgr. Soňa Lovašová doc.,PhD.",26/10/2017 00:00,NULL,Košice,Košice,crisis aid provided by telecommunications technologies,other form via ICT,privately owned
527,"ArtEst - polyestetické vzdelávanie znevýhodnenej mládeže, Kuzmányho 1768/23, 040 01 Košice-Staré Mesto, IčO: 35569328",domov sociálnych služieb,Zdravotne postihnutí občania,"Zuzkin Park 458/4, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,9,NULL,NULL,NULL,PaedDr. Lívia Kalmárová,Lívia Kalmárová,26/10/2015 00:00,NULL,Košice,Košice,home of social services,ambulant,privately owned
762,"LUX, n. o., Opatovská cesta 1783/97, 040 01 Košice-Vyšné Opátske, IčO: 35581352",domov sociálnych služieb,Fyzická osoba s mentálnym postihnutím; Fyzická osoba s telesným postihnutím; Fyzická osoba so schizofréniou,"Opatovská 97, 04001 Košice-Vyšné Opátske",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,30,NULL,NULL,NULL,Mgr. Richard Schneider,Mgr. Dana Žižaková,14/07/2009 00:00,NULL,Košice,Košice,home of social services,ambulant,privately owned
272,"Agentúra podporovaného zamestnávania Somotor, n.o, Agátová 226/2, 076 35 Somotor, IčO: 35581166",integračné centrum,Občania v krízovej situácii,"Obchodná 38, 076 35 Somotor",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Adriana Ogou,NULL,20/01/2010 00:00,NULL,SK HOBO CORE,Somotor,integration centre,ambulant,privately owned
81,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",jedáleň,Seniori; Zdravotne postihnutí občania,"Komenského 1096/19, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Ing. Zuzana Jusková,17/08/2009 00:00,NULL,Košice,Košice,canteen,ambulant,privately owned
206,"Slovenský červený kríž, územný spolok Trebišov, M. R. Štefánika 2368/176, 075 01 Trebišov, IčO: 00416274",jedáleň,Seniori,"Hviezdoslavova 3203/1, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Zuzana Bocsár Hajduová,Bc. Tomáš Szarvaš,07/07/2009 00:00,NULL,Trebišov,Trebišov,canteen,ambulant,privately owned
740,"Domov dôchodcov TEREZA n. o., Zimná 150, 076 02 Novosad, IčO: 35582057",zariadenie pre seniorov,Seniori,"Zimná 150, 07602 Novosad",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,36,NULL,NULL,NULL,MVDr. Ružena Vasilová,Emília Szucsova,27/07/2009 00:00,NULL,SK HOBO CORE,Novosad,facility for seniors,residential,privately owned
711,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",domov sociálnych služieb,Zdravotne postihnutí občania,"Južná trieda 1549/2, 04001 Košice-Juh",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,15,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Katarína Seidlová,01/07/2009 00:00,NULL,Košice,Košice,home of social services,residential,privately owned
