index,nm4,name,adr,category,unit,police_scope,lat,lon,google_place_id
64,Borša,DHZ Borša,"Ružová 188, 076 32 Borša",Voluntary fire brigade (Category a),Fire brigade,NULL,48.3924832,21.7042323,ChIJO0CyylfOOEcR_yvXDWTHFhk
65,Čerhov,DHZ Čerhov,"Dlhá 100, 07681 Čerhov",Voluntary fire brigade (Category b),Fire brigade,NULL,48.464659,21.649184,ChIJLV_uamDSOEcRZfLHPIk9xPI
68,Hraň,DHZ Hraň,"SNP 165, 076 03 Hraň",Voluntary fire brigade (Category b),Fire brigade,NULL,48.5463652,21.7862568,ChIJhR4FQXzWOEcROgweM6Gy7hU
20,Kalša,DHZ Kalša,044 18 Kalša,Voluntary fire brigade (Category b),Fire brigade,NULL,48.6130079,21.5272364,ChIJ2e8wVrcpP0cRgEaXxtH3AAQ
25,Košická Polianka,DHZ Košická Polianka,"Košická Polianka 122, 044 41 Košická Polianka",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6927335,21.3438769,ChIJX82vzhTfPkcRARobDDzzVxY
27,Kysak,DHZ Kysak,044 81 Kysak,Voluntary fire brigade (Category b),Fire brigade,NULL,48.8534279,21.2209867,ChIJq9KJX5nlPkcRIEeXxtH3AAQ
75,Novosad,DHZ Novosad,"Hlavná 144/47, 076 02 Novosad",Voluntary fire brigade (Category b),Fire brigade,NULL,48.5254693,21.7418136,ChIJx9Y5TBfUOEcRLdqcU5dYM1k
32,Nový Salaš,DHZ Nový Salaš,"Nový Salaš 75, 044 17 Nový Salaš",Voluntary fire brigade (Category b),Fire brigade,NULL,48.611331,21.4733791,ChIJgz5rEGcoP0cRqZfg02tleXM
39,Rákoš,DHZ Rákoš,"Rákoš 95, 044 16 Rákoš",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6420047,21.4298171,ChIJx2bWMZInP0cRXXdwFVQUxHg
NULL,Streda nad Bodrogom,OO PZ Streda nad Bodrogom,"Ružová 431/14, 076 31 Streda nad Bodrogom",Police station,Police,"Streda nad Bodrogom, Bara, Borša, Černochov, Klin nad Bodrogom, Ladmovce, Malý Kamenec, Rad, Slovenské Nové Mesto, Somotor, Svätá Mária, Svinice, Veľký Kamenec, Viničky, Zemplín",48.3758164,21.7507814,EjYxNCwgUnXFvm92w6EgNDMxLCAwNzYgMzEgU3RyZWRhIG5hZCBCb2Ryb2dvbSwgU2xvdmFraWEiHhocChYKFAoSCfmcgAl6zzhHESJvj1q6OpJ1EgIxNA
NULL,Michaľany,OO PZ Michaľany,"Na sídlisku 353, 076 14 Michaľany",Police station,Police,"Michaľany, Brehov, Brezina, Byšta, Cejkov, Čerhov, Hraň, Hrčeľ, Kašov, Kazimír, Kuzmice, Kysta, Lastovce, Luhyňa, Malá Tŕňa, Novosad, Sirník, Slivník, Veľaty, Veľká Tŕňa, Zemplínske Jastrabie, Zemplínsky Branč",48.5151577,21.6209296,ChIJqTPx4LQsP0cRbdMzRJlX8nM
NULL,Trebišov,OO PZ Trebišov,"Nám. Mieru 1496/6, 075 01 Trebišov",Police station,Police,"	Trebišov, Čeľovce, Kožuchov, Nižný žipov, Nový Ruskov, Plechotice, Stanča, Vojčice, Zemplínska Nová Ves, Zemplínske Hradište",48.6201319,21.7181817,EjM2LCBOw6FtZXN0aWUgbWllcnUgMTQ5NiwgMDc1IDAxIFRyZWJpxaFvdiwgU2xvdmFraWEiHRobChYKFAoSCdWJFOv1KzlHEdmN_h7VsfMNEgE2
NULL,Košice-Staré mesto,OO PZ Košice-Staré mesto,"Pribinova 6, 040 01 Košice",Police station,Police,Košice-Staré Mesto,48.7174242,21.2585242,ChIJM1EEOnDgPkcRC15O0GPEDvE
NULL,Košice-Sever,OO PZ Košice - Sever,"Tolstého 34, 040 39 Košice",Police station,Police,"Košice-Sever, Košice-Džungľa, Košice-Kavečany",48.735815,21.2507802,EiZUb2xzdMOpaG8gMzQsIDA0MCAwMSBLb8WhaWNlLCBTbG92YWtpYSIaEhgKFAoSCWFA-WX04D5HEToBvMxO7670ECI
NULL,Košice-Ťahanovce,OO PZ Košice - Ťahanovce,"Juhoslovanská 2, 040 13 Košice",Police station,Police,"Košice-Ťahanovce, Košice-Sídlisko Ťahanovce",48.7545843,21.2712706,EipKdWhvc2xvdmFuc2vDoSAyLCAwNDAgMTMgS2_FoWljZSwgU2xvdmFraWEiGhIYChQKEgknwEe7uOA-RxEwFLXWoez1VhAC
NULL,Košice-Dargovských hrdinov,OO PZ - Dargovských hrdinov,"Trieda L. Svobodu 14, 040 22 Košice",Police station,Police,"Košice-Dargovských hrdinov, Košice-Košická Nová Ves",48.7359573,21.2843299,EjJUci4gYXJtLiBnZW4uIFN2b2JvZHUgMTQsIDA0MCAyMiBLb8WhaWNlLCBTbG92YWtpYSIaEhgKFAoSCYOFmC-d4D5HEa1BLhJXvulTEA4
NULL,Košice-Západ,OO PZ Košice - Západ,"Považská 38, 040 01 Košice",Police station,Police,Košice-Západ,48.7170909,21.2397151,EidQb3Zhxb5za8OhIDM4LCAwNDAgMTEgS2_FoWljZSwgU2xvdmFraWEiGhIYChQKEgl1THnlQeA-RxEwjhPtXDSAaBAm
NULL,Košice-Juh,OO PZ Košice - Juh,"Južná trieda 64, 040 01 Košice",Police station,Police,"Košice-Juh, Košice-Barca, Košice-Šebastovce",48.6987153,21.2637977,EitKdcW-bsOhIHRyaWVkYSA2NCwgMDQwIDAxIEtvxaFpY2UsIFNsb3Zha2lhIhoSGAoUChIJp9tHP-PfPkcRbpRGB8rpnPcQQA
NULL,Košice-Nad Jazerom,OO PZ Košice - Nad Jazerom,"Ladožská 1, 040 12 Košice",Police station,Police,"Košice-Nad jazerom, Košice-Krásna, Košice-Vyšné Opátske",48.6829648,21.2909966,ChIJK4x0R4jfPkcRm3E6H-xnFNo
NULL,Košice-KVP,OO PZ Košice - KVP,"Dénešova 53, 040 11 Košice",Police station,Police,"Košice-Sídlisko KVP, Košice-Myslava, Košice-Luník IX, Košice-Lorinčík, Košice-Pereš",48.7108643,21.2139834,EidEw6luZcWhb3ZhIDUzLCAwNDAgMjMgS2_FoWljZSwgU2xvdmFraWEiGhIYChQKEgk95C1rMeA-RxG6QUZN-ZcP7RA1
4,Trebišov,HS Trebišov,"T. G. Masaryka 13, 075 01 Trebišov",Professionall,Fire brigade,NULL,48.62790659,21.71312134,NULL
NULL,Čaňa,OO PZ Čaňa,"Sídlisko 9, 044 14 Čaňa",Police station,Police,"Čaňa, Belža, Bočiar, Geča, Gyňov, Haniska, Kechnec, Kokšov – Bakša, Milhosť, Nižná Myšľa, Seňa, Skároš, Sokoľany, Trstené pri Hornáde, Valaliky, Ždaňa",48.60782039,21.32442305,NULL
42,Ruskov,DHZ Ruskov,"Slančícka 94, 044 19 Ruskov",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6837508,21.4375108,ChIJpy0S2ffYPkcR_pU1MaUCLho
