ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw
2,1,25720,101,528099,811,8,620264,40953246,1025984696,Václav Terner,Trebišov,Paričovska 1480/40,7501,31/07/2017,10/09/2003,FALSE,SUSR,17/05/2016 22:49,01/08/2017 12:04,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Výroba zámkov a pántov,"Manuf.of locks,hinges",0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,"Manufacture of cutlery, tools and general hardware",C25.7,C25,"Manufacture of fabricated metal products, except machinery and equipment",C,Manufacturing,NULL,NULL,NULL,NULL
2,0,82190,101,528099,811,8,1784234,51827841,NULL,Ing. Ivana Eštoková,Trebišov,Krajná 787/11,7501,06/08/2018,29/06/2018,FALSE,SUSR,07/08/2018 02:03,07/08/2018 02:03,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,"Kopírovanie,prípr.dokum.",Oth.spec.offic.supp.act.,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Office administrative and support activities,N82.1,N82,"Office administrative, office support and other business support activities",N,Administrative and support service activities,NULL,NULL,NULL,NULL
2,1,25720,101,528099,811,8,566390,40385256,1048014814,Jaroslav Zuščák - ZAMOZ,Trebišov,Paričovská 1288/1,7501,31/07/2017,18/09/2002,FALSE,SUSR,17/05/2016 22:43,01/08/2017 11:20,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Výroba zámkov a pántov,"Manuf.of locks,hinges",0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,"Manufacture of cutlery, tools and general hardware",C25.7,C25,"Manufacture of fabricated metal products, except machinery and equipment",C,Manufacturing,NULL,NULL,NULL,NULL
2,1,25720,101,528099,811,8,658204,35476796,NULL,Jozef Žemba,Trebišov,Milhostov 137,7501,31/07/2017,19/01/1999,FALSE,SUSR,17/05/2016 22:53,01/08/2017 12:34,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Výroba zámkov a pántov,"Manuf.of locks,hinges",0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,"Manufacture of cutlery, tools and general hardware",C25.7,C25,"Manufacture of fabricated metal products, except machinery and equipment",C,Manufacturing,NULL,NULL,NULL,NULL
2,1,25720,101,528099,811,8,546675,40387402,1024204137,Štefan Csizmadia,Trebišov,Berehovská 2215/17,7501,31/07/2017,19/02/2003,FALSE,SUSR,17/05/2016 22:41,01/08/2017 11:02,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Výroba zámkov a pántov,"Manuf.of locks,hinges",0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,"Manufacture of cutlery, tools and general hardware",C25.7,C25,"Manufacture of fabricated metal products, except machinery and equipment",C,Manufacturing,NULL,NULL,NULL,NULL
2,4,43990,112,528099,811,8,1783174,51785765,2120801760,Green Enviro Technology s.r.o.,Trebišov,Škultétyho 1880/7,7501,07/04/2020,10/07/2018,FALSE,SUSR,07/08/2018 02:03,12/05/2020 19:55,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Ost.špecializ.stav.práce,Oth.spec.constr.act.nec,3-4 zamestnanci,3-4 employees,Súkromné tuzemské,Private inland,3,4,Trebišov,Other specialised construction activities,F43.9,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,3,38210,101,528099,811,8,546154,40384497,1020696105,Ján Bodnár - ZBEDRUS,Trebišov,Sadovská 1,7501,07/04/2020,26/06/2002,FALSE,SUSR,17/05/2016 22:41,12/05/2020 20:52,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Spracúv.bezp.odpadu,Disposal of n-hazard.was,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,Trebišov,Waste treatment and disposal,E38.2,E38,"Waste collection, treatment and disposal activities; materials recovery",E,Water supply; sewerage; waste managment and remediation activities,NULL,NULL,NULL,NULL
2,0,18130,101,528099,811,8,304099,17269857,1020695390,Dušan Komjaty - ALU PRESS,Trebišov,Kpt. Nálepku 1,7501,31/07/2017,13/08/1991,FALSE,SUSR,17/05/2016 22:18,01/08/2017 07:55,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Služby pre tlač a média,"Pre-press,pre-media serv",nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Printing and service activities related to printing,C18.1,C18,Printing and reproduction of recorded media,C,Manufacturing,NULL,NULL,NULL,NULL
2,5,47520,112,528099,811,8,767714,44548397,2022736716,EKOPRA COLOR - MIX s.r.o.,Trebišov,Cukrovarská 32,7501,05/08/2019,01/01/2009,FALSE,SUSR,17/05/2016 23:03,06/08/2019 02:12,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,"Mal.so žel.tov,farb,skl.","Retail of hardw.,paints",5-9 zamestnancov,5-9 employees,Súkromné tuzemské,Private inland,5,9,Trebišov,Retail sale of other household equipment in specialised stores,G47.5,G47,"Retail trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,1,43990,101,528099,811,8,1702244,47952725,NULL,Lukáš Parizek,Trebišov,Štúrova 1068/6,7501,14/02/2018,25/08/2015,FALSE,SUSR,30/06/2017 02:18,15/02/2018 03:15,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Ost.špecializ.stav.práce,Oth.spec.constr.act.nec,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,Other specialised construction activities,F43.9,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
