nace_root_code,nace_root_name,municipality_id,district_id,region_id,municipality,district_name,region_name,tvc_network,zemp_geopark,se,nw,n,min_emp,max_emp
A,"Agriculture, forestry and fishing",581704,406,4,Kuzmice,Topoľčany,Nitriansky kraj,False,False,True,NULL,6,6,6
A,"Agriculture, forestry and fishing",526118,608,6,Rákoš,Revúca,Banskobystrický kraj,False,False,True,NULL,2,2,2
A,"Agriculture, forestry and fishing",599891,802,8,Košice-Džungľa,Košice I,Košický kraj,NULL,NULL,NULL,NULL,2,2,2
A,"Agriculture, forestry and fishing",598119,802,8,Košice-Kavečany,Košice I,Košický kraj,NULL,NULL,NULL,NULL,6,5,5
A,"Agriculture, forestry and fishing",598151,802,8,Košice-Sever,Košice I,Košický kraj,NULL,NULL,NULL,NULL,46,27,27
A,"Agriculture, forestry and fishing",598186,802,8,Košice-Staré Mesto,Košice I,Košický kraj,NULL,NULL,NULL,NULL,67,55,66
A,"Agriculture, forestry and fishing",598127,802,8,Košice-Ťahanovce,Košice I,Košický kraj,NULL,NULL,NULL,NULL,4,2,2
A,"Agriculture, forestry and fishing",599972,803,8,Košice-Luník IX,Košice II,Košický kraj,NULL,NULL,NULL,NULL,1,1,1
A,"Agriculture, forestry and fishing",598216,803,8,Košice-Myslava,Košice II,Košický kraj,NULL,NULL,NULL,NULL,11,9,9
A,"Agriculture, forestry and fishing",598208,803,8,Košice-Pereš,Košice II,Košický kraj,NULL,NULL,NULL,NULL,1,5,9
A,"Agriculture, forestry and fishing",599859,803,8,Košice-Poľov,Košice II,Košický kraj,NULL,NULL,NULL,NULL,1,0,0
A,"Agriculture, forestry and fishing",599841,803,8,Košice-Šaca,Košice II,Košický kraj,NULL,NULL,NULL,NULL,15,15,19
A,"Agriculture, forestry and fishing",599883,803,8,Košice-Sídlisko KVP,Košice II,Košický kraj,NULL,NULL,NULL,NULL,28,31,44
A,"Agriculture, forestry and fishing",598224,803,8,Košice-Západ,Košice II,Košický kraj,NULL,NULL,NULL,NULL,52,45,49
A,"Agriculture, forestry and fishing",599093,805,8,Košice-Barca,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,26,20,20
A,"Agriculture, forestry and fishing",599824,805,8,Košice-Juh,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,56,92,153
A,"Agriculture, forestry and fishing",599794,805,8,Košice-Krásna,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,16,13,13
A,"Agriculture, forestry and fishing",599816,805,8,Košice-Nad jazerom,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,28,22,23
A,"Agriculture, forestry and fishing",599786,805,8,Košice-Šebastovce,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,5,21,25
A,"Agriculture, forestry and fishing",599913,805,8,Košice-Vyšné Opátske,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,10,9,9
A,"Agriculture, forestry and fishing",521167,806,8,Belža,Košice - okolie,Košický kraj,False,False,True,NULL,3,3,3
A,"Agriculture, forestry and fishing",521191,806,8,Blažice,Košice - okolie,Košický kraj,False,False,True,NULL,1,0,0
A,"Agriculture, forestry and fishing",559831,806,8,Bočiar,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
A,"Agriculture, forestry and fishing",521205,806,8,Bohdanovce,Košice - okolie,Košický kraj,False,False,True,NULL,2,0,0
A,"Agriculture, forestry and fishing",521299,806,8,Čaňa,Košice - okolie,Košický kraj,False,False,True,NULL,14,23,36
A,"Agriculture, forestry and fishing",521345,806,8,Družstevná pri Hornáde,Košice - okolie,Košický kraj,False,False,NULL,True,9,28,52
A,"Agriculture, forestry and fishing",521370,806,8,Geča,Košice - okolie,Košický kraj,False,False,True,NULL,2,0,0
A,"Agriculture, forestry and fishing",521388,806,8,Gyňov,Košice - okolie,Košický kraj,False,False,True,NULL,7,17,30
A,"Agriculture, forestry and fishing",521400,806,8,Haniska,Košice - okolie,Košický kraj,False,False,True,NULL,6,5,5
