mun_id,mun_name,yr,cat_id,cat_name,val
SK042B528129,Bara,2000,U15061,Number of registered job applicants in total,44
SK042B528129,Bara,2005,U15061,Number of registered job applicants in total,49
SK042B528129,Bara,2010,U15061,Number of registered job applicants in total,43
SK042B528129,Bara,2015,U15061,Number of registered job applicants in total,29
SK042B528129,Bara,2020,U15061,Number of registered job applicants in total,21
SK0426521167,Belža,2000,U15061,Number of registered job applicants in total,23
SK0426521167,Belža,2005,U15061,Number of registered job applicants in total,23
SK0426521167,Belža,2010,U15061,Number of registered job applicants in total,17
SK0426521167,Belža,2015,U15061,Number of registered job applicants in total,14
SK0426521167,Belža,2020,U15061,Number of registered job applicants in total,13
SK0426521191,Blažice,2000,U15061,Number of registered job applicants in total,46
SK0426521191,Blažice,2005,U15061,Number of registered job applicants in total,56
SK0426521191,Blažice,2010,U15061,Number of registered job applicants in total,43
SK0426521191,Blažice,2015,U15061,Number of registered job applicants in total,59
SK0426521191,Blažice,2020,U15061,Number of registered job applicants in total,36
SK0426559831,Bočiar,2000,U15061,Number of registered job applicants in total,19
SK0426559831,Bočiar,2005,U15061,Number of registered job applicants in total,12
SK0426559831,Bočiar,2010,U15061,Number of registered job applicants in total,14
SK0426559831,Bočiar,2015,U15061,Number of registered job applicants in total,10
SK0426559831,Bočiar,2020,U15061,Number of registered job applicants in total,2
SK0426521205,Bohdanovce,2000,U15061,Number of registered job applicants in total,83
SK0426521205,Bohdanovce,2005,U15061,Number of registered job applicants in total,57
SK0426521205,Bohdanovce,2010,U15061,Number of registered job applicants in total,56
SK0426521205,Bohdanovce,2015,U15061,Number of registered job applicants in total,37
SK0426521205,Bohdanovce,2020,U15061,Number of registered job applicants in total,35
SK042B528170,Borša,2000,U15061,Number of registered job applicants in total,163
SK042B528170,Borša,2005,U15061,Number of registered job applicants in total,128
SK042B528170,Borša,2010,U15061,Number of registered job applicants in total,127
SK042B528170,Borša,2015,U15061,Number of registered job applicants in total,96
SK042B528170,Borša,2020,U15061,Number of registered job applicants in total,67
SK042B528200,Brehov,2000,U15061,Number of registered job applicants in total,104
SK042B528200,Brehov,2005,U15061,Number of registered job applicants in total,88
