muni,index,nm3,nm4,ku,un_nnkp,zn_nnkp,c_uzpf_nnkp,index_po,un_po,bu_po,addr,r_num,o_num,parcel_nuk,est,p_style,author,protectet_unit,ownership_type,adresa,gps_latitude,gps_longitude,geom,route_in_500m,n_tracks_in_500,closest_track,closest_track_m,google_street_view,nearest_route_point,dmo_name,cat,marker_color,muni1,wine_region_tokaj_mun_network,zemplin_geopark,se,nw,idn3,cat_en,cat_rank,cat_rank_en
Košice,452,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,17,MÚR HRADBOVÝ,NULL,Hradbová ul.,NULL,NULL,"353,354,355,362,363,364,365,366,367",2.pol.13.st.-14.st.,gotika,NULL,MPR,Samospráva miest a obcí,"Hradbová ul. Košice 1-Staré Mesto, Okres Košice I",48.7206145,21.253856,0101000020E6100000B4E4F1B4FC403540FF428F183D5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7206145,21.253856&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,453,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,18,MÚR HRADBOVÝ,NULL,Hradbová ul.,NULL,NULL,"335/1-3,336,351,352",2.pol.13.st.-14.st.,gotika,NULL,MPR,Samospráva miest a obcí,"Hradbová ul. Košice 1-Staré Mesto, Okres Košice I",48.7206145,21.253856,0101000020E6100000B4E4F1B4FC403540FF428F183D5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7206145,21.253856&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,441,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,6,MÚR HRADBOVÝ,kurtina,Hrnčiarska ul.,956,15,943/2,15.st.,renesancia,NULL,MPR,Samospráva miest a obcí,"Hrnčiarska ul. 15, Košice 1-Staré Mesto, Okres Košice I",48.7236745,21.2594519,0101000020E6100000936291706B4235407E39B35DA15C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7236745,21.2594519&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,440,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,5,MÚR HRADBOVÝ,kurtina,Hrnčiarska ul.,"953,952,950-948","19,21,23,25,27","924,927,928,933/2,936/2",15.st.,renesancia,NULL,MPR,Samospráva miest a obcí,"Hrnčiarska ul. 19,21,23,25,27, Košice 1-Staré Mesto, Okres Košice I",48.7238923,21.2593149,0101000020E610000092DD167662423540C229BD80A85C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7238923,21.2593149&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,444,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,9,BAŠTA DELOVÁ,rondel,Hrnčiarska ul.,919,7,959/1,2/2 15.st.,renesancia,NULL,MPR,vyšší územný celok,"Hrnčiarska ul. 7, Košice 1-Staré Mesto, Okres Košice I",48.7225695,21.2600851,0101000020E610000049ADE6EF9442354025CB49287D5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7225695,21.2600851&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,445,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,10,MÚR HRADBOVÝ,NULL,Hrnčiarska ul.,919,7,959/1 (hranica parcely),2/2 15.st.,renesancia,NULL,MPR,vyšší územný celok,"Hrnčiarska ul. 7, Košice 1-Staré Mesto, Okres Košice I",48.7225695,21.2600851,0101000020E610000049ADE6EF9442354025CB49287D5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7225695,21.2600851&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,443,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,8,MÚR PARKANOVÝ,NULL,Hrnčiarska ul.,960,9,"954,955",14.-15.st,gotika,NULL,MPR,vyšší územný celok,"Hrnčiarska ul. 9, Košice 1-Staré Mesto, Okres Košice I",48.7232322,21.2596607,0101000020E6100000758EA61F7942354002356BDF925C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7232322,21.2596607&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,442,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,7,MÚR HRADBOVÝ,priečny,Hrnčiarska ul.,NULL,NULL,959/1 (hranica pozemku),16.-17.st.,renesancia,NULL,MPR,vyšší územný celok,"Hrnčiarska ul. Košice 1-Staré Mesto, Okres Košice I",48.7216641,21.2604585,0101000020E610000018778368AD42354040193E7D5F5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7216641,21.2604585&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,458,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,23,BRÁNA OPEVNENIA,NULL,NULL,51,51,2606/1,90.r.13.st.,gotika,NULL,MPR,Samospráva miest a obcí,"Košice 1-Staré Mesto 51, Okres Košice I",48.7223734,21.2570032,0101000020E6100000A4F732F6CA4135400B4048BB765C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7223734,21.2570032&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,456,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,21,MÚR HRADBOVÝ S BASTIÓNOM,päťboký bastión+kurtína,Mäsiarska ul.,332,74,302,2/2 16.st.,renesancia,NULL,MPR,Príspevková organizácia,"Mäsiarska ul. 74, Košice 1-Staré Mesto, Okres Košice I",48.7254974,21.2537257,0101000020E61000009BA7DF2AF4403540A12A4B19DD5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7254974,21.2537257&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
