ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw,eu_tour,unwto_oecd_tour
2,0,93190,105,522261,806,8,1855452,52076261,NULL,Radován Gergeľ,Ždaňa,Jarmočná 95/5,4411,05/08/2019,15/11/2018,FALSE,SUSR,06/08/2019 02:38,06/08/2019 02:38,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Ždaňa,Ždaňa,FO-slob.povolanie,Freelance occupation,Ost.športové čin.,Other sports activities,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Sports activities,R93.1,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
2,0,49320,105,521582,806,8,343527,43726640,1074519226,Róbert Smrčo,Košická Polianka,Košická Polianka 177,4441,05/11/2019,14/10/2019,FALSE,SUSR,17/05/2016 22:22,06/11/2019 02:01,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Košická Polianka,Košická Polianka,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,1,49390,101,522261,806,8,1499241,47188839,1086145885,Peter Jobbágy,Ždaňa,Jantárová 317/50,4411,14/02/2018,15/04/2015,FALSE,SUSR,17/05/2016 23:36,15/02/2018 02:54,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Ždaňa,Ždaňa,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,0,49390,101,521582,806,8,1669290,50135961,NULL,Patrik Maščák,Košická Polianka,Košická Polianka 189,4441,31/07/2017,11/01/2017,FALSE,SUSR,10/02/2017 08:34,01/08/2017 19:30,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Košická Polianka,Košická Polianka,Živnostník,Entrepreneur,Ost.osobná pozemná dopr.,Oth.pass.land transp.nec,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
2,0,49320,105,521582,806,8,442340,30683459,1025620343,Štefan Ondo,Košická Polianka,Košická Polianka,4441,03/12/2019,27/12/2013,FALSE,SUSR,17/05/2016 20:56,04/12/2019 02:02,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Košická Polianka,Košická Polianka,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Other passenger land transport,H49.3,H49,Land transport and transport via pipelines,H,Transporting and storage,FALSE,FALSE,True,NULL,partialy tourism industry,individual transportation industries
7,0,56109,101,521582,806,8,1937632,53359160,NULL,Hanna Bahmet,Košická Polianka,Košická Polianka 27,4441,04/11/2020,07/10/2020,FALSE,SUSR,05/11/2020 02:20,05/11/2020 02:20,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Košická Polianka,Košická Polianka,Živnostník,Entrepreneur,Ost.účelové stravovanie,Other purpose consume,nezistený,unknown,Zahraničné,Foreign,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,0,93290,101,521582,806,8,1773853,51716411,NULL,Bartolomej Hreha,Košická Polianka,Košická Polianka 47,4441,05/06/2018,07/05/2018,FALSE,SUSR,06/06/2018 08:36,06/06/2018 08:36,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Košická Polianka,Košická Polianka,Živnostník,Entrepreneur,"Ost.zábav,voľnočas.čin.",Oth.amusement act.,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Amusement and recreation activities,R93.2,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
2,0,56300,101,559865,806,8,50790,32549610,1030682444,Anna Lacková - LARM,Sokoľany,Sokoľany 104,4457,09/09/2020,25/09/1992,FALSE,SUSR,17/05/2016 21:52,10/09/2020 02:02,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Sokoľany,Sokoľany,Živnostník,Entrepreneur,Služby pohostinstiev,Beverage serving activ.,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Beverage serving activities,I56.3,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,0,93110,112,559865,806,8,1912970,53052579,NULL,axen s. r. o.,Sokoľany,Sokoľany 118,4457,09/06/2020,07/05/2020,FALSE,SUSR,10/06/2020 02:15,10/06/2020 02:15,FALSE,NULL,NULL,Košický kraj,Region of Košice,Košice - okolie,Košice - okolie,Sokoľany,Sokoľany,Spol. s r. o.,Limited liability comp.,Prevádzka šport.zar.,Operat.of sports facilit,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,SK HOBO CORE,Sports activities,R93.1,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,FALSE,True,NULL,NULL,sport & recreation industries
2,3,56101,101,544019,811,8,1139579,46329102,1084272948,Ľubomíra Zamboriová,Zemplínska Teplica,Obchodná 371/3,7664,31/07/2017,22/08/2011,FALSE,SUSR,17/05/2016 23:23,01/08/2017 15:58,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Zemplínska Teplica,Zemplínska Teplica,Živnostník,Entrepreneur,Jedálne,Eating houses,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,2,56101,101,544019,811,8,1676628,50707116,NULL,Dominik Tirpák - Rýchla Rota MDM,Zemplínska Teplica,Letná 367/11,7664,04/04/2019,25/01/2017,FALSE,SUSR,07/03/2017 02:09,05/04/2019 02:10,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Zemplínska Teplica,Zemplínska Teplica,Živnostník,Entrepreneur,Jedálne,Eating houses,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,SK HOBO CORE,Restaurants and mobile food service activities,I56.1,I56,Food and beverage service activities,I,Accommodation and food service activities,FALSE,FALSE,True,NULL,partialy tourism industry,catering & food service industries
2,0,93190,112,528480,811,8,1808430,51939886,2120864416,Borfar s.r.o.,Kysta,Hlavná 44/3,7602,02/07/2019,23/10/2018,FALSE,SUSR,06/12/2018 02:05,02/07/2019 02:00,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Kysta,Kysta,Spol. s r. o.,Limited liability comp.,Ost.športové čin.,Other sports activities,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,SK HOBO CORE,Sports activities,R93.1,R93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",FALSE,TRUE,True,NULL,NULL,sport & recreation industries
