"y","ksk","hobo","ke","tv","ks","hobocore"
2010,"26443","6891","4158","1554","1179","2733"
2011,"26476","7002","4157","1557","1288","2845"
2012,"26764","7373","4425","1600","1348","2948"
2013,"26139","7258","4399","1494","1365","2859"
2014,"25707","7492","5011","1240","1241","2481"
2015,"25989","7717","5065","1314","1338","2652"
2016,"23188","8075","5648","1308","1119","2427"
2017,"21893","7245","5054","1124","1067","2191"
2018,"21586","8398","5817","1172","1409","2581"
2019,"22835","9720","6987","1185","1548","2733"
2020,"20534","9409","6694","1186","1529","2715"
