"y","ksk","hobo","ke","tv","ks","hobocore"
2010,"281205","171750","135188","17392","19170","36562"
2011,"289435","171154","129526","17423","24205","41628"
2012,"283180","168385","129959","13972","24454","38426"
2013,"314651","190315","151657","13087","25571","38658"
2014,"260494","172940","140011","12763","20166","32929"
2015,"266358","184727","154012","13751","16964","30715"
2016,"347014","219953","184467","14857","20629","35486"
2017,"366142","234367","195890","15163","23314","38477"
2018,"386088","240569","200277","16938","23354","40292"
2019,"456493","288706","240345","17757","30604","48361"
2020,"226522","127641","105215","10839","11587","22426"
