"y","ksk","hobo","ke","tv","ks","hobocore"
2010,"618308","347250","262660","33610","50980","84590"
2011,"620403","344194","254233","35615","54346","89961"
2012,"596457","339159","258894","26848","53417","80265"
2013,"649947","366925","285736","23273","57916","81189"
2014,"537533","331527","262112","22534","46881","69415"
2015,"597759","376938","305620","30312","41006","71318"
2016,"726401","425835","350145","24745","50945","75690"
2017,"762490","450222","367725","23905","58592","82497"
2018,"830079","503575","417209","29102","57264","86366"
2019,"1055845","671938","560580","31271","80087","111358"
2020,"545839","302418","240651","20282","41485","61767"
