y,mm,var,dim,dd,ksk,ke,ks,tv,sk_hobo,sk_hobo_core
2017,1,Number of visitors total,Accommodation establishments in total,20170101,19089,10564,1361,698,4207.7,1029.5
2017,2,Number of visitors total,Accommodation establishments in total,20170201,22615,12304,1206,632,4714,919
2017,3,Number of visitors total,Accommodation establishments in total,20170301,26440,15152,1666,1024,5947.3,1345
2017,4,Number of visitors total,Accommodation establishments in total,20170401,27019,15613,1844,1142,6199.7,1493
2017,5,Number of visitors total,Accommodation establishments in total,20170501,34181,18993,1847,1364,7401.3,1605.5
2017,6,Number of visitors total,Accommodation establishments in total,20170601,35062,18836,2256,1360,7484,1808
2017,7,Number of visitors total,Accommodation establishments in total,20170701,42156,16791,2431,2416,7212.7,2423.5
2017,8,Number of visitors total,Accommodation establishments in total,20170801,43013,18466,2554,2090,7703.3,2322
2017,9,Number of visitors total,Accommodation establishments in total,20170901,35784,19944,2536,1309,7929.7,1922.5
2017,10,Number of visitors total,Accommodation establishments in total,20171001,32738,19505,2383,1374,7754,1878.5
2017,11,Number of visitors total,Accommodation establishments in total,20171101,26446,16370,1880,965,6405,1422.5
2017,12,Number of visitors total,Accommodation establishments in total,20171201,21599,13352,1350,789,5163.7,1069.5
2018,1,Number of visitors total,Accommodation establishments in total,20180101,18183,11152,936,754,4280.7,845
2018,2,Number of visitors total,Accommodation establishments in total,20180201,22924,12404,1320,643,4789,981.5
2018,3,Number of visitors total,Accommodation establishments in total,20180301,24394,14348,1630,NULL,7989,1630
2018,4,Number of visitors total,Accommodation establishments in total,20180401,28726,17059,1701,1227,6662.3,1464
2018,5,Number of visitors total,Accommodation establishments in total,20180501,35735,19937,2034,1490,7820.3,1762
2018,6,Number of visitors total,Accommodation establishments in total,20180601,38966,19453,3143,1611,8069,2377
2018,7,Number of visitors total,Accommodation establishments in total,20180701,45369,17146,1971,2084,7067,2027.5
2018,8,Number of visitors total,Accommodation establishments in total,20180801,49545,18816,2630,2916,8120.7,2773
2018,9,Number of visitors total,Accommodation establishments in total,20180901,36375,18113,2373,1756,7414,2064.5
2018,10,Number of visitors total,Accommodation establishments in total,20181001,33454,20130,1809,1429,7789.3,1619
2018,11,Number of visitors total,Accommodation establishments in total,20181101,27031,16946,1686,1063,6565,1374.5
2018,12,Number of visitors total,Accommodation establishments in total,20181201,25386,14773,2121,1076,5990,1598.5
2019,1,Number of visitors total,Accommodation establishments in total,20190101,20837,11841,1156,638,4545,897
2019,2,Number of visitors total,Accommodation establishments in total,20190201,26041,14749,1791,860,5800,1325.5
2019,3,Number of visitors total,Accommodation establishments in total,20190301,26762,16764,1489,971,6408,1230
2019,4,Number of visitors total,Accommodation establishments in total,20190401,30594,17195,2294,1110,6866.3,1702
2019,5,Number of visitors total,Accommodation establishments in total,20190501,43683,24398,2421,1866,9561.7,2143.5
2019,6,Number of visitors total,Accommodation establishments in total,20190601,46457,24721,3456,1770,9982.3,2613
2019,7,Number of visitors total,Accommodation establishments in total,20190701,55868,22787,3703,2426,9638.7,3064.5
2019,8,Number of visitors total,Accommodation establishments in total,20190801,58041,23152,3786,2813,9917,3299.5
2019,9,Number of visitors total,Accommodation establishments in total,20190901,42332,22926,2647,1437,9003.3,2042
2019,10,Number of visitors total,Accommodation establishments in total,20191001,42910,24611,3617,1524,9917.3,2570.5
2019,11,Number of visitors total,Accommodation establishments in total,20191101,33323,19272,2574,1336,7727.3,1955
2019,12,Number of visitors total,Accommodation establishments in total,20191201,29645,17929,1670,1006,6868.3,1338
2020,1,Number of visitors total,Accommodation establishments in total,20200101,23989,13486,1209,797,5164,1003
2020,2,Number of visitors total,Accommodation establishments in total,20200201,26129,14709,1892,843,5814.7,1367.5
2020,3,Number of visitors total,Accommodation establishments in total,20200301,9118,5284,501,375,2053.3,438
2020,4,Number of visitors total,Accommodation establishments in total,20200401,857,619,NULL,83,351,83
2020,5,Number of visitors total,Accommodation establishments in total,20200501,4852,2540,272,280,1030.7,276
2020,6,Number of visitors total,Accommodation establishments in total,20200601,14678,6479,1024,911,2804.7,967.5
2020,7,Number of visitors total,Accommodation establishments in total,20200701,44570,16709,1769,1736,6738,1752.5
2020,8,Number of visitors total,Accommodation establishments in total,20200801,53550,17992,2727,3213,7977.3,2970
2020,9,Number of visitors total,Accommodation establishments in total,20200901,27324,13665,1715,1299,5559.7,1507
2020,10,Number of visitors total,Accommodation establishments in total,20201001,9855,6043,NULL,648,3345.5,648
2020,11,Number of visitors total,Accommodation establishments in total,20201101,6338,4091,348,397,1612,372.5
2020,12,Number of visitors total,Accommodation establishments in total,20201201,5262,3598,130,257,1328.3,193.5
2021,1,Number of visitors total,Accommodation establishments in total,20210101,1871,1319,153,43,505,98
2021,2,Number of visitors total,Accommodation establishments in total,20210201,2899,2025,133,130,762.7,131.5
2021,3,Number of visitors total,Accommodation establishments in total,20210301,3491,2242,251,190,894.3,220.5
2021,4,Number of visitors total,Accommodation establishments in total,20210401,4685,2772,259,251,1094,255
2021,5,Number of visitors total,Accommodation establishments in total,20210501,10046,6463,642,760,2621.7,701
2021,6,Number of visitors total,Accommodation establishments in total,20210601,22024,11430,1792,1097,4773,1444.5
2021,7,Number of visitors total,Accommodation establishments in total,20210701,43143,16621,3202,2331,7384.7,2766.5
2021,8,Number of visitors total,Accommodation establishments in total,20210801,51683,20301,3698,3491,9163.3,3594.5
2021,9,Number of visitors total,Accommodation establishments in total,20210901,NULL,NULL,NULL,NULL,NULL,NULL
2021,10,Number of visitors total,Accommodation establishments in total,20211001,NULL,NULL,NULL,NULL,NULL,NULL
2021,11,Number of visitors total,Accommodation establishments in total,20211101,NULL,NULL,NULL,NULL,NULL,NULL
2021,12,Number of visitors total,Accommodation establishments in total,20211201,NULL,NULL,NULL,NULL,NULL,NULL
