y,mm,var,dim,dd,ksk,ke,ks,tv,sk_hobo,sk_hobo_core
2017,1,Average number of nights spent by visitors,Accommodation establishments in total,20170101,2.1,1.9,1.9,1.4,1.7,1.7
2017,2,Average number of nights spent by visitors,Accommodation establishments in total,20170201,2.1,2,2.1,1.9,2,2
2017,3,Average number of nights spent by visitors,Accommodation establishments in total,20170301,2,1.9,2.7,1.5,2,2.1
2017,4,Average number of nights spent by visitors,Accommodation establishments in total,20170401,2,1.9,1.9,1.5,1.8,1.7
2017,5,Average number of nights spent by visitors,Accommodation establishments in total,20170501,1.9,1.8,2.4,1.4,1.9,1.9
2017,6,Average number of nights spent by visitors,Accommodation establishments in total,20170601,2.1,2,2.3,1.3,1.9,1.8
2017,7,Average number of nights spent by visitors,Accommodation establishments in total,20170701,2.5,1.8,4.1,1.7,2.5,2.9
2017,8,Average number of nights spent by visitors,Accommodation establishments in total,20170801,2.4,1.8,3.1,1.7,2.2,2.4
2017,9,Average number of nights spent by visitors,Accommodation establishments in total,20170901,2,1.8,2.4,1.5,1.9,2
2017,10,Average number of nights spent by visitors,Accommodation establishments in total,20171001,1.9,1.9,2.3,1.7,2,2
2017,11,Average number of nights spent by visitors,Accommodation establishments in total,20171101,1.9,1.9,2.2,1.6,1.9,1.9
2017,12,Average number of nights spent by visitors,Accommodation establishments in total,20171201,1.8,1.8,1.7,1.4,1.6,1.6
2018,1,Average number of nights spent by visitors,Accommodation establishments in total,20180101,2.1,2,2.3,1.4,1.9,1.9
2018,2,Average number of nights spent by visitors,Accommodation establishments in total,20180201,2.2,2.2,2,1.7,2,1.9
2018,3,Average number of nights spent by visitors,Accommodation establishments in total,20180301,2.1,2.2,2,NULL,2.1,2
2018,4,Average number of nights spent by visitors,Accommodation establishments in total,20180401,2,2.1,2.2,1.7,2,2
2018,5,Average number of nights spent by visitors,Accommodation establishments in total,20180501,2,2.1,2,1.6,1.9,1.8
2018,6,Average number of nights spent by visitors,Accommodation establishments in total,20180601,2.1,2,2.6,1.6,2.1,2.1
2018,7,Average number of nights spent by visitors,Accommodation establishments in total,20180701,2.5,2.1,3.8,1.9,2.6,2.9
2018,8,Average number of nights spent by visitors,Accommodation establishments in total,20180801,2.3,2.1,3.5,1.7,2.4,2.6
2018,9,Average number of nights spent by visitors,Accommodation establishments in total,20180901,2.1,2,2,1.9,2,2
2018,10,Average number of nights spent by visitors,Accommodation establishments in total,20181001,2,2,2.1,1.9,2,2
2018,11,Average number of nights spent by visitors,Accommodation establishments in total,20181101,2.1,2.1,1.9,1.6,1.9,1.8
2018,12,Average number of nights spent by visitors,Accommodation establishments in total,20181201,2,2,2.3,1.7,2,2
2019,1,Average number of nights spent by visitors,Accommodation establishments in total,20190101,2.4,2.5,1.8,1.8,2,1.8
2019,2,Average number of nights spent by visitors,Accommodation establishments in total,20190201,2.4,2.4,2.1,1.6,2,1.9
2019,3,Average number of nights spent by visitors,Accommodation establishments in total,20190301,2.2,2.3,2.1,1.8,2.1,2
2019,4,Average number of nights spent by visitors,Accommodation establishments in total,20190401,2.2,2.4,2,1.5,2,1.8
2019,5,Average number of nights spent by visitors,Accommodation establishments in total,20190501,2.3,2.5,2.2,1.8,2.2,2
2019,6,Average number of nights spent by visitors,Accommodation establishments in total,20190601,2.3,2.4,2.3,1.8,2.2,2.1
2019,7,Average number of nights spent by visitors,Accommodation establishments in total,20190701,2.6,2.3,4.1,2,2.8,3.1
2019,8,Average number of nights spent by visitors,Accommodation establishments in total,20190801,2.5,2.3,3.7,1.7,2.6,2.7
2019,9,Average number of nights spent by visitors,Accommodation establishments in total,20190901,2.2,2.2,2.3,1.8,2.1,2.1
2019,10,Average number of nights spent by visitors,Accommodation establishments in total,20191001,2.1,2.3,2.3,1.5,2,1.9
2019,11,Average number of nights spent by visitors,Accommodation establishments in total,20191101,2.2,2.3,2.4,1.7,2.1,2.1
2019,12,Average number of nights spent by visitors,Accommodation establishments in total,20191201,2.1,2.1,2.1,1.9,2,2
