y,mm,var,muni,dim,sum,dim-2,sum-2,dim-3,sum-3
2017,1,Number of nights spent by visitors,Košice,Visitors total,15686.0,Domestic visitors,2622.0,Foreign visitors,887.0
2017,2,Number of nights spent by visitors,Košice,Visitors total,20848.0,Domestic visitors,4371.0,Foreign visitors,2409.0
2017,3,Number of nights spent by visitors,Košice,Visitors total,24829.0,Domestic visitors,2432.0,Foreign visitors,1445.0
2017,4,Number of nights spent by visitors,Košice,Visitors total,21635.0,Domestic visitors,2429.0,Foreign visitors,966.0
2017,5,Number of nights spent by visitors,Košice,Visitors total,20111.0,Domestic visitors,NULL,Foreign visitors,NULL
2017,6,Number of nights spent by visitors,Košice,Visitors total,31730.0,Domestic visitors,17252.0,Foreign visitors,13549.0
2017,7,Number of nights spent by visitors,Košice,Visitors total,23691.0,Domestic visitors,2629.0,Foreign visitors,1002.0
2017,8,Number of nights spent by visitors,Košice,Visitors total,25495.0,Domestic visitors,2155.0,Foreign visitors,1267.0
2017,9,Number of nights spent by visitors,Košice,Visitors total,26746.0,Domestic visitors,NULL,Foreign visitors,NULL
2017,10,Number of nights spent by visitors,Košice,Visitors total,28088.0,Domestic visitors,3380.0,Foreign visitors,1855.0
2017,11,Number of nights spent by visitors,Košice,Visitors total,22705.0,Domestic visitors,2090.0,Foreign visitors,1292.0
2017,12,Number of nights spent by visitors,Košice,Visitors total,21324.0,Domestic visitors,11923.0,Foreign visitors,8674.0
2018,1,Number of nights spent by visitors,Košice,Visitors total,16356.0,Domestic visitors,9385.0,Foreign visitors,6971.0
2018,2,Number of nights spent by visitors,Košice,Visitors total,15246.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,3,Number of nights spent by visitors,Košice,Visitors total,17242.0,Domestic visitors,5910.0,Foreign visitors,7304.0
2018,4,Number of nights spent by visitors,Košice,Visitors total,16018.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,5,Number of nights spent by visitors,Košice,Visitors total,24056.0,Domestic visitors,4266.0,Foreign visitors,1761.0
2018,6,Number of nights spent by visitors,Košice,Visitors total,16930.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,7,Number of nights spent by visitors,Košice,Visitors total,21327.0,Domestic visitors,3848.0,Foreign visitors,2684.0
2018,8,Number of nights spent by visitors,Košice,Visitors total,23857.0,Domestic visitors,4294.0,Foreign visitors,3262.0
2018,9,Number of nights spent by visitors,Košice,Visitors total,15917.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,10,Number of nights spent by visitors,Košice,Visitors total,17319.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,11,Number of nights spent by visitors,Košice,Visitors total,15285.0,Domestic visitors,8007.0,Foreign visitors,7278.0
2018,12,Number of nights spent by visitors,Košice,Visitors total,12470.0,Domestic visitors,6461.0,Foreign visitors,6009.0
