y,mm,var,muni,dim,sum,dim-2,sum-2,dim-3,sum-3
2017,1,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,2,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,3,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,4,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,5,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,6,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,7,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,8,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,9,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,10,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,11,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,12,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,1,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,2,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,3,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,4,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,5,Number of visitors total,Trebišov,Visitors total,494.0,Domestic visitors,421.0,Foreign visitors,73.0
2018,6,Number of visitors total,Trebišov,Visitors total,476.0,Domestic visitors,300.0,Foreign visitors,176.0
2018,7,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,8,Number of visitors total,Trebišov,Visitors total,667.0,Domestic visitors,379.0,Foreign visitors,288.0
2018,9,Number of visitors total,Trebišov,Visitors total,585.0,Domestic visitors,455.0,Foreign visitors,130.0
2018,10,Number of visitors total,Trebišov,Visitors total,516.0,Domestic visitors,436.0,Foreign visitors,80.0
2018,11,Number of visitors total,Trebišov,Visitors total,474.0,Domestic visitors,356.0,Foreign visitors,118.0
2018,12,Number of visitors total,Trebišov,Visitors total,318.0,Domestic visitors,212.0,Foreign visitors,106.0
2019,1,Number of visitors total,Trebišov,Visitors total,202.0,Domestic visitors,156.0,Foreign visitors,46.0
2019,2,Number of visitors total,Trebišov,Visitors total,307.0,Domestic visitors,283.0,Foreign visitors,24.0
2019,3,Number of visitors total,Trebišov,Visitors total,299.0,Domestic visitors,213.0,Foreign visitors,86.0
2019,4,Number of visitors total,Trebišov,Visitors total,310.0,Domestic visitors,230.0,Foreign visitors,80.0
2019,5,Number of visitors total,Trebišov,Visitors total,602.0,Domestic visitors,492.0,Foreign visitors,110.0
2019,6,Number of visitors total,Trebišov,Visitors total,484.0,Domestic visitors,410.0,Foreign visitors,74.0
2019,7,Number of visitors total,Trebišov,Visitors total,408.0,Domestic visitors,326.0,Foreign visitors,82.0
2019,8,Number of visitors total,Trebišov,Visitors total,565.0,Domestic visitors,460.0,Foreign visitors,105.0
2019,9,Number of visitors total,Trebišov,Visitors total,387.0,Domestic visitors,336.0,Foreign visitors,51.0
2019,10,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2019,11,Number of visitors total,Trebišov,Visitors total,463.0,Domestic visitors,400.0,Foreign visitors,63.0
2019,12,Number of visitors total,Trebišov,Visitors total,302.0,Domestic visitors,267.0,Foreign visitors,35.0
2020,1,Number of visitors total,Trebišov,Visitors total,259.0,Domestic visitors,235.0,Foreign visitors,24.0
2020,2,Number of visitors total,Trebišov,Visitors total,373.0,Domestic visitors,353.0,Foreign visitors,20.0
2020,3,Number of visitors total,Trebišov,Visitors total,131.0,Domestic visitors,115.0,Foreign visitors,16.0
2020,4,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2020,5,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2020,6,Number of visitors total,Trebišov,Visitors total,292.0,Domestic visitors,266.0,Foreign visitors,26.0
2020,7,Number of visitors total,Trebišov,Visitors total,524.0,Domestic visitors,490.0,Foreign visitors,34.0
2020,8,Number of visitors total,Trebišov,Visitors total,525.0,Domestic visitors,438.0,Foreign visitors,87.0
2020,9,Number of visitors total,Trebišov,Visitors total,320.0,Domestic visitors,281.0,Foreign visitors,39.0
2020,10,Number of visitors total,Trebišov,Visitors total,199.0,Domestic visitors,178.0,Foreign visitors,21.0
2020,11,Number of visitors total,Trebišov,Visitors total,210.0,Domestic visitors,201.0,Foreign visitors,9.0
2020,12,Number of visitors total,Trebišov,Visitors total,91.0,Domestic visitors,87.0,Foreign visitors,4.0
2021,1,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,2,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,3,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,4,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,5,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,6,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,7,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,8,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,9,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,10,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,11,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,12,Number of visitors total,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
