y,mm,var,muni,dim,sum,dim-2,sum-2,dim-3,sum-3
2017,1,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,2,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,3,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,4,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,5,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,6,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,7,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,8,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,9,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,10,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,11,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2017,12,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,1,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,2,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,3,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,4,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,5,Number of nights spent by visitors,Trebišov,Visitors total,674.0,Domestic visitors,536.0,Foreign visitors,138.0
2018,6,Number of nights spent by visitors,Trebišov,Visitors total,695.0,Domestic visitors,347.0,Foreign visitors,348.0
2018,7,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2018,8,Number of nights spent by visitors,Trebišov,Visitors total,1028.0,Domestic visitors,561.0,Foreign visitors,467.0
2018,9,Number of nights spent by visitors,Trebišov,Visitors total,1187.0,Domestic visitors,615.0,Foreign visitors,572.0
2018,10,Number of nights spent by visitors,Trebišov,Visitors total,1006.0,Domestic visitors,798.0,Foreign visitors,208.0
2018,11,Number of nights spent by visitors,Trebišov,Visitors total,696.0,Domestic visitors,451.0,Foreign visitors,245.0
2018,12,Number of nights spent by visitors,Trebišov,Visitors total,457.0,Domestic visitors,238.0,Foreign visitors,219.0
2019,1,Number of nights spent by visitors,Trebišov,Visitors total,345.0,Domestic visitors,208.0,Foreign visitors,137.0
2019,2,Number of nights spent by visitors,Trebišov,Visitors total,408.0,Domestic visitors,342.0,Foreign visitors,66.0
2019,3,Number of nights spent by visitors,Trebišov,Visitors total,542.0,Domestic visitors,272.0,Foreign visitors,270.0
2019,4,Number of nights spent by visitors,Trebišov,Visitors total,425.0,Domestic visitors,279.0,Foreign visitors,146.0
2019,5,Number of nights spent by visitors,Trebišov,Visitors total,962.0,Domestic visitors,751.0,Foreign visitors,211.0
2019,6,Number of nights spent by visitors,Trebišov,Visitors total,750.0,Domestic visitors,585.0,Foreign visitors,165.0
2019,7,Number of nights spent by visitors,Trebišov,Visitors total,571.0,Domestic visitors,412.0,Foreign visitors,159.0
2019,8,Number of nights spent by visitors,Trebišov,Visitors total,751.0,Domestic visitors,550.0,Foreign visitors,201.0
2019,9,Number of nights spent by visitors,Trebišov,Visitors total,485.0,Domestic visitors,407.0,Foreign visitors,78.0
2019,10,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2019,11,Number of nights spent by visitors,Trebišov,Visitors total,609.0,Domestic visitors,483.0,Foreign visitors,126.0
2019,12,Number of nights spent by visitors,Trebišov,Visitors total,428.0,Domestic visitors,347.0,Foreign visitors,81.0
2020,1,Number of nights spent by visitors,Trebišov,Visitors total,401.0,Domestic visitors,350.0,Foreign visitors,51.0
2020,2,Number of nights spent by visitors,Trebišov,Visitors total,499.0,Domestic visitors,429.0,Foreign visitors,70.0
2020,3,Number of nights spent by visitors,Trebišov,Visitors total,258.0,Domestic visitors,207.0,Foreign visitors,51.0
2020,4,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2020,5,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2020,6,Number of nights spent by visitors,Trebišov,Visitors total,369.0,Domestic visitors,333.0,Foreign visitors,36.0
2020,7,Number of nights spent by visitors,Trebišov,Visitors total,760.0,Domestic visitors,670.0,Foreign visitors,90.0
2020,8,Number of nights spent by visitors,Trebišov,Visitors total,853.0,Domestic visitors,661.0,Foreign visitors,192.0
2020,9,Number of nights spent by visitors,Trebišov,Visitors total,580.0,Domestic visitors,442.0,Foreign visitors,138.0
2020,10,Number of nights spent by visitors,Trebišov,Visitors total,335.0,Domestic visitors,270.0,Foreign visitors,65.0
2020,11,Number of nights spent by visitors,Trebišov,Visitors total,297.0,Domestic visitors,259.0,Foreign visitors,38.0
2020,12,Number of nights spent by visitors,Trebišov,Visitors total,148.0,Domestic visitors,140.0,Foreign visitors,8.0
2021,1,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,2,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,3,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,4,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,5,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,6,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,7,Number of nights spent by visitors,Trebišov,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
