y,mm,dd,slovakia,africa,middle_e_a,america,asia_ap,europe,other
2017,1,20170101,7229,NULL,3,129,67,3855,NULL
2017,2,20170201,8393,NULL,4,95,126,4361,1
2017,3,20170301,10636,2,1,144,160,5350,NULL
2017,4,20170401,12110,4,6,328,231,5920,NULL
2017,5,20170501,14414,9,2,341,326,7112,NULL
2017,6,20170601,12012,9,10,321,345,7324,NULL
2017,7,20170701,9999,6,6,432,310,7625,NULL
2017,8,20170801,12712,6,21,345,442,9568,1
2017,9,20170901,12224,42,14,367,425,8296,NULL
2017,10,20171001,12816,15,13,269,308,7656,NULL
2017,11,20171101,10853,9,8,170,170,6195,NULL
2017,12,20171201,8768,1,5,121,188,5128,NULL
2018,1,20180101,7759,2,42,143,114,4063,NULL
2018,2,20180201,8724,8,4,135,139,4752,NULL
2018,3,20180301,10291,4,8,195,213,5212,NULL
2018,4,20180401,11578,12,6,193,385,6615,NULL
2018,5,20180501,14256,14,3,519,389,8238,NULL
2018,6,20180601,13017,13,6,350,754,8597,NULL
2018,7,20180701,9358,8,10,607,410,8791,NULL
2018,8,20180801,13739,24,10,377,342,9858,NULL
2018,9,20180901,11475,55,14,381,464,8263,NULL
2018,10,20181001,15270,24,6,308,312,7425,NULL
2018,11,20181101,12640,NULL,2,151,264,5618,NULL
2018,12,20181201,12224,5,7,135,323,5227,NULL
2019,1,20190101,8497,12,3,111,244,4702,NULL
2019,2,20190201,11696,9,6,160,276,5230,NULL
2019,3,20190301,12288,9,2,170,320,6277,NULL
2019,4,20190401,12746,9,36,231,318,7108,NULL
2019,5,20190501,16543,8,6,845,327,9213,NULL
2019,6,20190601,17653,25,13,802,569,10853,NULL
2019,7,20190701,16932,12,19,613,389,10868,NULL
2019,8,20190801,16917,8,5,558,407,11666,NULL
2019,9,20190901,15804,23,13,529,332,10181,NULL
2019,10,20191001,19703,30,3,365,410,9136,NULL
2019,11,20191101,15802,15,10,223,517,6516,NULL
2019,12,20191201,14054,9,4,184,389,5947,NULL
2020,1,20200101,10249,9,11,173,317,4681,NULL
2020,2,20200201,11834,9,4,143,456,4973,NULL
2020,3,20200301,4319,4,1,64,83,1646,NULL
2020,4,20200401,83,1,NULL,1,3,23,NULL
2020,5,20200501,2721,NULL,NULL,NULL,1,77,NULL
2020,6,20200601,7379,NULL,NULL,4,9,927,NULL
2020,7,20200701,14742,1,NULL,35,46,3084,NULL
2020,8,20200801,19480,5,1,47,55,4071,NULL
2020,9,20200901,13298,3,1,40,45,3252,NULL
2020,10,20201001,5495,NULL,NULL,28,17,1127,NULL
2020,11,20201101,3797,NULL,2,10,5,671,NULL
2020,12,20201201,3226,NULL,4,2,4,542,NULL
2021,1,20210101,1170,NULL,NULL,9,NULL,288,NULL
2021,2,20210201,1771,NULL,NULL,11,2,374,NULL
2021,3,20210301,2104,1,NULL,10,2,381,NULL
2021,4,20210401,2622,NULL,NULL,5,NULL,387,NULL
2021,5,20210501,6924,NULL,1,21,6,863,NULL
2021,6,20210601,11989,1,2,37,22,2096,NULL
2021,7,20210701,18538,3,2,73,41,3339,NULL
2021,8,20210801,21671,11,6,177,74,5011,NULL
2021,9,20210901,13955,2,7,184,45,4789,NULL
2021,10,20211001,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021,11,20211101,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021,12,20211201,NULL,NULL,NULL,NULL,NULL,NULL,NULL
