y,mm,dd,slovakia,africa,middle_e_a,america,asia_ap,europe,other
2017,1,20170101,13653,NULL,4,268,193,7475,NULL
2017,2,20170201,14874,NULL,6,271,285,9834,1
2017,3,20170301,18938,2,2,457,450,11061,NULL
2017,4,20170401,21868,13,28,867,650,12034,NULL
2017,5,20170501,26541,20,6,880,696,12916,NULL
2017,6,20170601,21967,30,117,1002,800,14482,NULL
2017,7,20170701,19011,9,39,921,775,13039,NULL
2017,8,20170801,26830,7,36,825,920,16219,1
2017,9,20170901,20920,116,44,981,1004,15605,NULL
2017,10,20171001,22997,48,19,685,653,14884,NULL
2017,11,20171101,19018,26,10,465,461,12320,NULL
2017,12,20171201,14604,2,5,331,553,10005,NULL
2018,1,20180101,15592,7,86,446,472,8398,NULL
2018,2,20180201,18685,15,16,410,516,10069,NULL
2018,3,20180301,23016,8,42,477,911,10363,NULL
2018,4,20180401,24727,31,10,446,1293,13244,NULL
2018,5,20180501,29412,33,9,1171,1450,15567,NULL
2018,6,20180601,28823,27,9,781,2091,16674,NULL
2018,7,20180701,25309,31,27,1174,1413,15839,NULL
2018,8,20180801,32083,63,22,815,1427,19006,NULL
2018,9,20180901,23068,79,34,881,1349,16792,NULL
2018,10,20181001,29896,92,17,741,1304,15635,NULL
2018,11,20181101,25564,NULL,6,432,1203,12154,NULL
2018,12,20181201,24467,5,8,456,1279,9845,NULL
2019,1,20190101,19563,36,6,250,1444,11034,NULL
2019,2,20190201,25035,31,10,423,1403,13166,NULL
2019,3,20190301,25199,16,7,519,1452,16056,NULL
2019,4,20190401,27829,18,48,544,1368,16854,NULL
2019,5,20190501,33937,20,10,3922,1248,24124,NULL
2019,6,20190601,38691,117,21,4561,2034,25317,NULL
2019,7,20190701,45579,49,33,1589,1861,23804,NULL
2019,8,20190801,44365,47,9,1415,1526,23322,NULL
2019,9,20190901,34596,89,27,1472,1572,22109,NULL
2019,10,20191001,41451,90,3,1021,1748,21402,NULL
2019,11,20191101,35046,73,25,577,1946,15935,NULL
2019,12,20191201,28115,27,12,506,1547,12859,NULL
2020,1,20200101,23810,50,90,673,1427,10350,NULL
2020,2,20200201,26647,14,8,697,1229,12083,NULL
2020,3,20200301,14326,4,3,189,277,5869,NULL
2020,4,20200401,206,30,NULL,30,90,332,NULL
2020,5,20200501,7536,NULL,NULL,NULL,1,269,NULL
2020,6,20200601,18116,NULL,NULL,5,14,1983,NULL
2020,7,20200701,29398,1,NULL,67,124,6542,NULL
2020,8,20200801,44495,39,2,149,209,7994,NULL
2020,9,20200901,26494,5,3,253,197,7123,NULL
2020,10,20201001,12252,NULL,NULL,240,124,3580,NULL
2020,11,20201101,8025,NULL,12,132,40,2709,NULL
2020,12,20201201,8233,NULL,8,4,4,1626,NULL
2021,1,20210101,2234,NULL,NULL,46,NULL,862,NULL
2021,2,20210201,3302,NULL,NULL,73,4,1209,NULL
2021,3,20210301,4144,3,NULL,32,2,1202,NULL
2021,4,20210401,5124,NULL,NULL,11,NULL,809,NULL
2021,5,20210501,13578,NULL,1,46,10,1663,NULL
2021,6,20210601,23186,11,2,121,55,4015,NULL
2021,7,20210701,43030,20,5,258,131,6903,NULL
2021,8,20210801,47242,61,6,432,191,8852,NULL
2021,9,20210901,27085,6,7,551,130,9396,NULL
2021,10,20211001,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021,11,20211101,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021,12,20211201,NULL,NULL,NULL,NULL,NULL,NULL,NULL
