"dim","y","x"
"Tanzania (Zanzibar)",2019,NULL
"Seychelles",2019,NULL
"Non-specified",2019,NULL
"Jordan",2019,NULL
"Gambia",2019,NULL
"Czechia",2019,"21859"
"Ukraine",2019,"10894"
"Poland",2019,"10810"
"Germany",2019,"10450"
"Hungary",2019,"8087"
"Russia",2019,"3510"
"United Kingdom",2019,"3455"
"United States",2019,"3114"
"Austria",2019,"3014"
"Italy",2019,"2739"
"Romania",2019,"2693"
"France",2019,"2147"
"Slovenia",2019,"1644"
"Israel",2019,"1637"
"Netherlands",2019,"1447"
"Other European countries",2019,"1371"
"Switzerland",2019,"1149"
"Canada",2019,"1148"
"Japan",2019,"1077"
"Spain",2019,"1071"
"Lithuania",2019,"1024"
"Sweden",2019,"972"
"Belarus",2019,"909"
"Norway",2019,"710"
"Serbia",2019,"702"
"Denmark",2019,"672"
"Belgium",2019,"662"
"China",2019,"620"
"Croatia",2019,"600"
"India",2019,"555"
"Other Asian States",2019,"510"
"Bulgaria",2019,"474"
"Turkey",2019,"436"
"Indonesia",2019,"409"
"Australia",2019,"401"
"Latvia",2019,"375"
"Ireland",2019,"344"
"Greece",2019,"338"
"Taiwan",2019,"328"
"Finland",2019,"302"
"South Korea",2019,"291"
"Portugal",2019,"257"
"Brazil",2019,"256"
"Estonia",2019,"207"
"North Macedonia",2019,"188"
"Moldova",2019,"186"
"Other African States",2019,"133"
"Other American countries",2019,"106"
"Mexico",2019,"85"
"Argentina",2019,"79"
"Vietnam",2019,"68"
"Iceland",2019,"66"
"Egypt",2019,"58"
"Thailand",2019,"57"
"Malta",2019,"57"
"Bosnia and Herzegovina",2019,"49"
"New Zealand",2019,"48"
"Luxembourg",2019,"45"
"Singapore",2019,"44"
"Albania",2019,"38"
"Kazakhstan",2019,"32"
"Cyprus",2019,"31"
"Hong Kong",2019,"29"
"Montenegro",2019,"29"
"Georgia",2019,"24"
"Malaysia",2019,"23"
"Liechtenstein",2019,"23"
"Saudi Arabia",2019,"20"
"United Arab Emirates",2019,"20"
"South Africa",2019,"17"
"Kenya",2019,"16"
"Tunisia",2019,"11"
"Qatar",2019,"4"
"Morocco",2019,"4"
"Sri Lanka",2019,"4"
"Oman",2019,"3"
"Mauritius",2019,"2"
"Dominican Republic",2019,"2"
"Maldives",2019,"1"
"Cape Verde",2019,"1"
"Cuba",2019,"1"
"Oceania",2019,"1"
