"dim","y","x"
"Jordan",2019,NULL
"Gambia",2019,NULL
"Tanzania (Zanzibar)",2019,NULL
"Seychelles",2019,NULL
"Non-specified",2019,NULL
"Ukraine",2019,"43781"
"Czechia",2019,"43462"
"Germany",2019,"26426"
"Poland",2019,"20930"
"Hungary",2019,"15888"
"United States",2019,"9287"
"United Kingdom",2019,"8074"
"Other Asian States",2019,"7428"
"Italy",2019,"7036"
"Canada",2019,"6001"
"Russia",2019,"5336"
"France",2019,"5316"
"Austria",2019,"5102"
"Romania",2019,"4500"
"Spain",2019,"3962"
"India",2019,"3802"
"Israel",2019,"3332"
"Switzerland",2019,"3303"
"Japan",2019,"3299"
"Netherlands",2019,"2798"
"Sweden",2019,"2753"
"Denmark",2019,"2269"
"Slovenia",2019,"2198"
"Other European countries",2019,"2171"
"Norway",2019,"1827"
"Lithuania",2019,"1683"
"Serbia",2019,"1449"
"Belarus",2019,"1432"
"Belgium",2019,"1397"
"Croatia",2019,"1318"
"Bulgaria",2019,"1195"
"Australia",2019,"1183"
"China",2019,"1089"
"Turkey",2019,"937"
"Greece",2019,"920"
"Finland",2019,"897"
"Ireland",2019,"818"
"Portugal",2019,"776"
"Brazil",2019,"760"
"Latvia",2019,"614"
"Indonesia",2019,"609"
"South Korea",2019,"599"
"Other African States",2019,"533"
"Taiwan",2019,"486"
"North Macedonia",2019,"451"
"Moldova",2019,"412"
"Estonia",2019,"347"
"Other American countries",2019,"338"
"Mexico",2019,"296"
"Vietnam",2019,"177"
"Thailand",2019,"165"
"Malta",2019,"146"
"Iceland",2019,"138"
"Luxembourg",2019,"112"
"Argentina",2019,"107"
"Liechtenstein",2019,"98"
"Albania",2019,"93"
"Egypt",2019,"90"
"Georgia",2019,"81"
"Kazakhstan",2019,"80"
"Bosnia and Herzegovina",2019,"79"
"New Zealand",2019,"71"
"Montenegro",2019,"70"
"Singapore",2019,"58"
"Cyprus",2019,"55"
"Malaysia",2019,"50"
"Kenya",2019,"45"
"Hong Kong",2019,"44"
"Saudi Arabia",2019,"37"
"United Arab Emirates",2019,"36"
"Tunisia",2019,"36"
"South Africa",2019,"30"
"Cuba",2019,"8"
"Sri Lanka",2019,"7"
"Morocco",2019,"5"
"Mauritius",2019,"4"
"Qatar",2019,"4"
"Oman",2019,"3"
"Dominican Republic",2019,"2"
"Oceania",2019,"1"
"Cape Verde",2019,"1"
"Maldives",2019,"1"
