"y","mm","dd","cz","ua","de","pl","hu"
2017,1,"20170101","842","419","392","507","282"
2017,2,"20170201","1018","335","408","662","317"
2017,3,"20170301","1338","609","506","535","440"
2017,4,"20170401","1231","791","476","625","550"
2017,5,"20170501","1785","509","676","809","543"
2017,6,"20170601","1495","498","628","801","693"
2017,7,"20170701","1250","567","588","968","567"
2017,8,"20170801","1550","744","737","1273","590"
2017,9,"20170901","1725","516","760","910","677"
2017,10,"20171001","1878","571","628","657","790"
2017,11,"20171101","1736","478","527","549","620"
2017,12,"20171201","1242","474","368","550","665"
2018,1,"20180101","999","467","421","512","258"
2018,2,"20180201","1228","372","557","527","550"
2018,3,"20180301","1338","343","698","380","587"
2018,4,"20180401","1463","745","715","699","614"
2018,5,"20180501","1982","596","708","838","887"
2018,6,"20180601","1614","822","902","866","819"
2018,7,"20180701","1420","592","863","1100","508"
2018,8,"20180801","1622","895","853","1389","823"
2018,9,"20180901","1841","830","895","979","468"
2018,10,"20181001","1932","720","716","770","812"
2018,11,"20181101","1603","542","746","636","409"
2018,12,"20181201","1236","687","495","595","572"
2019,1,"20190101","1174","507","513","503","384"
2019,2,"20190201","1378","595","718","573","354"
2019,3,"20190301","1562","828","777","508","599"
2019,4,"20190401","1694","904","684","727","720"
2019,5,"20190501","1851","711","1053","937","749"
2019,6,"20190601","2274","1052","1098","1118","755"
2019,7,"20190701","2393","877","1099","1460","744"
2019,8,"20190801","2146","1353","1109","1680","816"
2019,9,"20190901","2129","1224","1185","1169","941"
2019,10,"20191001","2236","920","926","984","902"
2019,11,"20191101","1750","747","762","625","448"
2019,12,"20191201","1272","1176","526","526","675"
2020,1,"20200101","1219","620","481","522","399"
2020,2,"20200201","1331","596","599","508","446"
2020,3,"20200301","445","244","152","185","76"
2020,4,"20200401","15","7",NULL,NULL,NULL
2020,5,"20200501","44","13","1",NULL,"6"
2020,6,"20200601","568","68","85","13","60"
2020,7,"20200701","1325","174","487","30","178"
2020,8,"20200801","1539","170","509","736","342"
2020,9,"20200901","1022","200","604","585","80"
2020,10,"20201001","321","75","248","160","22"
2020,11,"20201101","224","30","169","77","13"
2020,12,"20201201","273","26","76","74",NULL
2021,1,"20210101","152","5","54","20","3"
2021,2,"20210201","121","27","84","66","16"
2021,3,"20210301","175","31","26","61","18"
2021,4,"20210401","176","33","42","47","8"
2021,5,"20210501","386","54","106","77","27"
2021,6,"20210601","904","110","278","330","116"
2021,7,"20210701","1158","134","431","433","226"
2021,8,"20210801","1281","363","660","713","690"
2021,9,"20210901","1432","490","671","462","288"
2021,10,"20211001",NULL,NULL,NULL,NULL,NULL
2021,11,"20211101",NULL,NULL,NULL,NULL,NULL
2021,12,"20211201",NULL,NULL,NULL,NULL,NULL
