"y","mm","dd","cz","ua","de","pl","hu"
2017,1,"20170101","1569","830","890","780","529"
2017,2,"20170201","1944","898","923","1322","523"
2017,3,"20170301","2458","1163","1193","1243","830"
2017,4,"20170401","2220","1731","1043","997","980"
2017,5,"20170501","3132","1201","1391","1215","837"
2017,6,"20170601","2676","1518","1331","1420","1051"
2017,7,"20170701","2272","1282","1223","1373","1023"
2017,8,"20170801","2784","1717","1577","1828","938"
2017,9,"20170901","3165","1208","1602","1449","1132"
2017,10,"20171001","3348","1395","1345","1277","1434"
2017,11,"20171101","2919","1197","1078","1194","1072"
2017,12,"20171201","2024","1121","790","1136","1244"
2018,1,"20180101","1680","921","946","1013","454"
2018,2,"20180201","2322","835","1264","935","1088"
2018,3,"20180301","2213","949","1666","744","1026"
2018,4,"20180401","2648","1900","1705","1127","1049"
2018,5,"20180501","3334","1426","1480","1443","1498"
2018,6,"20180601","3189","1809","2133","1277","1475"
2018,7,"20180701","2496","1502","1846","1750","762"
2018,8,"20180801","3090","2123","2200","2206","1420"
2018,9,"20180901","3157","2047","1848","2012","875"
2018,10,"20181001","3391","2088","1715","1369","1615"
2018,11,"20181101","2825","1928","2075","1022","717"
2018,12,"20181201","2057","1451","1128","1232","979"
2019,1,"20190101","2296","1550","1409","1230","792"
2019,2,"20190201","2841","2900","1894","1490","591"
2019,3,"20190301","3185","3789","1990","1592","1323"
2019,4,"20190401","3147","4122","1735","1494","1596"
2019,5,"20190501","3830","3881","3386","1503","1160"
2019,6,"20190601","4910","4912","2452","1968","1541"
2019,7,"20190701","4524","3990","2359","2686","1336"
2019,8,"20190801","4175","4785","2641","2709","1296"
2019,9,"20190901","4228","3939","2681","2266","1723"
2019,10,"20191001","4666","3593","2583","1776","2095"
2019,11,"20191101","3324","2981","2052","1264","1136"
2019,12,"20191201","2336","3339","1244","952","1299"
2020,1,"20200101","2315","1752","1243","995","904"
2020,2,"20200201","2238","2439","1575","972","828"
2020,3,"20200301","841","2075","430","490","220"
2020,4,"20200401","92","210",NULL,NULL,NULL
2020,5,"20200501","172","43","1",NULL,"6"
2020,6,"20200601","1027","183","302","15","85"
2020,7,"20200701","2606","332","1262","30","268"
2020,8,"20200801","2778","582","1172","1226","507"
2020,9,"20200901","1838","763","1553","955","216"
2020,10,"20201001","842","154","863","441","49"
2020,11,"20201101","670","119","736","374","42"
2020,12,"20201201","750","86","380","138",NULL
2021,1,"20210101","304","5","307","38","23"
2021,2,"20210201","301","34","405","221","33"
2021,3,"20210301","392","51","192","303","44"
2021,4,"20210401","268","74","211","68","8"
2021,5,"20210501","640","122","372","123","29"
2021,6,"20210601","1463","161","981","505","157"
2021,7,"20210701","2259","319","1276","556","350"
2021,8,"20210801","2097","721","1382","1070","1056"
2021,9,"20210901","2545","790","1728","798","489"
2021,10,"20211001",NULL,NULL,NULL,NULL,NULL
2021,11,"20211101",NULL,NULL,NULL,NULL,NULL
2021,12,"20211201",NULL,NULL,NULL,NULL,NULL
