from_a,to_b,start_location,end_location,distance_km,distance_m,duration_h,duration_m,from_nm4,to_nm4,interval_t,hu_under30,hu_b3160,hu_b6190,hu_b91130,sk_under30,sk_b3160,sk_b6190,sk_b91130
"044 11 Ždaňa, Slovakia","Hidasnémeti, 3876 Hungary","{'lat': 48.6023307, 'lng': 21.3466906}","{'lat': 48.5031946, 'lng': 21.2285429}",20.3 km,20272,22 mins,21,Ždaňa,Hidasnémeti,in 30 min,21,NULL,NULL,NULL,21,NULL,NULL,NULL
"044 58 Milhosť, Slovakia","Gönc, 3895 Hungary","{'lat': 48.5393829, 'lng': 21.2681549}","{'lat': 48.4729057, 'lng': 21.2733798}",11.0 km,11038,14 mins,14,Milhosť,Gönc,in 30 min,19,NULL,NULL,NULL,15,NULL,NULL,NULL
"044 58 Milhosť, Slovakia","Göncruszka, 3894 Hungary","{'lat': 48.5393829, 'lng': 21.2681549}","{'lat': 48.44932319999999, 'lng': 21.2402008}",13.6 km,13581,17 mins,16,Milhosť,Göncruszka,in 30 min,19,NULL,NULL,NULL,12,NULL,NULL,NULL
"044 58 Milhosť, Slovakia","Tornyosnémeti, 3877 Hungary","{'lat': 48.5393829, 'lng': 21.2681549}","{'lat': 48.52019629999999, 'lng': 21.2508725}",3.5 km,3515,6 mins,6,Milhosť,Tornyosnémeti,in 30 min,19,NULL,NULL,NULL,24,NULL,NULL,NULL
"044 58 Seňa, Slovakia","Gönc, 3895 Hungary","{'lat': 48.5587686, 'lng': 21.2570684}","{'lat': 48.4729057, 'lng': 21.2733798}",12.4 km,12403,15 mins,14,Seňa,Gönc,in 30 min,21,NULL,NULL,NULL,15,NULL,NULL,NULL
"076 12 Brezina, Slovakia","Füzér, 3996 Hungary","{'lat': 48.5493659, 'lng': 21.5529881}","{'lat': 48.53958, 'lng': 21.4549854}",10.6 km,10556,29 mins,29,Brezina,Füzér,in 30 min,8,NULL,NULL,NULL,17,NULL,NULL,NULL
"076 13 Kazimír, Slovakia","Alsóregmec, 3989 Hungary","{'lat': 48.5269205, 'lng': 21.5840868}","{'lat': 48.4634306, 'lng': 21.6180223}",21.4 km,21386,22 mins,22,Kazimír,Alsóregmec,in 30 min,9,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 32 Borša, Slovakia","Hercegkút, 3958 Hungary","{'lat': 48.3953271, 'lng': 21.7071432}","{'lat': 48.3341806, 'lng': 21.5304129}",18.9 km,18901,21 mins,21,Borša,Hercegkút,in 30 min,24,NULL,NULL,NULL,14,NULL,NULL,NULL
"076 33 Slovenské Nové Mesto, Slovakia","Filkeháza, 3994 Hungary","{'lat': 48.40054019999999, 'lng': 21.669215}","{'lat': 48.4959916, 'lng': 21.4882597}",19.7 km,19659,22 mins,22,Slovenské Nové Mesto,Filkeháza,in 30 min,30,NULL,NULL,NULL,26,NULL,NULL,NULL
"076 01 Zemplínske Hradište, Slovakia","Sátoraljaújhely, Hungary","{'lat': 48.5837704, 'lng': 21.7356619}","{'lat': 48.3960348, 'lng': 21.6547219}",25.6 km,25582,27 mins,27,Zemplínske Hradište,Sátoraljaújhely,in 30 min,3,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 33 Slovenské Nové Mesto, Slovakia","Mikóháza, 3989 Hungary","{'lat': 48.40054019999999, 'lng': 21.669215}","{'lat': 48.462195, 'lng': 21.5921699}",10.7 km,10740,14 mins,14,Slovenské Nové Mesto,Mikóháza,in 30 min,30,NULL,NULL,NULL,36,NULL,NULL,NULL
"076 36 Malý Kamenec, Slovakia","Vajdácska, 3961 Hungary","{'lat': 48.3520822, 'lng': 21.7895763}","{'lat': 48.3195482, 'lng': 21.6539376}",17.4 km,17446,19 mins,18,Malý Kamenec,Vajdácska,in 30 min,8,NULL,NULL,NULL,20,NULL,NULL,NULL
"044 57 Bočiar, Slovakia","Hidasnémeti, 3876 Hungary","{'lat': 48.5918698, 'lng': 21.2355402}","{'lat': 48.5031946, 'lng': 21.2285429}",18.5 km,18523,20 mins,20,Bočiar,Hidasnémeti,in 30 min,10,NULL,NULL,NULL,21,NULL,NULL,NULL
"044 10 Geča, Slovakia","Hidasnémeti, 3876 Hungary","{'lat': 48.6272272, 'lng': 21.3070622}","{'lat': 48.5031946, 'lng': 21.2285429}",20.7 km,20725,22 mins,22,Geča,Hidasnémeti,in 30 min,18,NULL,NULL,NULL,21,NULL,NULL,NULL
"076 15 Hrčeľ, Slovakia","Felsőregmec, 3989 Hungary","{'lat': 48.5228001, 'lng': 21.6879165}","{'lat': 48.4914267, 'lng': 21.6056793}",24.3 km,24340,25 mins,25,Hrčeľ,Felsőregmec,in 30 min,9,NULL,NULL,NULL,30,NULL,NULL,NULL
"076 15 Hrčeľ, Slovakia","Sátoraljaújhely, Hungary","{'lat': 48.5228001, 'lng': 21.6879165}","{'lat': 48.3960348, 'lng': 21.6547219}",18.0 km,18023,20 mins,20,Hrčeľ,Sátoraljaújhely,in 30 min,9,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 14 Luhyňa, Slovakia","Vilyvitány, 3991 Hungary","{'lat': 48.4892938, 'lng': 21.6367137}","{'lat': 48.4957053, 'lng': 21.557969}",20.8 km,20824,23 mins,22,Luhyňa,Vilyvitány,in 30 min,19,NULL,NULL,NULL,19,NULL,NULL,NULL
"044 58 Milhosť, Slovakia","Zsujta, 3897 Hungary","{'lat': 48.5393829, 'lng': 21.2681549}","{'lat': 48.4998839, 'lng': 21.279131}",12.5 km,12511,16 mins,15,Milhosť,Zsujta,in 30 min,19,NULL,NULL,NULL,14,NULL,NULL,NULL
"044 58 Seňa, Slovakia","Zsujta, 3897 Hungary","{'lat': 48.5587686, 'lng': 21.2570684}","{'lat': 48.4998839, 'lng': 21.279131}",13.9 km,13876,16 mins,16,Seňa,Zsujta,in 30 min,21,NULL,NULL,NULL,14,NULL,NULL,NULL
"044 58 Seňa, Slovakia","Göncruszka, 3894 Hungary","{'lat': 48.5587686, 'lng': 21.2570684}","{'lat': 48.44932319999999, 'lng': 21.2402008}",14.9 km,14946,17 mins,17,Seňa,Göncruszka,in 30 min,21,NULL,NULL,NULL,12,NULL,NULL,NULL
"076 14 Michaľany, Slovakia","Felsőregmec, 3989 Hungary","{'lat': 48.5137583, 'lng': 21.6213664}","{'lat': 48.4914267, 'lng': 21.6056793}",21.8 km,21832,24 mins,23,Michaľany,Felsőregmec,in 30 min,11,NULL,NULL,NULL,30,NULL,NULL,NULL
"076 02 Kysta, Slovakia","Sátoraljaújhely, Hungary","{'lat': 48.515171, 'lng': 21.7207349}","{'lat': 48.3960348, 'lng': 21.6547219}",20.9 km,20896,24 mins,23,Kysta,Sátoraljaújhely,in 30 min,5,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 13 Byšta, Slovakia","Kovácsvágás, 3992 Hungary","{'lat': 48.5306035, 'lng': 21.5410394}","{'lat': 48.4535413, 'lng': 21.5285206}",13.2 km,13212,24 mins,24,Byšta,Kovácsvágás,in 30 min,17,NULL,NULL,NULL,20,NULL,NULL,NULL
"076 15 Hrčeľ, Slovakia","Alsóregmec, 3989 Hungary","{'lat': 48.5228001, 'lng': 21.6879165}","{'lat': 48.4634306, 'lng': 21.6180223}",20.7 km,20718,21 mins,21,Hrčeľ,Alsóregmec,in 30 min,9,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 15 Veľaty, Slovakia","Alsóberecki, 3985 Hungary","{'lat': 48.5213347, 'lng': 21.6614968}","{'lat': 48.34379, 'lng': 21.6907037}",22.8 km,22782,24 mins,23,Veľaty,Alsóberecki,in 30 min,15,NULL,NULL,NULL,31,NULL,NULL,NULL
"076 13 Byšta, Slovakia","Füzérradvány, 3993 Hungary","{'lat': 48.5306035, 'lng': 21.5410394}","{'lat': 48.482999, 'lng': 21.53165}",13.6 km,13649,26 mins,26,Byšta,Füzérradvány,in 30 min,17,NULL,NULL,NULL,10,NULL,NULL,NULL
"076 31 Klin nad Bodrogom, Slovakia","Alsóregmec, 3989 Hungary","{'lat': 48.38402869999999, 'lng': 21.7245537}","{'lat': 48.4634306, 'lng': 21.6180223}",20.6 km,20610,25 mins,24,Klin nad Bodrogom,Alsóregmec,in 30 min,10,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 14 Luhyňa, Slovakia","Alsóberecki, 3985 Hungary","{'lat': 48.4892938, 'lng': 21.6367137}","{'lat': 48.34379, 'lng': 21.6907037}",19.3 km,19253,21 mins,21,Luhyňa,Alsóberecki,in 30 min,19,NULL,NULL,NULL,31,NULL,NULL,NULL
"076 32 Borša, Slovakia","Bodrogolaszi, 3943 Hungary","{'lat': 48.3953271, 'lng': 21.7071432}","{'lat': 48.28687679999999, 'lng': 21.5158382}",23.7 km,23689,24 mins,24,Borša,Bodrogolaszi,in 30 min,24,NULL,NULL,NULL,11,NULL,NULL,NULL
"076 14 Luhyňa, Slovakia","Filkeháza, 3994 Hungary","{'lat': 48.4892938, 'lng': 21.6367137}","{'lat': 48.4959916, 'lng': 21.4882597}",25.4 km,25411,27 mins,26,Luhyňa,Filkeháza,in 30 min,19,NULL,NULL,NULL,26,NULL,NULL,NULL
"076 14 Michaľany, Slovakia","Sátoraljaújhely, Hungary","{'lat': 48.5137583, 'lng': 21.6213664}","{'lat': 48.3960348, 'lng': 21.6547219}",15.5 km,15515,18 mins,18,Michaľany,Sátoraljaújhely,in 30 min,11,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 32 Borša, Slovakia","Kovácsvágás, 3992 Hungary","{'lat': 48.3953271, 'lng': 21.7071432}","{'lat': 48.4535413, 'lng': 21.5285206}",20.6 km,20557,23 mins,23,Borša,Kovácsvágás,in 30 min,24,NULL,NULL,NULL,20,NULL,NULL,NULL
"076 15 Veľaty, Slovakia","Kovácsvágás, 3992 Hungary","{'lat': 48.5213347, 'lng': 21.6614968}","{'lat': 48.4535413, 'lng': 21.5285206}",27.0 km,26968,27 mins,26,Veľaty,Kovácsvágás,in 30 min,15,NULL,NULL,NULL,20,NULL,NULL,NULL
"076 82 Veľká Tŕňa, Slovakia","Kovácsvágás, 3992 Hungary","{'lat': 48.46778399999999, 'lng': 21.6785942}","{'lat': 48.4535413, 'lng': 21.5285206}",21.9 km,21939,24 mins,24,Veľká Tŕňa,Kovácsvágás,in 30 min,19,NULL,NULL,NULL,20,NULL,NULL,NULL
"076 31 Streda nad Bodrogom, Slovakia","Mikóháza, 3989 Hungary","{'lat': 48.3795523, 'lng': 21.7579633}","{'lat': 48.462195, 'lng': 21.5921699}",18.9 km,18946,23 mins,23,Streda nad Bodrogom,Mikóháza,in 30 min,14,NULL,NULL,NULL,36,NULL,NULL,NULL
"076 31 Viničky, Slovakia","Sárospatak, 3950 Hungary","{'lat': 48.3985485, 'lng': 21.7434795}","{'lat': 48.31962799999999, 'lng': 21.568997}",19.5 km,19504,24 mins,23,Viničky,Sárospatak,in 30 min,21,NULL,NULL,NULL,16,NULL,NULL,NULL
"076 31 Viničky, Slovakia","Vajdácska, 3961 Hungary","{'lat': 48.3985485, 'lng': 21.7434795}","{'lat': 48.3195482, 'lng': 21.6539376}",15.7 km,15729,18 mins,17,Viničky,Vajdácska,in 30 min,21,NULL,NULL,NULL,20,NULL,NULL,NULL
"076 32 Bara, Slovakia","Alsóregmec, 3989 Hungary","{'lat': 48.4281733, 'lng': 21.7164626}","{'lat': 48.4634306, 'lng': 21.6180223}",17.5 km,17506,21 mins,21,Bara,Alsóregmec,in 30 min,14,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 14 Luhyňa, Slovakia","Kovácsvágás, 3992 Hungary","{'lat': 48.4892938, 'lng': 21.6367137}","{'lat': 48.4535413, 'lng': 21.5285206}",23.4 km,23439,25 mins,24,Luhyňa,Kovácsvágás,in 30 min,19,NULL,NULL,NULL,20,NULL,NULL,NULL
"076 33 Slovenské Nové Mesto, Slovakia","Bodrogolaszi, 3943 Hungary","{'lat': 48.40054019999999, 'lng': 21.669215}","{'lat': 48.28687679999999, 'lng': 21.5158382}",20.8 km,20819,21 mins,21,Slovenské Nové Mesto,Bodrogolaszi,in 30 min,30,NULL,NULL,NULL,11,NULL,NULL,NULL
"076 33 Slovenské Nové Mesto, Slovakia","Pálháza, 3994 Hungary","{'lat': 48.40054019999999, 'lng': 21.669215}","{'lat': 48.4710183, 'lng': 21.5077078}",16.6 km,16624,20 mins,20,Slovenské Nové Mesto,Pálháza,in 30 min,30,NULL,NULL,NULL,24,NULL,NULL,NULL
"076 33 Slovenské Nové Mesto, Slovakia","Vilyvitány, 3991 Hungary","{'lat': 48.40054019999999, 'lng': 21.669215}","{'lat': 48.4957053, 'lng': 21.557969}",15.1 km,15072,18 mins,18,Slovenské Nové Mesto,Vilyvitány,in 30 min,30,NULL,NULL,NULL,19,NULL,NULL,NULL
"076 34 Zemplín, Slovakia","Sátoraljaújhely, Hungary","{'lat': 48.4389312, 'lng': 21.8123559}","{'lat': 48.3960348, 'lng': 21.6547219}",15.7 km,15725,19 mins,19,Zemplín,Sátoraljaújhely,in 30 min,7,NULL,NULL,NULL,44,NULL,NULL,NULL
"076 31 Klin nad Bodrogom, Slovakia","Vajdácska, 3961 Hungary","{'lat': 48.38402869999999, 'lng': 21.7245537}","{'lat': 48.3195482, 'lng': 21.6539376}",15.3 km,15319,17 mins,17,Klin nad Bodrogom,Vajdácska,in 30 min,10,NULL,NULL,NULL,20,NULL,NULL,NULL
