route,from_a,to_b,change,totaltime,route_min,full_route,stop1,stop2,stop3,stop4,stop5,count,geom,interval_t
Kosice (Kassa) - Hidasnémeti,Kosice,Hidasnémeti,NULL,00:22:00,22,"{Kosice,Hidasnémeti}",NULL,NULL,NULL,NULL,NULL,8,NULL,within 60 min
Kostolany Nad Hornadom - Hidasnémeti,Kostolany Nad Hornadom,Hidasnémeti,1,00:48:00,48,"{""Kostolany Nad Hornadom"",Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,2,NULL,within 60 min
Kysak (Sároskõszeg) - Hidasnémeti,Kysak,Hidasnémeti,1,00:44:00,44,"{Kysak,Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,1,NULL,within 60 min
Nizna Mysla - Hidasnémeti,Nizna Mysla,Hidasnémeti,1,00:49:00,49,"{""Nizna Mysla"",Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,1,NULL,within 60 min
Ruskov - Hidasnémeti,Ruskov,Hidasnémeti,1,00:59:00,59,"{Ruskov,Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,1,NULL,within 60 min
Trebejov - Hidasnémeti,Trebejov,Hidasnémeti,2,00:52:00,52,"{Trebejov,Kysak,Kysak,Kosice,Kosice,Hidasnémeti}",Kysak,Kosice,NULL,NULL,NULL,1,NULL,within 60 min
Bohdanovce - Hernádszurdok,Bohdanovce,Hernádszurdok,2,01:40:00,100,"{Bohdanovce,Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,4,NULL,from 61 to 120 min
Kalsa - Hernádszurdok,Kalsa,Hernádszurdok,2,01:56:00,116,"{Kalsa,Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,4,NULL,from 61 to 120 min
Kosice (Kassa) - Hernádszurdok,Kosice,Hernádszurdok,1,01:05:00,65,"{Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Hidasnémeti,NULL,NULL,NULL,NULL,5,NULL,from 61 to 120 min
Kostolany Nad Hornadom - Hernádszurdok,Kostolany Nad Hornadom,Hernádszurdok,2,01:31:00,91,"{""Kostolany Nad Hornadom"",Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Kysak (Sároskõszeg) - Hernádszurdok,Kysak,Hernádszurdok,2,01:37:00,97,"{Kysak,Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Mala Lodina - Hernádszurdok,Mala Lodina,Hernádszurdok,2,01:51:00,111,"{""Mala Lodina"",Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Nizna Mysla - Hernádszurdok,Nizna Mysla,Hernádszurdok,2,01:33:00,93,"{""Nizna Mysla"",Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,4,NULL,from 61 to 120 min
Obisovce - Hernádszurdok,Obisovce,Hernádszurdok,2,01:59:00,119,"{Obisovce,Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Ruskov - Hernádszurdok,Ruskov,Hernádszurdok,2,01:43:00,103,"{Ruskov,Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,4,NULL,from 61 to 120 min
Slanec - Hernádszurdok,Slanec,Hernádszurdok,2,01:50:00,110,"{Slanec,Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,4,NULL,from 61 to 120 min
Trebejov - Hernádszurdok,Trebejov,Hernádszurdok,2,01:36:00,96,"{Trebejov,Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Velka Lodina - Hernádszurdok,Velka Lodina,Hernádszurdok,2,01:48:00,108,"{""Velka Lodina"",Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Vysna Mysla - Hernádszurdok,Vysna Mysla,Hernádszurdok,2,01:36:00,96,"{""Vysna Mysla"",Kosice,Kosice,Hidasnémeti,Hidasnémeti,Hernádszurdok}",Kosice,Hidasnémeti,NULL,NULL,NULL,4,NULL,from 61 to 120 min
Celovce (Cselej) - Hidasnémeti,Celovce,Hidasnémeti,1,01:18:00,78,"{Celovce,Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Cerhov - Hidasnémeti,Cerhov,Hidasnémeti,1,01:32:00,92,"{Cerhov,Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,5,NULL,from 61 to 120 min
Kalsa - Hidasnémeti,Kalsa,Hidasnémeti,1,01:10:00,70,"{Kalsa,Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,1,NULL,from 61 to 120 min
Kuzmice - Hidasnémeti,Kuzmice,Hidasnémeti,1,01:16:00,76,"{Kuzmice,Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,1,NULL,from 61 to 120 min
