sector,muni,g_ord,sk_hobo
HU HOBO,ABAÚJALPÁR,POP_0-14_2020,3
HU HOBO,ABAÚJALPÁR,POP_15-64_2020,30
HU HOBO,ABAÚJALPÁR,POP_above_65_2020,13
HU HOBO,ABAÚJKÉR,POP_0-14_2020,72
HU HOBO,ABAÚJKÉR,POP_15-64_2020,395
HU HOBO,ABAÚJKÉR,POP_above_65_2020,88
HU HOBO,ABAÚJSZÁNTÓ,POP_0-14_2020,402
HU HOBO,ABAÚJSZÁNTÓ,POP_15-64_2020,1878
HU HOBO,ABAÚJSZÁNTÓ,POP_above_65_2020,561
HU HOBO,ABAÚJVÁR,POP_0-14_2020,37
HU HOBO,ABAÚJVÁR,POP_15-64_2020,148
HU HOBO,ABAÚJVÁR,POP_above_65_2020,39
HU HOBO,ALSÓBERECKI,POP_0-14_2020,118
HU HOBO,ALSÓBERECKI,POP_15-64_2020,478
HU HOBO,ALSÓBERECKI,POP_above_65_2020,111
HU HOBO,ALSÓDOBSZA,POP_0-14_2020,45
HU HOBO,ALSÓDOBSZA,POP_15-64_2020,187
HU HOBO,ALSÓDOBSZA,POP_above_65_2020,63
HU HOBO,ALSÓREGMEC,POP_0-14_2020,24
HU HOBO,ALSÓREGMEC,POP_15-64_2020,140
HU HOBO,ALSÓREGMEC,POP_above_65_2020,32
HU HOBO,ARKA,POP_0-14_2020,4
HU HOBO,ARKA,POP_15-64_2020,36
HU HOBO,ARKA,POP_above_65_2020,14
HU HOBO,Bara,POP_0-14_2020,30
HU HOBO,Bara,POP_15-64_2020,203
HU HOBO,Bara,POP_above_65_2020,44
HU HOBO,BASKÓ,POP_0-14_2020,15
HU HOBO,BASKÓ,POP_15-64_2020,94
HU HOBO,BASKÓ,POP_above_65_2020,52
HU HOBO,BEKECS,POP_0-14_2020,316
HU HOBO,BEKECS,POP_15-64_2020,1664
HU HOBO,BEKECS,POP_above_65_2020,365
HU HOBO,Belža,POP_0-14_2020,67
HU HOBO,Belža,POP_15-64_2020,275
HU HOBO,Belža,POP_above_65_2020,75
HU HOBO,Blažice,POP_0-14_2020,153
HU HOBO,Blažice,POP_15-64_2020,420
HU HOBO,Blažice,POP_above_65_2020,71
HU HOBO,Bočiar,POP_0-14_2020,53
HU HOBO,Bočiar,POP_15-64_2020,154
HU HOBO,Bočiar,POP_above_65_2020,46
HU HOBO,BODROGKERESZTÚR,POP_0-14_2020,97
HU HOBO,BODROGKERESZTÚR,POP_15-64_2020,640
HU HOBO,BODROGKERESZTÚR,POP_above_65_2020,249
HU HOBO,BODROGKISFALUD,POP_0-14_2020,107
HU HOBO,BODROGKISFALUD,POP_15-64_2020,568
HU HOBO,BODROGKISFALUD,POP_above_65_2020,203
HU HOBO,BODROGOLASZI,POP_0-14_2020,122
HU HOBO,BODROGOLASZI,POP_15-64_2020,574
HU HOBO,BODROGOLASZI,POP_above_65_2020,149
HU HOBO,Bohdanovce,POP_0-14_2020,183
HU HOBO,Bohdanovce,POP_15-64_2020,794
HU HOBO,Bohdanovce,POP_above_65_2020,168
HU HOBO,BOLDOGKŐÚJFALU,POP_0-14_2020,195
HU HOBO,BOLDOGKŐÚJFALU,POP_15-64_2020,375
HU HOBO,BOLDOGKŐÚJFALU,POP_above_65_2020,63
HU HOBO,BOLDOGKŐVÁRALJA,POP_0-14_2020,149
HU HOBO,BOLDOGKŐVÁRALJA,POP_15-64_2020,763
HU HOBO,BOLDOGKŐVÁRALJA,POP_above_65_2020,145
HU HOBO,Borša,POP_0-14_2020,139
HU HOBO,Borša,POP_15-64_2020,748
HU HOBO,Borša,POP_above_65_2020,243
HU HOBO,BÓZSVA,POP_0-14_2020,13
HU HOBO,BÓZSVA,POP_15-64_2020,112
HU HOBO,BÓZSVA,POP_above_65_2020,47
HU HOBO,Brehov,POP_0-14_2020,88
HU HOBO,Brehov,POP_15-64_2020,406
HU HOBO,Brehov,POP_above_65_2020,93
HU HOBO,Brezina,POP_0-14_2020,96
HU HOBO,Brezina,POP_15-64_2020,457
HU HOBO,Brezina,POP_above_65_2020,107
HU HOBO,Byšta,POP_0-14_2020,23
HU HOBO,Byšta,POP_15-64_2020,92
HU HOBO,Byšta,POP_above_65_2020,38
HU HOBO,Čaňa,POP_0-14_2020,1223
HU HOBO,Čaňa,POP_15-64_2020,4222
