Column1,Column2,Column3,Column4
name_lau2,nace_root_code,root,hu
Abaújalpár,I, Accommodation and Food service activities,NULL
Abaújalpár,U, Activities of extra-territorial organizations and bodies,NULL
Abaújalpár,T, Activities of households as employers; undifferentiated goo,NULL
Abaújalpár,N, Administrative and support service activities,NULL
Abaújalpár,A," Agriculture, forestry and fishing",8
Abaújalpár,R," Arts, entertainment and recreation",NULL
Abaújalpár,F, Construction,NULL
Abaújalpár,P, Education,NULL
Abaújalpár,D," Electricity, gas, steam and air-conditioning supply",NULL
Abaújalpár,K, Financial and insurance activities,NULL
Abaújalpár,Q, Human health and social work activities,NULL
Abaújalpár,J, Information and communication,NULL
Abaújalpár,C, Manufacturing,NULL
Abaújalpár,B, Mining and quarrying,NULL
Abaújalpár,S, Other services,NULL
Abaújalpár,M," Professional, scientific and technical activities",8
Abaújalpár,O," Public administration and defence, compulsory social securi",NULL
Abaújalpár,L, Real estate activities*,NULL
Abaújalpár,H, Transportation and storage,NULL
Abaújalpár,E," Water supply, sewerage, waste management and remediation",NULL
Abaújalpár,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Abaújkér,I, Accommodation and Food service activities,NULL
Abaújkér,U, Activities of extra-territorial organizations and bodies,NULL
Abaújkér,T, Activities of households as employers; undifferentiated goo,NULL
Abaújkér,N, Administrative and support service activities,NULL
Abaújkér,A," Agriculture, forestry and fishing",39
Abaújkér,R," Arts, entertainment and recreation",NULL
Abaújkér,F, Construction,6
Abaújkér,P, Education,NULL
Abaújkér,D," Electricity, gas, steam and air-conditioning supply",NULL
Abaújkér,K, Financial and insurance activities,NULL
Abaújkér,Q, Human health and social work activities,NULL
Abaújkér,J, Information and communication,NULL
Abaújkér,C, Manufacturing,NULL
Abaújkér,B, Mining and quarrying,NULL
Abaújkér,S, Other services,8
Abaújkér,M," Professional, scientific and technical activities",NULL
Abaújkér,O," Public administration and defence, compulsory social securi",NULL
Abaújkér,L, Real estate activities*,NULL
Abaújkér,H, Transportation and storage,NULL
Abaújkér,E," Water supply, sewerage, waste management and remediation",NULL
Abaújkér,G," Wholesale and retail trade, repair of motor vehicles and mo",6
Abaújszántó,I, Accommodation and Food service activities,16
Abaújszántó,U, Activities of extra-territorial organizations and bodies,NULL
Abaújszántó,T, Activities of households as employers; undifferentiated goo,NULL
Abaújszántó,N, Administrative and support service activities,15
Abaújszántó,A," Agriculture, forestry and fishing",282
Abaújszántó,R," Arts, entertainment and recreation",6
Abaújszántó,F, Construction,42
Abaújszántó,P, Education,13
Abaújszántó,D," Electricity, gas, steam and air-conditioning supply",NULL
Abaújszántó,K, Financial and insurance activities,NULL
Abaújszántó,Q, Human health and social work activities,9
Abaújszántó,J, Information and communication,NULL
Abaújszántó,C, Manufacturing,27
Abaújszántó,B, Mining and quarrying,NULL
Abaújszántó,S, Other services,23
Abaújszántó,M," Professional, scientific and technical activities",20
Abaújszántó,O," Public administration and defence, compulsory social securi",9
Abaújszántó,L, Real estate activities*,19
Abaújszántó,H, Transportation and storage,7
Abaújszántó,E," Water supply, sewerage, waste management and remediation",NULL
Abaújszántó,G," Wholesale and retail trade, repair of motor vehicles and mo",52
Abaújvár,I, Accommodation and Food service activities,NULL
Abaújvár,U, Activities of extra-territorial organizations and bodies,NULL
Abaújvár,T, Activities of households as employers; undifferentiated goo,NULL
Abaújvár,N, Administrative and support service activities,NULL
Abaújvár,A," Agriculture, forestry and fishing",18
Abaújvár,R," Arts, entertainment and recreation",NULL
Abaújvár,F, Construction,NULL
Abaújvár,P, Education,NULL
Abaújvár,D," Electricity, gas, steam and air-conditioning supply",NULL
Abaújvár,K, Financial and insurance activities,NULL
Abaújvár,Q, Human health and social work activities,NULL
Abaújvár,J, Information and communication,NULL
Abaújvár,C, Manufacturing,NULL
Abaújvár,B, Mining and quarrying,NULL
Abaújvár,S, Other services,NULL
Abaújvár,M," Professional, scientific and technical activities",NULL
Abaújvár,O," Public administration and defence, compulsory social securi",NULL
Abaújvár,L, Real estate activities*,NULL
Abaújvár,H, Transportation and storage,NULL
Abaújvár,E," Water supply, sewerage, waste management and remediation",NULL
Abaújvár,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Alsóberecki,I, Accommodation and Food service activities,NULL
Alsóberecki,U, Activities of extra-territorial organizations and bodies,NULL
Alsóberecki,T, Activities of households as employers; undifferentiated goo,NULL
Alsóberecki,N, Administrative and support service activities,NULL
Alsóberecki,A," Agriculture, forestry and fishing",53
Alsóberecki,R," Arts, entertainment and recreation",NULL
Alsóberecki,F, Construction,NULL
Alsóberecki,P, Education,NULL
Alsóberecki,D," Electricity, gas, steam and air-conditioning supply",NULL
Alsóberecki,K, Financial and insurance activities,NULL
Alsóberecki,Q, Human health and social work activities,NULL
Alsóberecki,J, Information and communication,NULL
Alsóberecki,C, Manufacturing,6
Alsóberecki,B, Mining and quarrying,NULL
Alsóberecki,S, Other services,NULL
Alsóberecki,M," Professional, scientific and technical activities",NULL
Alsóberecki,O," Public administration and defence, compulsory social securi",NULL
Alsóberecki,L, Real estate activities*,NULL
Alsóberecki,H, Transportation and storage,NULL
Alsóberecki,E," Water supply, sewerage, waste management and remediation",NULL
Alsóberecki,G," Wholesale and retail trade, repair of motor vehicles and mo",5
Alsódobsza,I, Accommodation and Food service activities,NULL
Alsódobsza,U, Activities of extra-territorial organizations and bodies,NULL
Alsódobsza,T, Activities of households as employers; undifferentiated goo,NULL
Alsódobsza,N, Administrative and support service activities,NULL
Alsódobsza,A," Agriculture, forestry and fishing",33
Alsódobsza,R," Arts, entertainment and recreation",NULL
Alsódobsza,F, Construction,5
Alsódobsza,P, Education,NULL
Alsódobsza,D," Electricity, gas, steam and air-conditioning supply",NULL
Alsódobsza,K, Financial and insurance activities,NULL
Alsódobsza,Q, Human health and social work activities,NULL
Alsódobsza,J, Information and communication,NULL
Alsódobsza,C, Manufacturing,NULL
Alsódobsza,B, Mining and quarrying,NULL
Alsódobsza,S, Other services,NULL
Alsódobsza,M," Professional, scientific and technical activities",6
Alsódobsza,O," Public administration and defence, compulsory social securi",NULL
Alsódobsza,L, Real estate activities*,NULL
Alsódobsza,H, Transportation and storage,NULL
Alsódobsza,E," Water supply, sewerage, waste management and remediation",NULL
Alsódobsza,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Alsóregmec,I, Accommodation and Food service activities,NULL
Alsóregmec,U, Activities of extra-territorial organizations and bodies,NULL
Alsóregmec,T, Activities of households as employers; undifferentiated goo,NULL
Alsóregmec,N, Administrative and support service activities,NULL
Alsóregmec,A," Agriculture, forestry and fishing",28
Alsóregmec,R," Arts, entertainment and recreation",NULL
Alsóregmec,F, Construction,NULL
Alsóregmec,P, Education,NULL
Alsóregmec,D," Electricity, gas, steam and air-conditioning supply",NULL
Alsóregmec,K, Financial and insurance activities,NULL
Alsóregmec,Q, Human health and social work activities,NULL
Alsóregmec,J, Information and communication,NULL
Alsóregmec,C, Manufacturing,NULL
Alsóregmec,B, Mining and quarrying,NULL
Alsóregmec,S, Other services,NULL
Alsóregmec,M," Professional, scientific and technical activities",NULL
Alsóregmec,O," Public administration and defence, compulsory social securi",NULL
Alsóregmec,L, Real estate activities*,NULL
Alsóregmec,H, Transportation and storage,NULL
Alsóregmec,E," Water supply, sewerage, waste management and remediation",NULL
Alsóregmec,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Arka,I, Accommodation and Food service activities,NULL
Arka,U, Activities of extra-territorial organizations and bodies,NULL
Arka,T, Activities of households as employers; undifferentiated goo,NULL
Arka,N, Administrative and support service activities,NULL
Arka,A," Agriculture, forestry and fishing",13
Arka,R," Arts, entertainment and recreation",NULL
Arka,F, Construction,NULL
Arka,P, Education,NULL
Arka,D," Electricity, gas, steam and air-conditioning supply",NULL
Arka,K, Financial and insurance activities,NULL
Arka,Q, Human health and social work activities,NULL
Arka,J, Information and communication,NULL
Arka,C, Manufacturing,NULL
Arka,B, Mining and quarrying,NULL
Arka,S, Other services,NULL
Arka,M," Professional, scientific and technical activities",NULL
Arka,O," Public administration and defence, compulsory social securi",NULL
Arka,L, Real estate activities*,NULL
Arka,H, Transportation and storage,NULL
Arka,E," Water supply, sewerage, waste management and remediation",NULL
