Column1,Column2,Column3,Column4,Column5
name_lau2,nace_root_code,root,hu_min_emp,hu_max_emp
Abaújalpár,I, Accommodation and Food service activities,NULL,NULL
Abaújalpár,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Abaújalpár,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Abaújalpár,N, Administrative and support service activities,NULL,NULL
Abaújalpár,A," Agriculture, forestry and fishing",5,20
Abaújalpár,R," Arts, entertainment and recreation",NULL,NULL
Abaújalpár,F, Construction,NULL,NULL
Abaújalpár,P, Education,NULL,NULL
Abaújalpár,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Abaújalpár,K, Financial and insurance activities,NULL,NULL
Abaújalpár,Q, Human health and social work activities,NULL,NULL
Abaújalpár,J, Information and communication,NULL,NULL
Abaújalpár,C, Manufacturing,NULL,NULL
Abaújalpár,B, Mining and quarrying,NULL,NULL
Abaújalpár,S, Other services,NULL,NULL
Abaújalpár,M," Professional, scientific and technical activities",6,24
Abaújalpár,O," Public administration and defence, compulsory social securi",NULL,NULL
Abaújalpár,L, Real estate activities*,NULL,NULL
Abaújalpár,H, Transportation and storage,NULL,NULL
Abaújalpár,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Abaújalpár,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Abaújkér,I, Accommodation and Food service activities,NULL,NULL
Abaújkér,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Abaújkér,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Abaújkér,N, Administrative and support service activities,NULL,NULL
Abaújkér,A," Agriculture, forestry and fishing",36,144
Abaújkér,R," Arts, entertainment and recreation",NULL,NULL
Abaújkér,F, Construction,5,20
Abaújkér,P, Education,NULL,NULL
Abaújkér,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Abaújkér,K, Financial and insurance activities,NULL,NULL
Abaújkér,Q, Human health and social work activities,NULL,NULL
Abaújkér,J, Information and communication,NULL,NULL
Abaújkér,C, Manufacturing,NULL,NULL
Abaújkér,B, Mining and quarrying,NULL,NULL
Abaújkér,S, Other services,7,7
Abaújkér,M," Professional, scientific and technical activities",NULL,NULL
Abaújkér,O," Public administration and defence, compulsory social securi",NULL,NULL
Abaújkér,L, Real estate activities*,NULL,NULL
Abaújkér,H, Transportation and storage,NULL,NULL
Abaújkér,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Abaújkér,G," Wholesale and retail trade, repair of motor vehicles and mo",5,20
Abaújszántó,I, Accommodation and Food service activities,15,45
Abaújszántó,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Abaújszántó,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Abaújszántó,N, Administrative and support service activities,10,40
Abaújszántó,A," Agriculture, forestry and fishing",280,970
Abaújszántó,R," Arts, entertainment and recreation",NULL,NULL
Abaújszántó,F, Construction,39,123
Abaújszántó,P, Education,9,36
Abaújszántó,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Abaújszántó,K, Financial and insurance activities,NULL,NULL
Abaújszántó,Q, Human health and social work activities,NULL,NULL
Abaújszántó,J, Information and communication,NULL,NULL
Abaújszántó,C, Manufacturing,22,70
Abaújszántó,B, Mining and quarrying,NULL,NULL
Abaújszántó,S, Other services,22,58
Abaújszántó,M," Professional, scientific and technical activities",19,76
Abaújszántó,O," Public administration and defence, compulsory social securi",7,7
Abaújszántó,L, Real estate activities*,19,61
Abaújszántó,H, Transportation and storage,NULL,NULL
Abaújszántó,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Abaújszántó,G," Wholesale and retail trade, repair of motor vehicles and mo",48,165
Abaújvár,I, Accommodation and Food service activities,NULL,NULL
Abaújvár,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Abaújvár,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Abaújvár,N, Administrative and support service activities,NULL,NULL
Abaújvár,A," Agriculture, forestry and fishing",13,52
Abaújvár,R," Arts, entertainment and recreation",NULL,NULL
Abaújvár,F, Construction,NULL,NULL
Abaújvár,P, Education,NULL,NULL
Abaújvár,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Abaújvár,K, Financial and insurance activities,NULL,NULL
Abaújvár,Q, Human health and social work activities,NULL,NULL
Abaújvár,J, Information and communication,NULL,NULL
Abaújvár,C, Manufacturing,NULL,NULL
Abaújvár,B, Mining and quarrying,NULL,NULL
Abaújvár,S, Other services,NULL,NULL
Abaújvár,M," Professional, scientific and technical activities",NULL,NULL
Abaújvár,O," Public administration and defence, compulsory social securi",NULL,NULL
Abaújvár,L, Real estate activities*,NULL,NULL
Abaújvár,H, Transportation and storage,NULL,NULL
Abaújvár,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Abaújvár,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Alsóberecki,I, Accommodation and Food service activities,NULL,NULL
Alsóberecki,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Alsóberecki,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Alsóberecki,N, Administrative and support service activities,NULL,NULL
Alsóberecki,A," Agriculture, forestry and fishing",51,165
Alsóberecki,R," Arts, entertainment and recreation",NULL,NULL
Alsóberecki,F, Construction,NULL,NULL
Alsóberecki,P, Education,NULL,NULL
Alsóberecki,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Alsóberecki,K, Financial and insurance activities,NULL,NULL
Alsóberecki,Q, Human health and social work activities,NULL,NULL
Alsóberecki,J, Information and communication,NULL,NULL
Alsóberecki,C, Manufacturing,5,20
Alsóberecki,B, Mining and quarrying,NULL,NULL
Alsóberecki,S, Other services,NULL,NULL
Alsóberecki,M," Professional, scientific and technical activities",NULL,NULL
Alsóberecki,O," Public administration and defence, compulsory social securi",NULL,NULL
Alsóberecki,L, Real estate activities*,NULL,NULL
Alsóberecki,H, Transportation and storage,NULL,NULL
Alsóberecki,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Alsóberecki,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Alsódobsza,I, Accommodation and Food service activities,NULL,NULL
Alsódobsza,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Alsódobsza,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Alsódobsza,N, Administrative and support service activities,NULL,NULL
Alsódobsza,A," Agriculture, forestry and fishing",32,113
Alsódobsza,R," Arts, entertainment and recreation",NULL,NULL
Alsódobsza,F, Construction,5,20
Alsódobsza,P, Education,NULL,NULL
Alsódobsza,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Alsódobsza,K, Financial and insurance activities,NULL,NULL
Alsódobsza,Q, Human health and social work activities,NULL,NULL
Alsódobsza,J, Information and communication,NULL,NULL
Alsódobsza,C, Manufacturing,NULL,NULL
Alsódobsza,B, Mining and quarrying,NULL,NULL
Alsódobsza,S, Other services,NULL,NULL
Alsódobsza,M," Professional, scientific and technical activities",6,24
Alsódobsza,O," Public administration and defence, compulsory social securi",NULL,NULL
Alsódobsza,L, Real estate activities*,NULL,NULL
Alsódobsza,H, Transportation and storage,NULL,NULL
Alsódobsza,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Alsódobsza,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Alsóregmec,I, Accommodation and Food service activities,NULL,NULL
Alsóregmec,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Alsóregmec,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Alsóregmec,N, Administrative and support service activities,NULL,NULL
Alsóregmec,A," Agriculture, forestry and fishing",28,97
Alsóregmec,R," Arts, entertainment and recreation",NULL,NULL
Alsóregmec,F, Construction,NULL,NULL
Alsóregmec,P, Education,NULL,NULL
Alsóregmec,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Alsóregmec,K, Financial and insurance activities,NULL,NULL
Alsóregmec,Q, Human health and social work activities,NULL,NULL
Alsóregmec,J, Information and communication,NULL,NULL
Alsóregmec,C, Manufacturing,NULL,NULL
Alsóregmec,B, Mining and quarrying,NULL,NULL
Alsóregmec,S, Other services,NULL,NULL
Alsóregmec,M," Professional, scientific and technical activities",NULL,NULL
Alsóregmec,O," Public administration and defence, compulsory social securi",NULL,NULL
Alsóregmec,L, Real estate activities*,NULL,NULL
Alsóregmec,H, Transportation and storage,NULL,NULL
Alsóregmec,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Alsóregmec,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Arka,I, Accommodation and Food service activities,NULL,NULL
Arka,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Arka,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Arka,N, Administrative and support service activities,NULL,NULL
Arka,A," Agriculture, forestry and fishing",13,52
Arka,R," Arts, entertainment and recreation",NULL,NULL
Arka,F, Construction,NULL,NULL
Arka,P, Education,NULL,NULL
Arka,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Arka,K, Financial and insurance activities,NULL,NULL
Arka,Q, Human health and social work activities,NULL,NULL
Arka,J, Information and communication,NULL,NULL
Arka,C, Manufacturing,NULL,NULL
Arka,B, Mining and quarrying,NULL,NULL
Arka,S, Other services,NULL,NULL
Arka,M," Professional, scientific and technical activities",NULL,NULL
Arka,O," Public administration and defence, compulsory social securi",NULL,NULL
Arka,L, Real estate activities*,NULL,NULL
Arka,H, Transportation and storage,NULL,NULL
Arka,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Arka,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Baskó,I, Accommodation and Food service activities,NULL,NULL
Baskó,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Baskó,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Baskó,N, Administrative and support service activities,NULL,NULL
Baskó,A," Agriculture, forestry and fishing",33,117
Baskó,R," Arts, entertainment and recreation",NULL,NULL
Baskó,F, Construction,NULL,NULL
Baskó,P, Education,NULL,NULL
Baskó,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Baskó,K, Financial and insurance activities,NULL,NULL
Baskó,Q, Human health and social work activities,NULL,NULL
Baskó,J, Information and communication,NULL,NULL
Baskó,C, Manufacturing,NULL,NULL
Baskó,B, Mining and quarrying,NULL,NULL
Baskó,S, Other services,NULL,NULL
Baskó,M," Professional, scientific and technical activities",NULL,NULL
Baskó,O," Public administration and defence, compulsory social securi",NULL,NULL
Baskó,L, Real estate activities*,NULL,NULL
Baskó,H, Transportation and storage,NULL,NULL
Baskó,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Baskó,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Bekecs,I, Accommodation and Food service activities,6,6
Bekecs,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Bekecs,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Bekecs,N, Administrative and support service activities,14,56
Bekecs,A," Agriculture, forestry and fishing",185,674
Bekecs,R," Arts, entertainment and recreation",11,44
Bekecs,F, Construction,22,88
Bekecs,P, Education,9,36
Bekecs,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Bekecs,K, Financial and insurance activities,12,48
Bekecs,Q, Human health and social work activities,5,20
Bekecs,J, Information and communication,9,36
Bekecs,C, Manufacturing,17,68
Bekecs,B, Mining and quarrying,NULL,NULL
Bekecs,S, Other services,31,88
Bekecs,M," Professional, scientific and technical activities",31,109
Bekecs,O," Public administration and defence, compulsory social securi",NULL,NULL
Bekecs,L, Real estate activities*,15,60
Bekecs,H, Transportation and storage,NULL,NULL
Bekecs,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Bekecs,G," Wholesale and retail trade, repair of motor vehicles and mo",64,180
Bodrogkeresztúr,I, Accommodation and Food service activities,10,40
Bodrogkeresztúr,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Bodrogkeresztúr,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Bodrogkeresztúr,N, Administrative and support service activities,NULL,NULL
Bodrogkeresztúr,A," Agriculture, forestry and fishing",164,614
Bodrogkeresztúr,R," Arts, entertainment and recreation",NULL,NULL
Bodrogkeresztúr,F, Construction,NULL,NULL
Bodrogkeresztúr,P, Education,NULL,NULL
Bodrogkeresztúr,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Bodrogkeresztúr,K, Financial and insurance activities,NULL,NULL
Bodrogkeresztúr,Q, Human health and social work activities,NULL,NULL
Bodrogkeresztúr,J, Information and communication,NULL,NULL
Bodrogkeresztúr,C, Manufacturing,22,70
Bodrogkeresztúr,B, Mining and quarrying,NULL,NULL
Bodrogkeresztúr,S, Other services,24,51
Bodrogkeresztúr,M," Professional, scientific and technical activities",8,32
Bodrogkeresztúr,O," Public administration and defence, compulsory social securi",NULL,NULL
Bodrogkeresztúr,L, Real estate activities*,NULL,NULL
Bodrogkeresztúr,H, Transportation and storage,NULL,NULL
Bodrogkeresztúr,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Bodrogkeresztúr,G," Wholesale and retail trade, repair of motor vehicles and mo",15,45
Bodrogkisfalud,I, Accommodation and Food service activities,6,24
Bodrogkisfalud,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Bodrogkisfalud,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Bodrogkisfalud,N, Administrative and support service activities,NULL,NULL
Bodrogkisfalud,A," Agriculture, forestry and fishing",134,479
