Question,SK HOBO (including Košice districts),HU HOBO (including Miskolc district)
Austria (2019),3014,1539
Austria (2020),846,693
Belarus (2019),909,
Belarus (2020),163,
Canada (2019),1148,
Canada (2020),44,
China (2019),620,806
China (2020),41,124
Czechia (2019),21859,3526
Czechia (2020),8326,1162
France (2019),2147,
France (2020),404,
Germany (2019),10450,6394
Germany (2020),3411,2551
Israel (2019),1637,1161
Israel (2020),80,284
Italy (2019),2739,1631
Italy (2020),628,585
Japan (2019),1077,586
Japan (2020),239,93
Latvia (2019),375,622
Latvia (2020),75,78
Lithuania (2019),1024,
Lithuania (2020),97,
Netherlands (2019),1447,
Netherlands (2020),263,
Norway (2019),710,
Norway (2020),176,
Poland (2019),10810,17229
Poland (2020),2890,5537
Romania (2019),2693,10167
Romania (2020),693,2149
Russia (2019),3510,1925
Russia (2020),344,538
Serbia (2019),702,661
Serbia (2020),150,90
Slovenia (2019),1644,
Slovenia (2020),590,
Spain (2019),1071,
Spain (2020),212,
Sweden (2019),972,
Sweden (2020),108,
Switzerland (2019),1149,
Switzerland (2020),184,
Ukraine (2019),10894,7987
Ukraine (2020),2223,1752
United Kingdom (2019),3455,1659
United Kingdom (2020),558,438
United States (2019),3114,2830
United States (2020),434,430
